areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000045,Teignbridge,ltla,2022-08-02,109195
E07000045,Teignbridge,ltla,2022-08-01,109193
E07000045,Teignbridge,ltla,2022-07-31,109189
E07000045,Teignbridge,ltla,2022-07-30,109174
E07000045,Teignbridge,ltla,2022-07-29,109174
E07000045,Teignbridge,ltla,2022-07-28,109163
E07000045,Teignbridge,ltla,2022-07-27,109144
E07000045,Teignbridge,ltla,2022-07-26,109134
E07000045,Teignbridge,ltla,2022-07-25,109126
E07000045,Teignbridge,ltla,2022-07-24,109123
E07000045,Teignbridge,ltla,2022-07-23,109115
E07000045,Teignbridge,ltla,2022-07-22,109099
E07000045,Teignbridge,ltla,2022-07-21,109080
E07000045,Teignbridge,ltla,2022-07-20,109071
E07000045,Teignbridge,ltla,2022-07-19,109068
E07000045,Teignbridge,ltla,2022-07-18,109064
E07000045,Teignbridge,ltla,2022-07-17,109063
E07000045,Teignbridge,ltla,2022-07-16,109038
E07000045,Teignbridge,ltla,2022-07-15,109034
E07000045,Teignbridge,ltla,2022-07-14,109014
E07000045,Teignbridge,ltla,2022-07-13,109008
E07000045,Teignbridge,ltla,2022-07-12,108998
E07000045,Teignbridge,ltla,2022-07-11,108988
E07000045,Teignbridge,ltla,2022-07-10,108985
E07000045,Teignbridge,ltla,2022-07-09,108972
E07000045,Teignbridge,ltla,2022-07-08,108935
E07000045,Teignbridge,ltla,2022-07-07,108918
E07000045,Teignbridge,ltla,2022-07-06,108913
E07000045,Teignbridge,ltla,2022-07-05,108902
E07000045,Teignbridge,ltla,2022-07-04,108894
E07000045,Teignbridge,ltla,2022-07-03,108890
E07000045,Teignbridge,ltla,2022-07-02,108862
E07000045,Teignbridge,ltla,2022-07-01,108834
E07000045,Teignbridge,ltla,2022-06-30,108830
E07000045,Teignbridge,ltla,2022-06-29,108813
E07000045,Teignbridge,ltla,2022-06-28,108796
E07000045,Teignbridge,ltla,2022-06-27,108783
E07000045,Teignbridge,ltla,2022-06-26,108781
E07000045,Teignbridge,ltla,2022-06-25,108760
E07000045,Teignbridge,ltla,2022-06-24,108749
E07000045,Teignbridge,ltla,2022-06-23,108741
E07000045,Teignbridge,ltla,2022-06-22,108724
E07000045,Teignbridge,ltla,2022-06-21,108720
E07000045,Teignbridge,ltla,2022-06-20,108714
E07000045,Teignbridge,ltla,2022-06-19,108711
E07000045,Teignbridge,ltla,2022-06-18,108695
E07000045,Teignbridge,ltla,2022-06-17,108689
E07000045,Teignbridge,ltla,2022-06-16,108681
E07000045,Teignbridge,ltla,2022-06-15,108672
E07000045,Teignbridge,ltla,2022-06-14,108669
E07000045,Teignbridge,ltla,2022-06-13,108661
E07000045,Teignbridge,ltla,2022-06-12,108657
E07000045,Teignbridge,ltla,2022-06-11,108633
E07000045,Teignbridge,ltla,2022-06-10,108620
E07000045,Teignbridge,ltla,2022-06-09,108608
E07000045,Teignbridge,ltla,2022-06-08,108593
E07000045,Teignbridge,ltla,2022-06-07,108591
E07000045,Teignbridge,ltla,2022-06-06,108587
E07000045,Teignbridge,ltla,2022-06-05,108586
E07000045,Teignbridge,ltla,2022-06-04,108578
E07000045,Teignbridge,ltla,2022-06-03,108574
E07000045,Teignbridge,ltla,2022-06-02,108565
E07000045,Teignbridge,ltla,2022-06-01,108563
E07000045,Teignbridge,ltla,2022-05-31,108553
E07000045,Teignbridge,ltla,2022-05-30,108535
E07000045,Teignbridge,ltla,2022-05-29,108522
E07000045,Teignbridge,ltla,2022-05-28,108513
E07000045,Teignbridge,ltla,2022-05-27,108499
E07000045,Teignbridge,ltla,2022-05-26,108486
E07000045,Teignbridge,ltla,2022-05-25,108481
E07000045,Teignbridge,ltla,2022-05-24,108477
E07000045,Teignbridge,ltla,2022-05-23,108472
E07000045,Teignbridge,ltla,2022-05-22,108469
E07000045,Teignbridge,ltla,2022-05-21,108445
E07000045,Teignbridge,ltla,2022-05-20,108436
E07000045,Teignbridge,ltla,2022-05-19,108427
E07000045,Teignbridge,ltla,2022-05-18,108413
E07000045,Teignbridge,ltla,2022-05-17,108388
E07000045,Teignbridge,ltla,2022-05-16,108380
E07000045,Teignbridge,ltla,2022-05-15,108369
