areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000102,Three Rivers,ltla,2022-08-02,73038
E07000102,Three Rivers,ltla,2022-08-01,73027
E07000102,Three Rivers,ltla,2022-07-31,73027
E07000102,Three Rivers,ltla,2022-07-30,73026
E07000102,Three Rivers,ltla,2022-07-29,73021
E07000102,Three Rivers,ltla,2022-07-28,73019
E07000102,Three Rivers,ltla,2022-07-27,73009
E07000102,Three Rivers,ltla,2022-07-26,73003
E07000102,Three Rivers,ltla,2022-07-25,72984
E07000102,Three Rivers,ltla,2022-07-24,72981
E07000102,Three Rivers,ltla,2022-07-23,72980
E07000102,Three Rivers,ltla,2022-07-22,72957
E07000102,Three Rivers,ltla,2022-07-21,72949
E07000102,Three Rivers,ltla,2022-07-20,72930
E07000102,Three Rivers,ltla,2022-07-19,72926
E07000102,Three Rivers,ltla,2022-07-18,72913
E07000102,Three Rivers,ltla,2022-07-17,72910
E07000102,Three Rivers,ltla,2022-07-16,72905
E07000102,Three Rivers,ltla,2022-07-15,72888
E07000102,Three Rivers,ltla,2022-07-14,72880
E07000102,Three Rivers,ltla,2022-07-13,72872
E07000102,Three Rivers,ltla,2022-07-12,72865
E07000102,Three Rivers,ltla,2022-07-11,72828
E07000102,Three Rivers,ltla,2022-07-10,72828
E07000102,Three Rivers,ltla,2022-07-09,72828
E07000102,Three Rivers,ltla,2022-07-08,72822
E07000102,Three Rivers,ltla,2022-07-07,72808
E07000102,Three Rivers,ltla,2022-07-06,72803
E07000102,Three Rivers,ltla,2022-07-05,72799
E07000102,Three Rivers,ltla,2022-07-04,72770
E07000102,Three Rivers,ltla,2022-07-03,72768
E07000102,Three Rivers,ltla,2022-07-02,72767
E07000102,Three Rivers,ltla,2022-07-01,72744
E07000102,Three Rivers,ltla,2022-06-30,72725
E07000102,Three Rivers,ltla,2022-06-29,72720
E07000102,Three Rivers,ltla,2022-06-28,72712
E07000102,Three Rivers,ltla,2022-06-27,72684
E07000102,Three Rivers,ltla,2022-06-26,72679
E07000102,Three Rivers,ltla,2022-06-25,72676
E07000102,Three Rivers,ltla,2022-06-24,72660
E07000102,Three Rivers,ltla,2022-06-23,72655
E07000102,Three Rivers,ltla,2022-06-22,72643
E07000102,Three Rivers,ltla,2022-06-21,72641
E07000102,Three Rivers,ltla,2022-06-20,72616
E07000102,Three Rivers,ltla,2022-06-19,72615
E07000102,Three Rivers,ltla,2022-06-18,72611
E07000102,Three Rivers,ltla,2022-06-17,72607
E07000102,Three Rivers,ltla,2022-06-16,72600
E07000102,Three Rivers,ltla,2022-06-15,72597
E07000102,Three Rivers,ltla,2022-06-14,72589
E07000102,Three Rivers,ltla,2022-06-13,72571
E07000102,Three Rivers,ltla,2022-06-12,72570
E07000102,Three Rivers,ltla,2022-06-11,72569
E07000102,Three Rivers,ltla,2022-06-10,72559
E07000102,Three Rivers,ltla,2022-06-09,72555
E07000102,Three Rivers,ltla,2022-06-08,72549
E07000102,Three Rivers,ltla,2022-06-07,72546
E07000102,Three Rivers,ltla,2022-06-06,72532
E07000102,Three Rivers,ltla,2022-06-05,72532
E07000102,Three Rivers,ltla,2022-06-04,72532
E07000102,Three Rivers,ltla,2022-06-03,72514
E07000102,Three Rivers,ltla,2022-06-02,72514
E07000102,Three Rivers,ltla,2022-06-01,72514
E07000102,Three Rivers,ltla,2022-05-31,72496
E07000102,Three Rivers,ltla,2022-05-30,72471
E07000102,Three Rivers,ltla,2022-05-29,72466
E07000102,Three Rivers,ltla,2022-05-28,72464
E07000102,Three Rivers,ltla,2022-05-27,72445
E07000102,Three Rivers,ltla,2022-05-26,72443
E07000102,Three Rivers,ltla,2022-05-25,72433
E07000102,Three Rivers,ltla,2022-05-24,72431
E07000102,Three Rivers,ltla,2022-05-23,72420
E07000102,Three Rivers,ltla,2022-05-22,72418
E07000102,Three Rivers,ltla,2022-05-21,72418
E07000102,Three Rivers,ltla,2022-05-20,72401
E07000102,Three Rivers,ltla,2022-05-19,72395
E07000102,Three Rivers,ltla,2022-05-18,72386
E07000102,Three Rivers,ltla,2022-05-17,72381
E07000102,Three Rivers,ltla,2022-05-16,72361
E07000102,Three Rivers,ltla,2022-05-15,72355
E07000102,Three Rivers,ltla,2022-05-14,72347
E07000102,Three Rivers,ltla,2022-05-13,72328
E07000102,Three Rivers,ltla,2022-05-12,72324
E07000102,Three Rivers,ltla,2022-05-11,72316
E07000102,Three Rivers,ltla,2022-05-10,72310
E07000102,Three Rivers,ltla,2022-05-09,72286
E07000102,Three Rivers,ltla,2022-05-08,72281
E07000102,Three Rivers,ltla,2022-05-07,72276
E07000102,Three Rivers,ltla,2022-05-06,72246
E07000102,Three Rivers,ltla,2022-05-05,72240
E07000102,Three Rivers,ltla,2022-05-04,72229
E07000102,Three Rivers,ltla,2022-05-03,72220
E07000102,Three Rivers,ltla,2022-05-02,72205
E07000102,Three Rivers,ltla,2022-05-01,72205
E07000102,Three Rivers,ltla,2022-04-30,72201
E07000102,Three Rivers,ltla,2022-04-29,72148
E07000102,Three Rivers,ltla,2022-04-28,72143
E07000102,Three Rivers,ltla,2022-04-27,72130
E07000102,Three Rivers,ltla,2022-04-26,72124
E07000102,Three Rivers,ltla,2022-04-25,72122
E07000102,Three Rivers,ltla,2022-04-24,72101
E07000102,Three Rivers,ltla,2022-04-23,72092
E07000102,Three Rivers,ltla,2022-04-22,72052
E07000102,Three Rivers,ltla,2022-04-21,72042
E07000102,Three Rivers,ltla,2022-04-20,72035
E07000102,Three Rivers,ltla,2022-04-19,72025
E07000102,Three Rivers,ltla,2022-04-18,72014
E07000102,Three Rivers,ltla,2022-04-17,72013
E07000102,Three Rivers,ltla,2022-04-16,72013
E07000102,Three Rivers,ltla,2022-04-15,71984
E07000102,Three Rivers,ltla,2022-04-14,71982
E07000102,Three Rivers,ltla,2022-04-13,71950
E07000102,Three Rivers,ltla,2022-04-12,71937
E07000102,Three Rivers,ltla,2022-04-11,71930
E07000102,Three Rivers,ltla,2022-04-10,71897
E07000102,Three Rivers,ltla,2022-04-09,71888
E07000102,Three Rivers,ltla,2022-04-08,71850
E07000102,Three Rivers,ltla,2022-04-07,71842
E07000102,Three Rivers,ltla,2022-04-06,71811
E07000102,Three Rivers,ltla,2022-04-05,71797
E07000102,Three Rivers,ltla,2022-04-04,71795
E07000102,Three Rivers,ltla,2022-04-03,71748
E07000102,Three Rivers,ltla,2022-04-02,71740
E07000102,Three Rivers,ltla,2022-04-01,71696
