areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E07000239,Wyre Forest,ltla,2022-08-02,79227
E07000239,Wyre Forest,ltla,2022-08-01,79221
E07000239,Wyre Forest,ltla,2022-07-31,79219
E07000239,Wyre Forest,ltla,2022-07-30,79212
E07000239,Wyre Forest,ltla,2022-07-29,79201
E07000239,Wyre Forest,ltla,2022-07-28,79198
E07000239,Wyre Forest,ltla,2022-07-27,79191
E07000239,Wyre Forest,ltla,2022-07-26,79182
E07000239,Wyre Forest,ltla,2022-07-25,79175
E07000239,Wyre Forest,ltla,2022-07-24,79170
E07000239,Wyre Forest,ltla,2022-07-23,79163
E07000239,Wyre Forest,ltla,2022-07-22,79154
E07000239,Wyre Forest,ltla,2022-07-21,79141
E07000239,Wyre Forest,ltla,2022-07-20,79134
E07000239,Wyre Forest,ltla,2022-07-19,79125
E07000239,Wyre Forest,ltla,2022-07-18,79123
E07000239,Wyre Forest,ltla,2022-07-17,79122
E07000239,Wyre Forest,ltla,2022-07-16,79116
E07000239,Wyre Forest,ltla,2022-07-15,79106
E07000239,Wyre Forest,ltla,2022-07-14,79100
E07000239,Wyre Forest,ltla,2022-07-13,79097
E07000239,Wyre Forest,ltla,2022-07-12,79092
E07000239,Wyre Forest,ltla,2022-07-11,79084
E07000239,Wyre Forest,ltla,2022-07-10,79080
E07000239,Wyre Forest,ltla,2022-07-09,79072
E07000239,Wyre Forest,ltla,2022-07-08,79060
E07000239,Wyre Forest,ltla,2022-07-07,79053
E07000239,Wyre Forest,ltla,2022-07-06,79048
E07000239,Wyre Forest,ltla,2022-07-05,79039
E07000239,Wyre Forest,ltla,2022-07-04,79036
E07000239,Wyre Forest,ltla,2022-07-03,79033
E07000239,Wyre Forest,ltla,2022-07-02,79028
E07000239,Wyre Forest,ltla,2022-07-01,79022
E07000239,Wyre Forest,ltla,2022-06-30,79012
E07000239,Wyre Forest,ltla,2022-06-29,79008
E07000239,Wyre Forest,ltla,2022-06-28,79002
E07000239,Wyre Forest,ltla,2022-06-27,78995
E07000239,Wyre Forest,ltla,2022-06-26,78994
E07000239,Wyre Forest,ltla,2022-06-25,78989
E07000239,Wyre Forest,ltla,2022-06-24,78983
E07000239,Wyre Forest,ltla,2022-06-23,78972
E07000239,Wyre Forest,ltla,2022-06-22,78972
E07000239,Wyre Forest,ltla,2022-06-21,78971
E07000239,Wyre Forest,ltla,2022-06-20,78967
E07000239,Wyre Forest,ltla,2022-06-19,78965
E07000239,Wyre Forest,ltla,2022-06-18,78955
E07000239,Wyre Forest,ltla,2022-06-17,78949
E07000239,Wyre Forest,ltla,2022-06-16,78946
E07000239,Wyre Forest,ltla,2022-06-15,78943
E07000239,Wyre Forest,ltla,2022-06-14,78931
E07000239,Wyre Forest,ltla,2022-06-13,78923
E07000239,Wyre Forest,ltla,2022-06-12,78922
E07000239,Wyre Forest,ltla,2022-06-11,78915
E07000239,Wyre Forest,ltla,2022-06-10,78908
E07000239,Wyre Forest,ltla,2022-06-09,78902
E07000239,Wyre Forest,ltla,2022-06-08,78902
E07000239,Wyre Forest,ltla,2022-06-07,78900
E07000239,Wyre Forest,ltla,2022-06-06,78899
E07000239,Wyre Forest,ltla,2022-06-05,78894
E07000239,Wyre Forest,ltla,2022-06-04,78894
E07000239,Wyre Forest,ltla,2022-06-03,78891
E07000239,Wyre Forest,ltla,2022-06-02,78888
E07000239,Wyre Forest,ltla,2022-06-01,78887
E07000239,Wyre Forest,ltla,2022-05-31,78881
E07000239,Wyre Forest,ltla,2022-05-30,78879
E07000239,Wyre Forest,ltla,2022-05-29,78877
E07000239,Wyre Forest,ltla,2022-05-28,78871
E07000239,Wyre Forest,ltla,2022-05-27,78864
E07000239,Wyre Forest,ltla,2022-05-26,78860
E07000239,Wyre Forest,ltla,2022-05-25,78857
E07000239,Wyre Forest,ltla,2022-05-24,78850
E07000239,Wyre Forest,ltla,2022-05-23,78844
E07000239,Wyre Forest,ltla,2022-05-22,78843
E07000239,Wyre Forest,ltla,2022-05-21,78840
E07000239,Wyre Forest,ltla,2022-05-20,78827
E07000239,Wyre Forest,ltla,2022-05-19,78817
E07000239,Wyre Forest,ltla,2022-05-18,78814
E07000239,Wyre Forest,ltla,2022-05-17,78809
E07000239,Wyre Forest,ltla,2022-05-16,78803
E07000239,Wyre Forest,ltla,2022-05-15,78797
E07000239,Wyre Forest,ltla,2022-05-14,78795
E07000239,Wyre Forest,ltla,2022-05-13,78782
E07000239,Wyre Forest,ltla,2022-05-12,78764
E07000239,Wyre Forest,ltla,2022-05-11,78752
E07000239,Wyre Forest,ltla,2022-05-10,78738
E07000239,Wyre Forest,ltla,2022-05-09,78721
E07000239,Wyre Forest,ltla,2022-05-08,78715
E07000239,Wyre Forest,ltla,2022-05-07,78706
E07000239,Wyre Forest,ltla,2022-05-06,78686
E07000239,Wyre Forest,ltla,2022-05-05,78678
E07000239,Wyre Forest,ltla,2022-05-04,78623
E07000239,Wyre Forest,ltla,2022-05-03,78620
E07000239,Wyre Forest,ltla,2022-05-02,78606
E07000239,Wyre Forest,ltla,2022-05-01,78602
E07000239,Wyre Forest,ltla,2022-04-30,78595
E07000239,Wyre Forest,ltla,2022-04-29,78583
E07000239,Wyre Forest,ltla,2022-04-28,78576
E07000239,Wyre Forest,ltla,2022-04-27,78572
E07000239,Wyre Forest,ltla,2022-04-26,78561
E07000239,Wyre Forest,ltla,2022-04-25,78556
E07000239,Wyre Forest,ltla,2022-04-24,78548
E07000239,Wyre Forest,ltla,2022-04-23,78540
E07000239,Wyre Forest,ltla,2022-04-22,78520
E07000239,Wyre Forest,ltla,2022-04-21,78505
E07000239,Wyre Forest,ltla,2022-04-20,78500
E07000239,Wyre Forest,ltla,2022-04-19,78491
E07000239,Wyre Forest,ltla,2022-04-18,78479
E07000239,Wyre Forest,ltla,2022-04-17,78470
E07000239,Wyre Forest,ltla,2022-04-16,78470
E07000239,Wyre Forest,ltla,2022-04-15,78452
E07000239,Wyre Forest,ltla,2022-04-14,78452
E07000239,Wyre Forest,ltla,2022-04-13,78435
