areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000027,Barrow-in-Furness,ltla,2022-08-02,40858
E07000027,Barrow-in-Furness,ltla,2022-08-01,40858
E07000027,Barrow-in-Furness,ltla,2022-07-31,40856
E07000027,Barrow-in-Furness,ltla,2022-07-30,40852
E07000027,Barrow-in-Furness,ltla,2022-07-29,40843
E07000027,Barrow-in-Furness,ltla,2022-07-28,40839
E07000027,Barrow-in-Furness,ltla,2022-07-27,40837
E07000027,Barrow-in-Furness,ltla,2022-07-26,40823
E07000027,Barrow-in-Furness,ltla,2022-07-25,40818
E07000027,Barrow-in-Furness,ltla,2022-07-24,40810
E07000027,Barrow-in-Furness,ltla,2022-07-23,40807
E07000027,Barrow-in-Furness,ltla,2022-07-22,40800
E07000027,Barrow-in-Furness,ltla,2022-07-21,40796
E07000027,Barrow-in-Furness,ltla,2022-07-20,40785
E07000027,Barrow-in-Furness,ltla,2022-07-19,40768
E07000027,Barrow-in-Furness,ltla,2022-07-18,40764
E07000027,Barrow-in-Furness,ltla,2022-07-17,40755
E07000027,Barrow-in-Furness,ltla,2022-07-16,40754
E07000027,Barrow-in-Furness,ltla,2022-07-15,40749
E07000027,Barrow-in-Furness,ltla,2022-07-14,40743
E07000027,Barrow-in-Furness,ltla,2022-07-13,40734
E07000027,Barrow-in-Furness,ltla,2022-07-12,40724
E07000027,Barrow-in-Furness,ltla,2022-07-11,40708
E07000027,Barrow-in-Furness,ltla,2022-07-10,40702
E07000027,Barrow-in-Furness,ltla,2022-07-09,40694
E07000027,Barrow-in-Furness,ltla,2022-07-08,40687
E07000027,Barrow-in-Furness,ltla,2022-07-07,40675
E07000027,Barrow-in-Furness,ltla,2022-07-06,40671
E07000027,Barrow-in-Furness,ltla,2022-07-05,40664
E07000027,Barrow-in-Furness,ltla,2022-07-04,40661
E07000027,Barrow-in-Furness,ltla,2022-07-03,40647
E07000027,Barrow-in-Furness,ltla,2022-07-02,40644
E07000027,Barrow-in-Furness,ltla,2022-07-01,40636
E07000027,Barrow-in-Furness,ltla,2022-06-30,40631
E07000027,Barrow-in-Furness,ltla,2022-06-29,40625
E07000027,Barrow-in-Furness,ltla,2022-06-28,40605
E07000027,Barrow-in-Furness,ltla,2022-06-27,40596
E07000027,Barrow-in-Furness,ltla,2022-06-26,40594
E07000027,Barrow-in-Furness,ltla,2022-06-25,40591
E07000027,Barrow-in-Furness,ltla,2022-06-24,40550
E07000027,Barrow-in-Furness,ltla,2022-06-23,40547
E07000027,Barrow-in-Furness,ltla,2022-06-22,40540
E07000027,Barrow-in-Furness,ltla,2022-06-21,40523
E07000027,Barrow-in-Furness,ltla,2022-06-20,40515
E07000027,Barrow-in-Furness,ltla,2022-06-19,40506
E07000027,Barrow-in-Furness,ltla,2022-06-18,40500
E07000027,Barrow-in-Furness,ltla,2022-06-17,40489
E07000027,Barrow-in-Furness,ltla,2022-06-16,40483
E07000027,Barrow-in-Furness,ltla,2022-06-15,40479
E07000027,Barrow-in-Furness,ltla,2022-06-14,40475
E07000027,Barrow-in-Furness,ltla,2022-06-13,40464
E07000027,Barrow-in-Furness,ltla,2022-06-12,40456
E07000027,Barrow-in-Furness,ltla,2022-06-11,40453
E07000027,Barrow-in-Furness,ltla,2022-06-10,40420
E07000027,Barrow-in-Furness,ltla,2022-06-09,40416
E07000027,Barrow-in-Furness,ltla,2022-06-08,40412
E07000027,Barrow-in-Furness,ltla,2022-06-07,40395
E07000027,Barrow-in-Furness,ltla,2022-06-06,40389
E07000027,Barrow-in-Furness,ltla,2022-06-05,40379
E07000027,Barrow-in-Furness,ltla,2022-06-04,40373
E07000027,Barrow-in-Furness,ltla,2022-06-03,40367
E07000027,Barrow-in-Furness,ltla,2022-06-02,40367
E07000027,Barrow-in-Furness,ltla,2022-06-01,40367
E07000027,Barrow-in-Furness,ltla,2022-05-31,40361
E07000027,Barrow-in-Furness,ltla,2022-05-30,40354
E07000027,Barrow-in-Furness,ltla,2022-05-29,40349
E07000027,Barrow-in-Furness,ltla,2022-05-28,40344
E07000027,Barrow-in-Furness,ltla,2022-05-27,40329
E07000027,Barrow-in-Furness,ltla,2022-05-26,40319
E07000027,Barrow-in-Furness,ltla,2022-05-25,40315
E07000027,Barrow-in-Furness,ltla,2022-05-24,40307
E07000027,Barrow-in-Furness,ltla,2022-05-23,40298
E07000027,Barrow-in-Furness,ltla,2022-05-22,40290
E07000027,Barrow-in-Furness,ltla,2022-05-21,40289
E07000027,Barrow-in-Furness,ltla,2022-05-20,40233
E07000027,Barrow-in-Furness,ltla,2022-05-19,40225
E07000027,Barrow-in-Furness,ltla,2022-05-18,40213
E07000027,Barrow-in-Furness,ltla,2022-05-17,40189
E07000027,Barrow-in-Furness,ltla,2022-05-16,40177
E07000027,Barrow-in-Furness,ltla,2022-05-15,40174
E07000027,Barrow-in-Furness,ltla,2022-05-14,40169
E07000027,Barrow-in-Furness,ltla,2022-05-13,40164
E07000027,Barrow-in-Furness,ltla,2022-05-12,40150
E07000027,Barrow-in-Furness,ltla,2022-05-11,40138
E07000027,Barrow-in-Furness,ltla,2022-05-10,40117
E07000027,Barrow-in-Furness,ltla,2022-05-09,40103
E07000027,Barrow-in-Furness,ltla,2022-05-08,40091
E07000027,Barrow-in-Furness,ltla,2022-05-07,40085
E07000027,Barrow-in-Furness,ltla,2022-05-06,40034
E07000027,Barrow-in-Furness,ltla,2022-05-05,40032
E07000027,Barrow-in-Furness,ltla,2022-05-04,40026
E07000027,Barrow-in-Furness,ltla,2022-05-03,39979
E07000027,Barrow-in-Furness,ltla,2022-05-02,39966
E07000027,Barrow-in-Furness,ltla,2022-05-01,39960
E07000027,Barrow-in-Furness,ltla,2022-04-30,39955
E07000027,Barrow-in-Furness,ltla,2022-04-29,39879
E07000027,Barrow-in-Furness,ltla,2022-04-28,39872
E07000027,Barrow-in-Furness,ltla,2022-04-27,39859
E07000027,Barrow-in-Furness,ltla,2022-04-26,39842
E07000027,Barrow-in-Furness,ltla,2022-04-25,39832
E07000027,Barrow-in-Furness,ltla,2022-04-24,39827
E07000027,Barrow-in-Furness,ltla,2022-04-23,39819
E07000027,Barrow-in-Furness,ltla,2022-04-22,39771
E07000027,Barrow-in-Furness,ltla,2022-04-21,39763
E07000027,Barrow-in-Furness,ltla,2022-04-20,39756
E07000027,Barrow-in-Furness,ltla,2022-04-19,39705
E07000027,Barrow-in-Furness,ltla,2022-04-18,39699
E07000027,Barrow-in-Furness,ltla,2022-04-17,39695
E07000027,Barrow-in-Furness,ltla,2022-04-16,39693
E07000027,Barrow-in-Furness,ltla,2022-04-15,39689
E07000027,Barrow-in-Furness,ltla,2022-04-14,39684
E07000027,Barrow-in-Furness,ltla,2022-04-13,39675
E07000027,Barrow-in-Furness,ltla,2022-04-12,39659
E07000027,Barrow-in-Furness,ltla,2022-04-11,39641
E07000027,Barrow-in-Furness,ltla,2022-04-10,39626
E07000027,Barrow-in-Furness,ltla,2022-04-09,39622
E07000027,Barrow-in-Furness,ltla,2022-04-08,39578
E07000027,Barrow-in-Furness,ltla,2022-04-07,39571
E07000027,Barrow-in-Furness,ltla,2022-04-06,39563
E07000027,Barrow-in-Furness,ltla,2022-04-05,39546
E07000027,Barrow-in-Furness,ltla,2022-04-04,39532
E07000027,Barrow-in-Furness,ltla,2022-04-03,39518
E07000027,Barrow-in-Furness,ltla,2022-04-02,39515
E07000027,Barrow-in-Furness,ltla,2022-04-01,39478
E07000027,Barrow-in-Furness,ltla,2022-03-31,39465
E07000027,Barrow-in-Furness,ltla,2022-03-30,39454
E07000027,Barrow-in-Furness,ltla,2022-03-29,39442
E07000027,Barrow-in-Furness,ltla,2022-03-28,39435
E07000027,Barrow-in-Furness,ltla,2022-03-27,39429
E07000027,Barrow-in-Furness,ltla,2022-03-26,39420
E07000027,Barrow-in-Furness,ltla,2022-03-25,39411
E07000027,Barrow-in-Furness,ltla,2022-03-24,39406
E07000027,Barrow-in-Furness,ltla,2022-03-23,39397
E07000027,Barrow-in-Furness,ltla,2022-03-22,39377
