areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E08000033,Calderdale,ltla,2022-08-02,119836
E08000033,Calderdale,ltla,2022-08-01,119829
E08000033,Calderdale,ltla,2022-07-31,119823
E08000033,Calderdale,ltla,2022-07-30,119813
E08000033,Calderdale,ltla,2022-07-29,119786
E08000033,Calderdale,ltla,2022-07-28,119777
E08000033,Calderdale,ltla,2022-07-27,119746
E08000033,Calderdale,ltla,2022-07-26,119674
E08000033,Calderdale,ltla,2022-07-25,119665
E08000033,Calderdale,ltla,2022-07-24,119652
E08000033,Calderdale,ltla,2022-07-23,119646
E08000033,Calderdale,ltla,2022-07-22,119604
E08000033,Calderdale,ltla,2022-07-21,119596
E08000033,Calderdale,ltla,2022-07-20,119571
E08000033,Calderdale,ltla,2022-07-19,119544
E08000033,Calderdale,ltla,2022-07-18,119536
E08000033,Calderdale,ltla,2022-07-17,119530
E08000033,Calderdale,ltla,2022-07-16,119495
E08000033,Calderdale,ltla,2022-07-15,119464
E08000033,Calderdale,ltla,2022-07-14,119434
E08000033,Calderdale,ltla,2022-07-13,119413
E08000033,Calderdale,ltla,2022-07-12,119389
E08000033,Calderdale,ltla,2022-07-11,119361
E08000033,Calderdale,ltla,2022-07-10,119339
E08000033,Calderdale,ltla,2022-07-09,119334
E08000033,Calderdale,ltla,2022-07-08,119309
E08000033,Calderdale,ltla,2022-07-07,119287
E08000033,Calderdale,ltla,2022-07-06,119269
E08000033,Calderdale,ltla,2022-07-05,119239
E08000033,Calderdale,ltla,2022-07-04,119227
E08000033,Calderdale,ltla,2022-07-03,119219
E08000033,Calderdale,ltla,2022-07-02,119213
E08000033,Calderdale,ltla,2022-07-01,119161
E08000033,Calderdale,ltla,2022-06-30,119141
E08000033,Calderdale,ltla,2022-06-29,119131
E08000033,Calderdale,ltla,2022-06-28,119094
E08000033,Calderdale,ltla,2022-06-27,119079
E08000033,Calderdale,ltla,2022-06-26,119063
E08000033,Calderdale,ltla,2022-06-25,119060
E08000033,Calderdale,ltla,2022-06-24,119027
E08000033,Calderdale,ltla,2022-06-23,119011
E08000033,Calderdale,ltla,2022-06-22,118987
E08000033,Calderdale,ltla,2022-06-21,118958
E08000033,Calderdale,ltla,2022-06-20,118938
E08000033,Calderdale,ltla,2022-06-19,118920
E08000033,Calderdale,ltla,2022-06-18,118914
E08000033,Calderdale,ltla,2022-06-17,118887
E08000033,Calderdale,ltla,2022-06-16,118831
E08000033,Calderdale,ltla,2022-06-15,118809
E08000033,Calderdale,ltla,2022-06-14,118775
E08000033,Calderdale,ltla,2022-06-13,118760
E08000033,Calderdale,ltla,2022-06-12,118745
E08000033,Calderdale,ltla,2022-06-11,118739
E08000033,Calderdale,ltla,2022-06-10,118686
E08000033,Calderdale,ltla,2022-06-09,118640
E08000033,Calderdale,ltla,2022-06-08,118615
E08000033,Calderdale,ltla,2022-06-07,118586
E08000033,Calderdale,ltla,2022-06-06,118567
E08000033,Calderdale,ltla,2022-06-05,118536
E08000033,Calderdale,ltla,2022-06-04,118518
E08000033,Calderdale,ltla,2022-06-03,118487
E08000033,Calderdale,ltla,2022-06-02,118468
E08000033,Calderdale,ltla,2022-06-01,118462
E08000033,Calderdale,ltla,2022-05-31,118429
E08000033,Calderdale,ltla,2022-05-30,118405
E08000033,Calderdale,ltla,2022-05-29,118377
E08000033,Calderdale,ltla,2022-05-28,118372
E08000033,Calderdale,ltla,2022-05-27,118319
E08000033,Calderdale,ltla,2022-05-26,118276
E08000033,Calderdale,ltla,2022-05-25,118252
E08000033,Calderdale,ltla,2022-05-24,118218
E08000033,Calderdale,ltla,2022-05-23,118195
E08000033,Calderdale,ltla,2022-05-22,118171
E08000033,Calderdale,ltla,2022-05-21,118160
E08000033,Calderdale,ltla,2022-05-20,118128
E08000033,Calderdale,ltla,2022-05-19,118080
E08000033,Calderdale,ltla,2022-05-18,118062
E08000033,Calderdale,ltla,2022-05-17,118007
E08000033,Calderdale,ltla,2022-05-16,117971
E08000033,Calderdale,ltla,2022-05-15,117938
E08000033,Calderdale,ltla,2022-05-14,117929
E08000033,Calderdale,ltla,2022-05-13,117857
E08000033,Calderdale,ltla,2022-05-12,117810
E08000033,Calderdale,ltla,2022-05-11,117789
E08000033,Calderdale,ltla,2022-05-10,117713
E08000033,Calderdale,ltla,2022-05-09,117681
E08000033,Calderdale,ltla,2022-05-08,117654
E08000033,Calderdale,ltla,2022-05-07,117620
E08000033,Calderdale,ltla,2022-05-06,117571
E08000033,Calderdale,ltla,2022-05-05,117513
E08000033,Calderdale,ltla,2022-05-04,117466
E08000033,Calderdale,ltla,2022-05-03,117413
E08000033,Calderdale,ltla,2022-05-02,117381
E08000033,Calderdale,ltla,2022-05-01,117380
E08000033,Calderdale,ltla,2022-04-30,117337
E08000033,Calderdale,ltla,2022-04-29,117279
E08000033,Calderdale,ltla,2022-04-28,117198
E08000033,Calderdale,ltla,2022-04-27,117162
E08000033,Calderdale,ltla,2022-04-26,117098
E08000033,Calderdale,ltla,2022-04-25,117066
E08000033,Calderdale,ltla,2022-04-24,116984
E08000033,Calderdale,ltla,2022-04-23,116971
