areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000008,Cambridge,ltla,2022-08-02,88655
E07000008,Cambridge,ltla,2022-08-01,88640
E07000008,Cambridge,ltla,2022-07-31,88622
E07000008,Cambridge,ltla,2022-07-30,88612
E07000008,Cambridge,ltla,2022-07-29,88597
E07000008,Cambridge,ltla,2022-07-28,88583
E07000008,Cambridge,ltla,2022-07-27,88567
E07000008,Cambridge,ltla,2022-07-26,88553
E07000008,Cambridge,ltla,2022-07-25,88541
E07000008,Cambridge,ltla,2022-07-24,88525
E07000008,Cambridge,ltla,2022-07-23,88510
E07000008,Cambridge,ltla,2022-07-22,88496
E07000008,Cambridge,ltla,2022-07-21,88469
E07000008,Cambridge,ltla,2022-07-20,88460
E07000008,Cambridge,ltla,2022-07-19,88446
E07000008,Cambridge,ltla,2022-07-18,88431
E07000008,Cambridge,ltla,2022-07-17,88416
E07000008,Cambridge,ltla,2022-07-16,88404
E07000008,Cambridge,ltla,2022-07-15,88391
E07000008,Cambridge,ltla,2022-07-14,88376
E07000008,Cambridge,ltla,2022-07-13,88357
E07000008,Cambridge,ltla,2022-07-12,88337
E07000008,Cambridge,ltla,2022-07-11,88317
E07000008,Cambridge,ltla,2022-07-10,88301
E07000008,Cambridge,ltla,2022-07-09,88283
E07000008,Cambridge,ltla,2022-07-08,88257
E07000008,Cambridge,ltla,2022-07-07,88239
E07000008,Cambridge,ltla,2022-07-06,88215
E07000008,Cambridge,ltla,2022-07-05,88192
E07000008,Cambridge,ltla,2022-07-04,88161
E07000008,Cambridge,ltla,2022-07-03,88145
E07000008,Cambridge,ltla,2022-07-02,88118
E07000008,Cambridge,ltla,2022-07-01,88092
E07000008,Cambridge,ltla,2022-06-30,88077
E07000008,Cambridge,ltla,2022-06-29,88046
E07000008,Cambridge,ltla,2022-06-28,88026
E07000008,Cambridge,ltla,2022-06-27,87992
E07000008,Cambridge,ltla,2022-06-26,87966
E07000008,Cambridge,ltla,2022-06-25,87946
E07000008,Cambridge,ltla,2022-06-24,87920
E07000008,Cambridge,ltla,2022-06-23,87911
