areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000079,Cotswold,ltla,2022-08-02,65886
E07000079,Cotswold,ltla,2022-08-01,65882
E07000079,Cotswold,ltla,2022-07-31,65867
E07000079,Cotswold,ltla,2022-07-30,65867
E07000079,Cotswold,ltla,2022-07-29,65861
E07000079,Cotswold,ltla,2022-07-28,65856
E07000079,Cotswold,ltla,2022-07-27,65842
E07000079,Cotswold,ltla,2022-07-26,65835
E07000079,Cotswold,ltla,2022-07-25,65832
E07000079,Cotswold,ltla,2022-07-24,65825
E07000079,Cotswold,ltla,2022-07-23,65824
E07000079,Cotswold,ltla,2022-07-22,65820
E07000079,Cotswold,ltla,2022-07-21,65811
E07000079,Cotswold,ltla,2022-07-20,65807
E07000079,Cotswold,ltla,2022-07-19,65791
E07000079,Cotswold,ltla,2022-07-18,65789
E07000079,Cotswold,ltla,2022-07-17,65789
E07000079,Cotswold,ltla,2022-07-16,65789
E07000079,Cotswold,ltla,2022-07-15,65782
E07000079,Cotswold,ltla,2022-07-14,65779
E07000079,Cotswold,ltla,2022-07-13,65773
E07000079,Cotswold,ltla,2022-07-12,65766
E07000079,Cotswold,ltla,2022-07-11,65752
E07000079,Cotswold,ltla,2022-07-10,65748
E07000079,Cotswold,ltla,2022-07-09,65744
E07000079,Cotswold,ltla,2022-07-08,65742
E07000079,Cotswold,ltla,2022-07-07,65734
E07000079,Cotswold,ltla,2022-07-06,65729
E07000079,Cotswold,ltla,2022-07-05,65722
E07000079,Cotswold,ltla,2022-07-04,65720
E07000079,Cotswold,ltla,2022-07-03,65713
E07000079,Cotswold,ltla,2022-07-02,65711
E07000079,Cotswold,ltla,2022-07-01,65707
E07000079,Cotswold,ltla,2022-06-30,65702
E07000079,Cotswold,ltla,2022-06-29,65677
E07000079,Cotswold,ltla,2022-06-28,65669
E07000079,Cotswold,ltla,2022-06-27,65664
E07000079,Cotswold,ltla,2022-06-26,65649
E07000079,Cotswold,ltla,2022-06-25,65649
E07000079,Cotswold,ltla,2022-06-24,65642
E07000079,Cotswold,ltla,2022-06-23,65633
E07000079,Cotswold,ltla,2022-06-22,65632
E07000079,Cotswold,ltla,2022-06-21,65630
E07000079,Cotswold,ltla,2022-06-20,65607
E07000079,Cotswold,ltla,2022-06-19,65606
E07000079,Cotswold,ltla,2022-06-18,65603
E07000079,Cotswold,ltla,2022-06-17,65598
E07000079,Cotswold,ltla,2022-06-16,65594
E07000079,Cotswold,ltla,2022-06-15,65585
E07000079,Cotswold,ltla,2022-06-14,65578
E07000079,Cotswold,ltla,2022-06-13,65554
E07000079,Cotswold,ltla,2022-06-12,65553
E07000079,Cotswold,ltla,2022-06-11,65550
E07000079,Cotswold,ltla,2022-06-10,65544
E07000079,Cotswold,ltla,2022-06-09,65530
E07000079,Cotswold,ltla,2022-06-08,65507
E07000079,Cotswold,ltla,2022-06-07,65504
E07000079,Cotswold,ltla,2022-06-06,65500
E07000079,Cotswold,ltla,2022-06-05,65496
E07000079,Cotswold,ltla,2022-06-04,65496
E07000079,Cotswold,ltla,2022-06-03,65494
E07000079,Cotswold,ltla,2022-06-02,65494
E07000079,Cotswold,ltla,2022-06-01,65493
E07000079,Cotswold,ltla,2022-05-31,65485
E07000079,Cotswold,ltla,2022-05-30,65472
E07000079,Cotswold,ltla,2022-05-29,65449
E07000079,Cotswold,ltla,2022-05-28,65448
E07000079,Cotswold,ltla,2022-05-27,65433
E07000079,Cotswold,ltla,2022-05-26,65431
E07000079,Cotswold,ltla,2022-05-25,65417
E07000079,Cotswold,ltla,2022-05-24,65401
E07000079,Cotswold,ltla,2022-05-23,65382
E07000079,Cotswold,ltla,2022-05-22,65380
E07000079,Cotswold,ltla,2022-05-21,65379
E07000079,Cotswold,ltla,2022-05-20,65375
E07000079,Cotswold,ltla,2022-05-19,65366
E07000079,Cotswold,ltla,2022-05-18,65346
E07000079,Cotswold,ltla,2022-05-17,65327
E07000079,Cotswold,ltla,2022-05-16,65318
E07000079,Cotswold,ltla,2022-05-15,65315
E07000079,Cotswold,ltla,2022-05-14,65302
E07000079,Cotswold,ltla,2022-05-13,65291
E07000079,Cotswold,ltla,2022-05-12,65288
E07000079,Cotswold,ltla,2022-05-11,65280
E07000079,Cotswold,ltla,2022-05-10,65253
E07000079,Cotswold,ltla,2022-05-09,65225
E07000079,Cotswold,ltla,2022-05-08,65222
E07000079,Cotswold,ltla,2022-05-07,65220
E07000079,Cotswold,ltla,2022-05-06,65209
E07000079,Cotswold,ltla,2022-05-05,65188
E07000079,Cotswold,ltla,2022-05-04,65170
E07000079,Cotswold,ltla,2022-05-03,65150
E07000079,Cotswold,ltla,2022-05-02,65140
E07000079,Cotswold,ltla,2022-05-01,65139
E07000079,Cotswold,ltla,2022-04-30,65138
E07000079,Cotswold,ltla,2022-04-29,65122
E07000079,Cotswold,ltla,2022-04-28,65117
E07000079,Cotswold,ltla,2022-04-27,65111
E07000079,Cotswold,ltla,2022-04-26,65087
E07000079,Cotswold,ltla,2022-04-25,65048
E07000079,Cotswold,ltla,2022-04-24,65041
E07000079,Cotswold,ltla,2022-04-23,65036
E07000079,Cotswold,ltla,2022-04-22,65004
E07000079,Cotswold,ltla,2022-04-21,64993
E07000079,Cotswold,ltla,2022-04-20,64989
E07000079,Cotswold,ltla,2022-04-19,64984
E07000079,Cotswold,ltla,2022-04-18,64933
E07000079,Cotswold,ltla,2022-04-17,64933
E07000079,Cotswold,ltla,2022-04-16,64932
E07000079,Cotswold,ltla,2022-04-15,64923
E07000079,Cotswold,ltla,2022-04-14,64921
E07000079,Cotswold,ltla,2022-04-13,64896
E07000079,Cotswold,ltla,2022-04-12,64866
E07000079,Cotswold,ltla,2022-04-11,64860
E07000079,Cotswold,ltla,2022-04-10,64853
E07000079,Cotswold,ltla,2022-04-09,64853
E07000079,Cotswold,ltla,2022-04-08,64844
E07000079,Cotswold,ltla,2022-04-07,64836
E07000079,Cotswold,ltla,2022-04-06,64814
E07000079,Cotswold,ltla,2022-04-05,64788
E07000079,Cotswold,ltla,2022-04-04,64752
E07000079,Cotswold,ltla,2022-04-03,64749
E07000079,Cotswold,ltla,2022-04-02,64737
E07000079,Cotswold,ltla,2022-04-01,64707
E07000079,Cotswold,ltla,2022-03-31,64700
E07000079,Cotswold,ltla,2022-03-30,64671
E07000079,Cotswold,ltla,2022-03-29,64643
E07000079,Cotswold,ltla,2022-03-28,64587
E07000079,Cotswold,ltla,2022-03-27,64584
E07000079,Cotswold,ltla,2022-03-26,64583
E07000079,Cotswold,ltla,2022-03-25,64542
E07000079,Cotswold,ltla,2022-03-24,64538
E07000079,Cotswold,ltla,2022-03-23,64505
E07000079,Cotswold,ltla,2022-03-22,64471
E07000079,Cotswold,ltla,2022-03-21,64408
