areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000062,Hastings,ltla,2022-08-02,52075
E07000062,Hastings,ltla,2022-08-01,52057
E07000062,Hastings,ltla,2022-07-31,52055
E07000062,Hastings,ltla,2022-07-30,52041
E07000062,Hastings,ltla,2022-07-29,52034
E07000062,Hastings,ltla,2022-07-28,52027
E07000062,Hastings,ltla,2022-07-27,52018
E07000062,Hastings,ltla,2022-07-26,52005
E07000062,Hastings,ltla,2022-07-25,51992
E07000062,Hastings,ltla,2022-07-24,51990
E07000062,Hastings,ltla,2022-07-23,51985
E07000062,Hastings,ltla,2022-07-22,51976
E07000062,Hastings,ltla,2022-07-21,51974
E07000062,Hastings,ltla,2022-07-20,51970
E07000062,Hastings,ltla,2022-07-19,51965
E07000062,Hastings,ltla,2022-07-18,51956
E07000062,Hastings,ltla,2022-07-17,51954
E07000062,Hastings,ltla,2022-07-16,51954
E07000062,Hastings,ltla,2022-07-15,51944
E07000062,Hastings,ltla,2022-07-14,51932
E07000062,Hastings,ltla,2022-07-13,51924
E07000062,Hastings,ltla,2022-07-12,51914
E07000062,Hastings,ltla,2022-07-11,51901
E07000062,Hastings,ltla,2022-07-10,51899
E07000062,Hastings,ltla,2022-07-09,51897
E07000062,Hastings,ltla,2022-07-08,51895
E07000062,Hastings,ltla,2022-07-07,51883
E07000062,Hastings,ltla,2022-07-06,51872
E07000062,Hastings,ltla,2022-07-05,51868
E07000062,Hastings,ltla,2022-07-04,51843
E07000062,Hastings,ltla,2022-07-03,51840
E07000062,Hastings,ltla,2022-07-02,51837
E07000062,Hastings,ltla,2022-07-01,51827
E07000062,Hastings,ltla,2022-06-30,51809
E07000062,Hastings,ltla,2022-06-29,51799
E07000062,Hastings,ltla,2022-06-28,51789
E07000062,Hastings,ltla,2022-06-27,51775
E07000062,Hastings,ltla,2022-06-26,51773
E07000062,Hastings,ltla,2022-06-25,51768
E07000062,Hastings,ltla,2022-06-24,51752
E07000062,Hastings,ltla,2022-06-23,51737
E07000062,Hastings,ltla,2022-06-22,51729
E07000062,Hastings,ltla,2022-06-21,51729
E07000062,Hastings,ltla,2022-06-20,51719
E07000062,Hastings,ltla,2022-06-19,51719
E07000062,Hastings,ltla,2022-06-18,51715
E07000062,Hastings,ltla,2022-06-17,51704
E07000062,Hastings,ltla,2022-06-16,51692
E07000062,Hastings,ltla,2022-06-15,51683
E07000062,Hastings,ltla,2022-06-14,51678
E07000062,Hastings,ltla,2022-06-13,51669
E07000062,Hastings,ltla,2022-06-12,51662
E07000062,Hastings,ltla,2022-06-11,51659
E07000062,Hastings,ltla,2022-06-10,51647
E07000062,Hastings,ltla,2022-06-09,51633
E07000062,Hastings,ltla,2022-06-08,51621
E07000062,Hastings,ltla,2022-06-07,51618
E07000062,Hastings,ltla,2022-06-06,51600
E07000062,Hastings,ltla,2022-06-05,51598
E07000062,Hastings,ltla,2022-06-04,51591
E07000062,Hastings,ltla,2022-06-03,51577
E07000062,Hastings,ltla,2022-06-02,51577
E07000062,Hastings,ltla,2022-06-01,51577
E07000062,Hastings,ltla,2022-05-31,51569
E07000062,Hastings,ltla,2022-05-30,51559
E07000062,Hastings,ltla,2022-05-29,51554
E07000062,Hastings,ltla,2022-05-28,51547
E07000062,Hastings,ltla,2022-05-27,51530
E07000062,Hastings,ltla,2022-05-26,51521
E07000062,Hastings,ltla,2022-05-25,51514
E07000062,Hastings,ltla,2022-05-24,51507
E07000062,Hastings,ltla,2022-05-23,51494
E07000062,Hastings,ltla,2022-05-22,51487
E07000062,Hastings,ltla,2022-05-21,51481
E07000062,Hastings,ltla,2022-05-20,51457
E07000062,Hastings,ltla,2022-05-19,51434
E07000062,Hastings,ltla,2022-05-18,51429
E07000062,Hastings,ltla,2022-05-17,51424
E07000062,Hastings,ltla,2022-05-16,51408
E07000062,Hastings,ltla,2022-05-15,51407
E07000062,Hastings,ltla,2022-05-14,51403
E07000062,Hastings,ltla,2022-05-13,51382
E07000062,Hastings,ltla,2022-05-12,51352
E07000062,Hastings,ltla,2022-05-11,51341
E07000062,Hastings,ltla,2022-05-10,51333
E07000062,Hastings,ltla,2022-05-09,51306
E07000062,Hastings,ltla,2022-05-08,51302
E07000062,Hastings,ltla,2022-05-07,51293
E07000062,Hastings,ltla,2022-05-06,51265
E07000062,Hastings,ltla,2022-05-05,51247
E07000062,Hastings,ltla,2022-05-04,51240
E07000062,Hastings,ltla,2022-05-03,51229
E07000062,Hastings,ltla,2022-05-02,51208
E07000062,Hastings,ltla,2022-05-01,51208
E07000062,Hastings,ltla,2022-04-30,51203
E07000062,Hastings,ltla,2022-04-29,51172
E07000062,Hastings,ltla,2022-04-28,51155
E07000062,Hastings,ltla,2022-04-27,51144
E07000062,Hastings,ltla,2022-04-26,51138
E07000062,Hastings,ltla,2022-04-25,51115
E07000062,Hastings,ltla,2022-04-24,51113
E07000062,Hastings,ltla,2022-04-23,51108
E07000062,Hastings,ltla,2022-04-22,51085
E07000062,Hastings,ltla,2022-04-21,51060
E07000062,Hastings,ltla,2022-04-20,51052
E07000062,Hastings,ltla,2022-04-19,51042
E07000062,Hastings,ltla,2022-04-18,51014
E07000062,Hastings,ltla,2022-04-17,51014
E07000062,Hastings,ltla,2022-04-16,51012
E07000062,Hastings,ltla,2022-04-15,50983
E07000062,Hastings,ltla,2022-04-14,50968
E07000062,Hastings,ltla,2022-04-13,50963
E07000062,Hastings,ltla,2022-04-12,50948
E07000062,Hastings,ltla,2022-04-11,50909
E07000062,Hastings,ltla,2022-04-10,50902
E07000062,Hastings,ltla,2022-04-09,50896
E07000062,Hastings,ltla,2022-04-08,50872
E07000062,Hastings,ltla,2022-04-07,50846
E07000062,Hastings,ltla,2022-04-06,50836
E07000062,Hastings,ltla,2022-04-05,50819
E07000062,Hastings,ltla,2022-04-04,50802
E07000062,Hastings,ltla,2022-04-03,50792
E07000062,Hastings,ltla,2022-04-02,50787
E07000062,Hastings,ltla,2022-04-01,50764
E07000062,Hastings,ltla,2022-03-31,50752
E07000062,Hastings,ltla,2022-03-30,50747
E07000062,Hastings,ltla,2022-03-29,50742
E07000062,Hastings,ltla,2022-03-28,50721
E07000062,Hastings,ltla,2022-03-27,50714
E07000062,Hastings,ltla,2022-03-26,50712
E07000062,Hastings,ltla,2022-03-25,50696
E07000062,Hastings,ltla,2022-03-24,50673
E07000062,Hastings,ltla,2022-03-23,50667
E07000062,Hastings,ltla,2022-03-22,50652
E07000062,Hastings,ltla,2022-03-21,50627
E07000062,Hastings,ltla,2022-03-20,50617
E07000062,Hastings,ltla,2022-03-19,50600
E07000062,Hastings,ltla,2022-03-18,50550
E07000062,Hastings,ltla,2022-03-17,50536
E07000062,Hastings,ltla,2022-03-16,50518
E07000062,Hastings,ltla,2022-03-15,50513
E07000062,Hastings,ltla,2022-03-14,50472
E07000062,Hastings,ltla,2022-03-13,50464
E07000062,Hastings,ltla,2022-03-12,50453
E07000062,Hastings,ltla,2022-03-11,50414
E07000062,Hastings,ltla,2022-03-10,50398
