areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000135,Oadby and Wigston,ltla,2022-08-02,34809
E07000135,Oadby and Wigston,ltla,2022-08-01,34806
E07000135,Oadby and Wigston,ltla,2022-07-31,34803
E07000135,Oadby and Wigston,ltla,2022-07-30,34803
E07000135,Oadby and Wigston,ltla,2022-07-29,34797
E07000135,Oadby and Wigston,ltla,2022-07-28,34790
E07000135,Oadby and Wigston,ltla,2022-07-27,34789
E07000135,Oadby and Wigston,ltla,2022-07-26,34789
E07000135,Oadby and Wigston,ltla,2022-07-25,34789
E07000135,Oadby and Wigston,ltla,2022-07-24,34782
E07000135,Oadby and Wigston,ltla,2022-07-23,34782
E07000135,Oadby and Wigston,ltla,2022-07-22,34774
E07000135,Oadby and Wigston,ltla,2022-07-21,34771
E07000135,Oadby and Wigston,ltla,2022-07-20,34768
E07000135,Oadby and Wigston,ltla,2022-07-19,34766
E07000135,Oadby and Wigston,ltla,2022-07-18,34761
E07000135,Oadby and Wigston,ltla,2022-07-17,34756
E07000135,Oadby and Wigston,ltla,2022-07-16,34756
E07000135,Oadby and Wigston,ltla,2022-07-15,34751
E07000135,Oadby and Wigston,ltla,2022-07-14,34744
E07000135,Oadby and Wigston,ltla,2022-07-13,34742
E07000135,Oadby and Wigston,ltla,2022-07-12,34733
E07000135,Oadby and Wigston,ltla,2022-07-11,34729
E07000135,Oadby and Wigston,ltla,2022-07-10,34723
E07000135,Oadby and Wigston,ltla,2022-07-09,34723
E07000135,Oadby and Wigston,ltla,2022-07-08,34721
E07000135,Oadby and Wigston,ltla,2022-07-07,34716
E07000135,Oadby and Wigston,ltla,2022-07-06,34713
E07000135,Oadby and Wigston,ltla,2022-07-05,34702
E07000135,Oadby and Wigston,ltla,2022-07-04,34696
E07000135,Oadby and Wigston,ltla,2022-07-03,34686
E07000135,Oadby and Wigston,ltla,2022-07-02,34684
E07000135,Oadby and Wigston,ltla,2022-07-01,34673
E07000135,Oadby and Wigston,ltla,2022-06-30,34670
E07000135,Oadby and Wigston,ltla,2022-06-29,34657
E07000135,Oadby and Wigston,ltla,2022-06-28,34648
E07000135,Oadby and Wigston,ltla,2022-06-27,34635
E07000135,Oadby and Wigston,ltla,2022-06-26,34627
E07000135,Oadby and Wigston,ltla,2022-06-25,34627
E07000135,Oadby and Wigston,ltla,2022-06-24,34611
E07000135,Oadby and Wigston,ltla,2022-06-23,34606
E07000135,Oadby and Wigston,ltla,2022-06-22,34589
E07000135,Oadby and Wigston,ltla,2022-06-21,34580
E07000135,Oadby and Wigston,ltla,2022-06-20,34573
E07000135,Oadby and Wigston,ltla,2022-06-19,34565
E07000135,Oadby and Wigston,ltla,2022-06-18,34563
E07000135,Oadby and Wigston,ltla,2022-06-17,34544
E07000135,Oadby and Wigston,ltla,2022-06-16,34535
E07000135,Oadby and Wigston,ltla,2022-06-15,34527
E07000135,Oadby and Wigston,ltla,2022-06-14,34513
E07000135,Oadby and Wigston,ltla,2022-06-13,34505
E07000135,Oadby and Wigston,ltla,2022-06-12,34501
E07000135,Oadby and Wigston,ltla,2022-06-11,34500
E07000135,Oadby and Wigston,ltla,2022-06-10,34488
E07000135,Oadby and Wigston,ltla,2022-06-09,34486
E07000135,Oadby and Wigston,ltla,2022-06-08,34476
E07000135,Oadby and Wigston,ltla,2022-06-07,34460
E07000135,Oadby and Wigston,ltla,2022-06-06,34455
