areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E06000026,Plymouth,ltla,2022-08-02,156134
E06000026,Plymouth,ltla,2022-08-01,156111
E06000026,Plymouth,ltla,2022-07-31,156068
E06000026,Plymouth,ltla,2022-07-30,156026
E06000026,Plymouth,ltla,2022-07-29,156006
E06000026,Plymouth,ltla,2022-07-28,155997
E06000026,Plymouth,ltla,2022-07-27,155936
E06000026,Plymouth,ltla,2022-07-26,155911
E06000026,Plymouth,ltla,2022-07-25,155880
E06000026,Plymouth,ltla,2022-07-24,155811
E06000026,Plymouth,ltla,2022-07-23,155803
E06000026,Plymouth,ltla,2022-07-22,155732
E06000026,Plymouth,ltla,2022-07-21,155703
E06000026,Plymouth,ltla,2022-07-20,155675
E06000026,Plymouth,ltla,2022-07-19,155609
E06000026,Plymouth,ltla,2022-07-18,155602
E06000026,Plymouth,ltla,2022-07-17,155568
E06000026,Plymouth,ltla,2022-07-16,155559
E06000026,Plymouth,ltla,2022-07-15,155535
E06000026,Plymouth,ltla,2022-07-14,155521
E06000026,Plymouth,ltla,2022-07-13,155431
E06000026,Plymouth,ltla,2022-07-12,155417
E06000026,Plymouth,ltla,2022-07-11,155406
E06000026,Plymouth,ltla,2022-07-10,155367
E06000026,Plymouth,ltla,2022-07-09,155324
E06000026,Plymouth,ltla,2022-07-08,155319
E06000026,Plymouth,ltla,2022-07-07,155292
E06000026,Plymouth,ltla,2022-07-06,155263
E06000026,Plymouth,ltla,2022-07-05,155243
E06000026,Plymouth,ltla,2022-07-04,155183
E06000026,Plymouth,ltla,2022-07-03,155135
E06000026,Plymouth,ltla,2022-07-02,155089
E06000026,Plymouth,ltla,2022-07-01,155078
E06000026,Plymouth,ltla,2022-06-30,155068
E06000026,Plymouth,ltla,2022-06-29,155028
E06000026,Plymouth,ltla,2022-06-28,154966
E06000026,Plymouth,ltla,2022-06-27,154937
E06000026,Plymouth,ltla,2022-06-26,154871
E06000026,Plymouth,ltla,2022-06-25,154832
E06000026,Plymouth,ltla,2022-06-24,154827
E06000026,Plymouth,ltla,2022-06-23,154810
E06000026,Plymouth,ltla,2022-06-22,154777
E06000026,Plymouth,ltla,2022-06-21,154724
E06000026,Plymouth,ltla,2022-06-20,154682
E06000026,Plymouth,ltla,2022-06-19,154635
E06000026,Plymouth,ltla,2022-06-18,154619
E06000026,Plymouth,ltla,2022-06-17,154608
E06000026,Plymouth,ltla,2022-06-16,154585
E06000026,Plymouth,ltla,2022-06-15,154525
E06000026,Plymouth,ltla,2022-06-14,154497
E06000026,Plymouth,ltla,2022-06-13,154441
E06000026,Plymouth,ltla,2022-06-12,154379
E06000026,Plymouth,ltla,2022-06-11,154315
E06000026,Plymouth,ltla,2022-06-10,154305
E06000026,Plymouth,ltla,2022-06-09,154267
E06000026,Plymouth,ltla,2022-06-08,154219
E06000026,Plymouth,ltla,2022-06-07,154168
E06000026,Plymouth,ltla,2022-06-06,154129
E06000026,Plymouth,ltla,2022-06-05,154059
E06000026,Plymouth,ltla,2022-06-04,154043
E06000026,Plymouth,ltla,2022-06-03,154026
E06000026,Plymouth,ltla,2022-06-02,154024
E06000026,Plymouth,ltla,2022-06-01,154012
E06000026,Plymouth,ltla,2022-05-31,153969
E06000026,Plymouth,ltla,2022-05-30,153940
E06000026,Plymouth,ltla,2022-05-29,153887
E06000026,Plymouth,ltla,2022-05-28,153848
E06000026,Plymouth,ltla,2022-05-27,153842
E06000026,Plymouth,ltla,2022-05-26,153823
E06000026,Plymouth,ltla,2022-05-25,153778
E06000026,Plymouth,ltla,2022-05-24,153690
E06000026,Plymouth,ltla,2022-05-23,153622
E06000026,Plymouth,ltla,2022-05-22,153539
E06000026,Plymouth,ltla,2022-05-21,153517
E06000026,Plymouth,ltla,2022-05-20,153508
E06000026,Plymouth,ltla,2022-05-19,153413
E06000026,Plymouth,ltla,2022-05-18,153307
E06000026,Plymouth,ltla,2022-05-17,153272
E06000026,Plymouth,ltla,2022-05-16,153221
E06000026,Plymouth,ltla,2022-05-15,153103
E06000026,Plymouth,ltla,2022-05-14,152974
E06000026,Plymouth,ltla,2022-05-13,152965
E06000026,Plymouth,ltla,2022-05-12,152929
E06000026,Plymouth,ltla,2022-05-11,152887
E06000026,Plymouth,ltla,2022-05-10,152858
E06000026,Plymouth,ltla,2022-05-09,152814
E06000026,Plymouth,ltla,2022-05-08,152665
E06000026,Plymouth,ltla,2022-05-07,152647
E06000026,Plymouth,ltla,2022-05-06,152642
E06000026,Plymouth,ltla,2022-05-05,152579
E06000026,Plymouth,ltla,2022-05-04,152529
E06000026,Plymouth,ltla,2022-05-03,152413
E06000026,Plymouth,ltla,2022-05-02,152326
E06000026,Plymouth,ltla,2022-05-01,152261
E06000026,Plymouth,ltla,2022-04-30,152235
E06000026,Plymouth,ltla,2022-04-29,152225
E06000026,Plymouth,ltla,2022-04-28,152156
E06000026,Plymouth,ltla,2022-04-27,152034
