areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000075,Rochford,ltla,2022-08-02,57036
E07000075,Rochford,ltla,2022-08-01,57019
E07000075,Rochford,ltla,2022-07-31,57012
E07000075,Rochford,ltla,2022-07-30,57012
E07000075,Rochford,ltla,2022-07-29,57000
E07000075,Rochford,ltla,2022-07-28,56987
E07000075,Rochford,ltla,2022-07-27,56975
E07000075,Rochford,ltla,2022-07-26,56959
E07000075,Rochford,ltla,2022-07-25,56949
E07000075,Rochford,ltla,2022-07-24,56941
E07000075,Rochford,ltla,2022-07-23,56938
E07000075,Rochford,ltla,2022-07-22,56927
E07000075,Rochford,ltla,2022-07-21,56921
E07000075,Rochford,ltla,2022-07-20,56909
E07000075,Rochford,ltla,2022-07-19,56898
E07000075,Rochford,ltla,2022-07-18,56898
E07000075,Rochford,ltla,2022-07-17,56886
E07000075,Rochford,ltla,2022-07-16,56883
E07000075,Rochford,ltla,2022-07-15,56870
E07000075,Rochford,ltla,2022-07-14,56866
E07000075,Rochford,ltla,2022-07-13,56854
E07000075,Rochford,ltla,2022-07-12,56844
E07000075,Rochford,ltla,2022-07-11,56841
E07000075,Rochford,ltla,2022-07-10,56827
E07000075,Rochford,ltla,2022-07-09,56824
E07000075,Rochford,ltla,2022-07-08,56820
E07000075,Rochford,ltla,2022-07-07,56808
E07000075,Rochford,ltla,2022-07-06,56796
E07000075,Rochford,ltla,2022-07-05,56784
E07000075,Rochford,ltla,2022-07-04,56780
E07000075,Rochford,ltla,2022-07-03,56769
E07000075,Rochford,ltla,2022-07-02,56764
E07000075,Rochford,ltla,2022-07-01,56753
E07000075,Rochford,ltla,2022-06-30,56740
E07000075,Rochford,ltla,2022-06-29,56727
E07000075,Rochford,ltla,2022-06-28,56720
E07000075,Rochford,ltla,2022-06-27,56715
E07000075,Rochford,ltla,2022-06-26,56708
E07000075,Rochford,ltla,2022-06-25,56698
E07000075,Rochford,ltla,2022-06-24,56680
E07000075,Rochford,ltla,2022-06-23,56674
E07000075,Rochford,ltla,2022-06-22,56661
E07000075,Rochford,ltla,2022-06-21,56641
E07000075,Rochford,ltla,2022-06-20,56628
E07000075,Rochford,ltla,2022-06-19,56612
E07000075,Rochford,ltla,2022-06-18,56611
E07000075,Rochford,ltla,2022-06-17,56597
E07000075,Rochford,ltla,2022-06-16,56586
E07000075,Rochford,ltla,2022-06-15,56576
E07000075,Rochford,ltla,2022-06-14,56562
E07000075,Rochford,ltla,2022-06-13,56552
E07000075,Rochford,ltla,2022-06-12,56538
E07000075,Rochford,ltla,2022-06-11,56535
E07000075,Rochford,ltla,2022-06-10,56518
E07000075,Rochford,ltla,2022-06-09,56501
E07000075,Rochford,ltla,2022-06-08,56486
E07000075,Rochford,ltla,2022-06-07,56460
E07000075,Rochford,ltla,2022-06-06,56455
E07000075,Rochford,ltla,2022-06-05,56448
E07000075,Rochford,ltla,2022-06-04,56446
E07000075,Rochford,ltla,2022-06-03,56433
E07000075,Rochford,ltla,2022-06-02,56432
E07000075,Rochford,ltla,2022-06-01,56431
E07000075,Rochford,ltla,2022-05-31,56412
E07000075,Rochford,ltla,2022-05-30,56394
E07000075,Rochford,ltla,2022-05-29,56384
E07000075,Rochford,ltla,2022-05-28,56380
E07000075,Rochford,ltla,2022-05-27,56362
E07000075,Rochford,ltla,2022-05-26,56348
E07000075,Rochford,ltla,2022-05-25,56334
E07000075,Rochford,ltla,2022-05-24,56319
E07000075,Rochford,ltla,2022-05-23,56311
E07000075,Rochford,ltla,2022-05-22,56295
E07000075,Rochford,ltla,2022-05-21,56291
E07000075,Rochford,ltla,2022-05-20,56270
E07000075,Rochford,ltla,2022-05-19,56252
E07000075,Rochford,ltla,2022-05-18,56234
E07000075,Rochford,ltla,2022-05-17,56214
E07000075,Rochford,ltla,2022-05-16,56193
E07000075,Rochford,ltla,2022-05-15,56172
E07000075,Rochford,ltla,2022-05-14,56165
E07000075,Rochford,ltla,2022-05-13,56150
E07000075,Rochford,ltla,2022-05-12,56134
E07000075,Rochford,ltla,2022-05-11,56116
E07000075,Rochford,ltla,2022-05-10,56091
E07000075,Rochford,ltla,2022-05-09,56079
E07000075,Rochford,ltla,2022-05-08,56050
E07000075,Rochford,ltla,2022-05-07,56045
E07000075,Rochford,ltla,2022-05-06,56022
E07000075,Rochford,ltla,2022-05-05,55997
E07000075,Rochford,ltla,2022-05-04,55968
E07000075,Rochford,ltla,2022-05-03,55948
E07000075,Rochford,ltla,2022-05-02,55919
E07000075,Rochford,ltla,2022-05-01,55919
E07000075,Rochford,ltla,2022-04-30,55916
E07000075,Rochford,ltla,2022-04-29,55896
E07000075,Rochford,ltla,2022-04-28,55864
E07000075,Rochford,ltla,2022-04-27,55833
E07000075,Rochford,ltla,2022-04-26,55814
E07000075,Rochford,ltla,2022-04-25,55797
E07000075,Rochford,ltla,2022-04-24,55768
E07000075,Rochford,ltla,2022-04-23,55763
E07000075,Rochford,ltla,2022-04-22,55725
E07000075,Rochford,ltla,2022-04-21,55698
E07000075,Rochford,ltla,2022-04-20,55655
E07000075,Rochford,ltla,2022-04-19,55630
