areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E08000028,Sandwell,ltla,2022-08-02,150077
E08000028,Sandwell,ltla,2022-08-01,150056
E08000028,Sandwell,ltla,2022-07-31,150029
E08000028,Sandwell,ltla,2022-07-30,150020
E08000028,Sandwell,ltla,2022-07-29,150001
E08000028,Sandwell,ltla,2022-07-28,149963
E08000028,Sandwell,ltla,2022-07-27,149938
E08000028,Sandwell,ltla,2022-07-26,149917
E08000028,Sandwell,ltla,2022-07-25,149880
E08000028,Sandwell,ltla,2022-07-24,149845
E08000028,Sandwell,ltla,2022-07-23,149836
E08000028,Sandwell,ltla,2022-07-22,149795
E08000028,Sandwell,ltla,2022-07-21,149760
E08000028,Sandwell,ltla,2022-07-20,149730
E08000028,Sandwell,ltla,2022-07-19,149714
E08000028,Sandwell,ltla,2022-07-18,149693
E08000028,Sandwell,ltla,2022-07-17,149665
E08000028,Sandwell,ltla,2022-07-16,149648
E08000028,Sandwell,ltla,2022-07-15,149612
E08000028,Sandwell,ltla,2022-07-14,149569
E08000028,Sandwell,ltla,2022-07-13,149532
E08000028,Sandwell,ltla,2022-07-12,149504
E08000028,Sandwell,ltla,2022-07-11,149464
E08000028,Sandwell,ltla,2022-07-10,149430
E08000028,Sandwell,ltla,2022-07-09,149425
E08000028,Sandwell,ltla,2022-07-08,149384
E08000028,Sandwell,ltla,2022-07-07,149334
E08000028,Sandwell,ltla,2022-07-06,149295
E08000028,Sandwell,ltla,2022-07-05,149269
E08000028,Sandwell,ltla,2022-07-04,149230
E08000028,Sandwell,ltla,2022-07-03,149174
E08000028,Sandwell,ltla,2022-07-02,149159
E08000028,Sandwell,ltla,2022-07-01,149115
E08000028,Sandwell,ltla,2022-06-30,149088
E08000028,Sandwell,ltla,2022-06-29,149063
E08000028,Sandwell,ltla,2022-06-28,149022
E08000028,Sandwell,ltla,2022-06-27,148976
E08000028,Sandwell,ltla,2022-06-26,148942
E08000028,Sandwell,ltla,2022-06-25,148919
E08000028,Sandwell,ltla,2022-06-24,148873
E08000028,Sandwell,ltla,2022-06-23,148837
E08000028,Sandwell,ltla,2022-06-22,148800
E08000028,Sandwell,ltla,2022-06-21,148771
E08000028,Sandwell,ltla,2022-06-20,148742
E08000028,Sandwell,ltla,2022-06-19,148708
E08000028,Sandwell,ltla,2022-06-18,148693
E08000028,Sandwell,ltla,2022-06-17,148662
E08000028,Sandwell,ltla,2022-06-16,148626
E08000028,Sandwell,ltla,2022-06-15,148614
E08000028,Sandwell,ltla,2022-06-14,148583
E08000028,Sandwell,ltla,2022-06-13,148546
E08000028,Sandwell,ltla,2022-06-12,148493
E08000028,Sandwell,ltla,2022-06-11,148477
E08000028,Sandwell,ltla,2022-06-10,148442
E08000028,Sandwell,ltla,2022-06-09,148392
E08000028,Sandwell,ltla,2022-06-08,148355
E08000028,Sandwell,ltla,2022-06-07,148320
E08000028,Sandwell,ltla,2022-06-06,148283
E08000028,Sandwell,ltla,2022-06-05,148239
E08000028,Sandwell,ltla,2022-06-04,148213
E08000028,Sandwell,ltla,2022-06-03,148195
E08000028,Sandwell,ltla,2022-06-02,148193
E08000028,Sandwell,ltla,2022-06-01,148179
E08000028,Sandwell,ltla,2022-05-31,148142
E08000028,Sandwell,ltla,2022-05-30,148086
E08000028,Sandwell,ltla,2022-05-29,148018
E08000028,Sandwell,ltla,2022-05-28,147989
E08000028,Sandwell,ltla,2022-05-27,147940
E08000028,Sandwell,ltla,2022-05-26,147906
E08000028,Sandwell,ltla,2022-05-25,147877
E08000028,Sandwell,ltla,2022-05-24,147846
E08000028,Sandwell,ltla,2022-05-23,147815
E08000028,Sandwell,ltla,2022-05-22,147774
E08000028,Sandwell,ltla,2022-05-21,147746
E08000028,Sandwell,ltla,2022-05-20,147697
E08000028,Sandwell,ltla,2022-05-19,147630
E08000028,Sandwell,ltla,2022-05-18,147563
E08000028,Sandwell,ltla,2022-05-17,147510
E08000028,Sandwell,ltla,2022-05-16,147461
E08000028,Sandwell,ltla,2022-05-15,147403
E08000028,Sandwell,ltla,2022-05-14,147377
E08000028,Sandwell,ltla,2022-05-13,147312
E08000028,Sandwell,ltla,2022-05-12,147255
E08000028,Sandwell,ltla,2022-05-11,147209
E08000028,Sandwell,ltla,2022-05-10,147153
E08000028,Sandwell,ltla,2022-05-09,147101
E08000028,Sandwell,ltla,2022-05-08,147043
E08000028,Sandwell,ltla,2022-05-07,147010
E08000028,Sandwell,ltla,2022-05-06,146929
E08000028,Sandwell,ltla,2022-05-05,146862
E08000028,Sandwell,ltla,2022-05-04,146800
E08000028,Sandwell,ltla,2022-05-03,146733
E08000028,Sandwell,ltla,2022-05-02,146668
E08000028,Sandwell,ltla,2022-05-01,146658
E08000028,Sandwell,ltla,2022-04-30,146631
E08000028,Sandwell,ltla,2022-04-29,146565
E08000028,Sandwell,ltla,2022-04-28,146494
E08000028,Sandwell,ltla,2022-04-27,146437
E08000028,Sandwell,ltla,2022-04-26,146378
E08000028,Sandwell,ltla,2022-04-25,146300
E08000028,Sandwell,ltla,2022-04-24,146241
E08000028,Sandwell,ltla,2022-04-23,146207
E08000028,Sandwell,ltla,2022-04-22,146134
E08000028,Sandwell,ltla,2022-04-21,146071
E08000028,Sandwell,ltla,2022-04-20,145993
E08000028,Sandwell,ltla,2022-04-19,145932
E08000028,Sandwell,ltla,2022-04-18,145860
E08000028,Sandwell,ltla,2022-04-17,145847
E08000028,Sandwell,ltla,2022-04-16,145832
