areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000169,Selby,ltla,2022-08-02,61735
E07000169,Selby,ltla,2022-08-01,61730
E07000169,Selby,ltla,2022-07-31,61720
E07000169,Selby,ltla,2022-07-30,61717
E07000169,Selby,ltla,2022-07-29,61710
E07000169,Selby,ltla,2022-07-28,61705
E07000169,Selby,ltla,2022-07-27,61692
E07000169,Selby,ltla,2022-07-26,61683
E07000169,Selby,ltla,2022-07-25,61679
E07000169,Selby,ltla,2022-07-24,61672
E07000169,Selby,ltla,2022-07-23,61671
E07000169,Selby,ltla,2022-07-22,61669
E07000169,Selby,ltla,2022-07-21,61659
E07000169,Selby,ltla,2022-07-20,61648
E07000169,Selby,ltla,2022-07-19,61635
E07000169,Selby,ltla,2022-07-18,61628
E07000169,Selby,ltla,2022-07-17,61616
E07000169,Selby,ltla,2022-07-16,61609
E07000169,Selby,ltla,2022-07-15,61597
E07000169,Selby,ltla,2022-07-14,61591
E07000169,Selby,ltla,2022-07-13,61576
E07000169,Selby,ltla,2022-07-12,61565
E07000169,Selby,ltla,2022-07-11,61550
E07000169,Selby,ltla,2022-07-10,61535
E07000169,Selby,ltla,2022-07-09,61535
E07000169,Selby,ltla,2022-07-08,61526
E07000169,Selby,ltla,2022-07-07,61516
E07000169,Selby,ltla,2022-07-06,61504
E07000169,Selby,ltla,2022-07-05,61493
E07000169,Selby,ltla,2022-07-04,61479
E07000169,Selby,ltla,2022-07-03,61471
E07000169,Selby,ltla,2022-07-02,61469
E07000169,Selby,ltla,2022-07-01,61458
E07000169,Selby,ltla,2022-06-30,61443
E07000169,Selby,ltla,2022-06-29,61430
E07000169,Selby,ltla,2022-06-28,61417
E07000169,Selby,ltla,2022-06-27,61409
E07000169,Selby,ltla,2022-06-26,61398
E07000169,Selby,ltla,2022-06-25,61398
E07000169,Selby,ltla,2022-06-24,61384
E07000169,Selby,ltla,2022-06-23,61365
E07000169,Selby,ltla,2022-06-22,61362
E07000169,Selby,ltla,2022-06-21,61358
E07000169,Selby,ltla,2022-06-20,61350
E07000169,Selby,ltla,2022-06-19,61344
E07000169,Selby,ltla,2022-06-18,61342
E07000169,Selby,ltla,2022-06-17,61332
E07000169,Selby,ltla,2022-06-16,61318
E07000169,Selby,ltla,2022-06-15,61303
E07000169,Selby,ltla,2022-06-14,61299
E07000169,Selby,ltla,2022-06-13,61291
E07000169,Selby,ltla,2022-06-12,61276
E07000169,Selby,ltla,2022-06-11,61275
E07000169,Selby,ltla,2022-06-10,61228
E07000169,Selby,ltla,2022-06-09,61218
E07000169,Selby,ltla,2022-06-08,61212
E07000169,Selby,ltla,2022-06-07,61198
E07000169,Selby,ltla,2022-06-06,61184
E07000169,Selby,ltla,2022-06-05,61171
E07000169,Selby,ltla,2022-06-04,61171
E07000169,Selby,ltla,2022-06-03,61165
E07000169,Selby,ltla,2022-06-02,61164
E07000169,Selby,ltla,2022-06-01,61163
E07000169,Selby,ltla,2022-05-31,61146
E07000169,Selby,ltla,2022-05-30,61135
E07000169,Selby,ltla,2022-05-29,61114
E07000169,Selby,ltla,2022-05-28,61109
E07000169,Selby,ltla,2022-05-27,61090
E07000169,Selby,ltla,2022-05-26,61077
E07000169,Selby,ltla,2022-05-25,61064
E07000169,Selby,ltla,2022-05-24,61047
E07000169,Selby,ltla,2022-05-23,61021
E07000169,Selby,ltla,2022-05-22,61009
E07000169,Selby,ltla,2022-05-21,61002
E07000169,Selby,ltla,2022-05-20,60991
E07000169,Selby,ltla,2022-05-19,60974
E07000169,Selby,ltla,2022-05-18,60967
E07000169,Selby,ltla,2022-05-17,60950
E07000169,Selby,ltla,2022-05-16,60940
E07000169,Selby,ltla,2022-05-15,60931
E07000169,Selby,ltla,2022-05-14,60918
E07000169,Selby,ltla,2022-05-13,60895
E07000169,Selby,ltla,2022-05-12,60881
E07000169,Selby,ltla,2022-05-11,60865
E07000169,Selby,ltla,2022-05-10,60850
E07000169,Selby,ltla,2022-05-09,60828
E07000169,Selby,ltla,2022-05-08,60797
E07000169,Selby,ltla,2022-05-07,60792
E07000169,Selby,ltla,2022-05-06,60772
E07000169,Selby,ltla,2022-05-05,60752
E07000169,Selby,ltla,2022-05-04,60734
E07000169,Selby,ltla,2022-05-03,60715
E07000169,Selby,ltla,2022-05-02,60694
E07000169,Selby,ltla,2022-05-01,60683
E07000169,Selby,ltla,2022-04-30,60673
E07000169,Selby,ltla,2022-04-29,60656
E07000169,Selby,ltla,2022-04-28,60632
E07000169,Selby,ltla,2022-04-27,60612
E07000169,Selby,ltla,2022-04-26,60584
E07000169,Selby,ltla,2022-04-25,60560
E07000169,Selby,ltla,2022-04-24,60534
E07000169,Selby,ltla,2022-04-23,60527
E07000169,Selby,ltla,2022-04-22,60499
E07000169,Selby,ltla,2022-04-21,60466
E07000169,Selby,ltla,2022-04-20,60446
E07000169,Selby,ltla,2022-04-19,60416
E07000169,Selby,ltla,2022-04-18,60387
E07000169,Selby,ltla,2022-04-17,60381
E07000169,Selby,ltla,2022-04-16,60378
E07000169,Selby,ltla,2022-04-15,60369
E07000169,Selby,ltla,2022-04-14,60344
E07000169,Selby,ltla,2022-04-13,60335
E07000169,Selby,ltla,2022-04-12,60306
E07000169,Selby,ltla,2022-04-11,60272
E07000169,Selby,ltla,2022-04-10,60245
E07000169,Selby,ltla,2022-04-09,60239
E07000169,Selby,ltla,2022-04-08,60203
E07000169,Selby,ltla,2022-04-07,60181
E07000169,Selby,ltla,2022-04-06,60160
E07000169,Selby,ltla,2022-04-05,60126
E07000169,Selby,ltla,2022-04-04,60090
E07000169,Selby,ltla,2022-04-03,60062
E07000169,Selby,ltla,2022-04-02,60050
E07000169,Selby,ltla,2022-04-01,60029
E07000169,Selby,ltla,2022-03-31,60008
E07000169,Selby,ltla,2022-03-30,59997
E07000169,Selby,ltla,2022-03-29,59953
E07000169,Selby,ltla,2022-03-28,59931
E07000169,Selby,ltla,2022-03-27,59905
E07000169,Selby,ltla,2022-03-26,59898
E07000169,Selby,ltla,2022-03-25,59881
E07000169,Selby,ltla,2022-03-24,59868
E07000169,Selby,ltla,2022-03-23,59847
E07000169,Selby,ltla,2022-03-22,59804
E07000169,Selby,ltla,2022-03-21,59775
E07000169,Selby,ltla,2022-03-20,59753
E07000169,Selby,ltla,2022-03-19,59733
E07000169,Selby,ltla,2022-03-18,59719
E07000169,Selby,ltla,2022-03-17,59703
E07000169,Selby,ltla,2022-03-16,59689
E07000169,Selby,ltla,2022-03-15,59666
E07000169,Selby,ltla,2022-03-14,59639
E07000169,Selby,ltla,2022-03-13,59607
E07000169,Selby,ltla,2022-03-12,59594
E07000169,Selby,ltla,2022-03-11,59571
E07000169,Selby,ltla,2022-03-10,59545
E07000169,Selby,ltla,2022-03-09,59510
E07000169,Selby,ltla,2022-03-08,59492
E07000169,Selby,ltla,2022-03-07,59473
E07000169,Selby,ltla,2022-03-06,59441
E07000169,Selby,ltla,2022-03-05,59429
E07000169,Selby,ltla,2022-03-04,59412
E07000169,Selby,ltla,2022-03-03,59396
E07000169,Selby,ltla,2022-03-02,59380
