areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000179,South Oxfordshire,ltla,2022-08-02,103361
E07000179,South Oxfordshire,ltla,2022-08-01,103357
E07000179,South Oxfordshire,ltla,2022-07-31,103344
E07000179,South Oxfordshire,ltla,2022-07-30,103337
E07000179,South Oxfordshire,ltla,2022-07-29,103320
E07000179,South Oxfordshire,ltla,2022-07-28,103311
E07000179,South Oxfordshire,ltla,2022-07-27,103299
E07000179,South Oxfordshire,ltla,2022-07-26,103289
E07000179,South Oxfordshire,ltla,2022-07-25,103280
E07000179,South Oxfordshire,ltla,2022-07-24,103261
E07000179,South Oxfordshire,ltla,2022-07-23,103252
E07000179,South Oxfordshire,ltla,2022-07-22,103240
E07000179,South Oxfordshire,ltla,2022-07-21,103226
E07000179,South Oxfordshire,ltla,2022-07-20,103209
E07000179,South Oxfordshire,ltla,2022-07-19,103196
E07000179,South Oxfordshire,ltla,2022-07-18,103193
E07000179,South Oxfordshire,ltla,2022-07-17,103187
E07000179,South Oxfordshire,ltla,2022-07-16,103179
E07000179,South Oxfordshire,ltla,2022-07-15,103159
E07000179,South Oxfordshire,ltla,2022-07-14,103151
E07000179,South Oxfordshire,ltla,2022-07-13,103137
E07000179,South Oxfordshire,ltla,2022-07-12,103112
E07000179,South Oxfordshire,ltla,2022-07-11,103098
E07000179,South Oxfordshire,ltla,2022-07-10,103081
E07000179,South Oxfordshire,ltla,2022-07-09,103065
E07000179,South Oxfordshire,ltla,2022-07-08,103058
E07000179,South Oxfordshire,ltla,2022-07-07,103045
E07000179,South Oxfordshire,ltla,2022-07-06,103034
E07000179,South Oxfordshire,ltla,2022-07-05,103021
E07000179,South Oxfordshire,ltla,2022-07-04,103003
E07000179,South Oxfordshire,ltla,2022-07-03,102988
E07000179,South Oxfordshire,ltla,2022-07-02,102978
E07000179,South Oxfordshire,ltla,2022-07-01,102965
E07000179,South Oxfordshire,ltla,2022-06-30,102951
E07000179,South Oxfordshire,ltla,2022-06-29,102942
E07000179,South Oxfordshire,ltla,2022-06-28,102928
E07000179,South Oxfordshire,ltla,2022-06-27,102918
E07000179,South Oxfordshire,ltla,2022-06-26,102907
E07000179,South Oxfordshire,ltla,2022-06-25,102891
E07000179,South Oxfordshire,ltla,2022-06-24,102869
E07000179,South Oxfordshire,ltla,2022-06-23,102852
E07000179,South Oxfordshire,ltla,2022-06-22,102839
E07000179,South Oxfordshire,ltla,2022-06-21,102823
E07000179,South Oxfordshire,ltla,2022-06-20,102807
E07000179,South Oxfordshire,ltla,2022-06-19,102793
E07000179,South Oxfordshire,ltla,2022-06-18,102784
E07000179,South Oxfordshire,ltla,2022-06-17,102766
E07000179,South Oxfordshire,ltla,2022-06-16,102748
E07000179,South Oxfordshire,ltla,2022-06-15,102739
E07000179,South Oxfordshire,ltla,2022-06-14,102730
E07000179,South Oxfordshire,ltla,2022-06-13,102716
E07000179,South Oxfordshire,ltla,2022-06-12,102703
E07000179,South Oxfordshire,ltla,2022-06-11,102695
E07000179,South Oxfordshire,ltla,2022-06-10,102676
E07000179,South Oxfordshire,ltla,2022-06-09,102644
E07000179,South Oxfordshire,ltla,2022-06-08,102634
E07000179,South Oxfordshire,ltla,2022-06-07,102624
E07000179,South Oxfordshire,ltla,2022-06-06,102608
E07000179,South Oxfordshire,ltla,2022-06-05,102592
E07000179,South Oxfordshire,ltla,2022-06-04,102588
E07000179,South Oxfordshire,ltla,2022-06-03,102576
E07000179,South Oxfordshire,ltla,2022-06-02,102571
E07000179,South Oxfordshire,ltla,2022-06-01,102558
E07000179,South Oxfordshire,ltla,2022-05-31,102537
E07000179,South Oxfordshire,ltla,2022-05-30,102519
E07000179,South Oxfordshire,ltla,2022-05-29,102489
E07000179,South Oxfordshire,ltla,2022-05-28,102469
E07000179,South Oxfordshire,ltla,2022-05-27,102453
E07000179,South Oxfordshire,ltla,2022-05-26,102431
E07000179,South Oxfordshire,ltla,2022-05-25,102422
E07000179,South Oxfordshire,ltla,2022-05-24,102412
E07000179,South Oxfordshire,ltla,2022-05-23,102399
E07000179,South Oxfordshire,ltla,2022-05-22,102387
E07000179,South Oxfordshire,ltla,2022-05-21,102377
E07000179,South Oxfordshire,ltla,2022-05-20,102350
E07000179,South Oxfordshire,ltla,2022-05-19,102331
E07000179,South Oxfordshire,ltla,2022-05-18,102315
E07000179,South Oxfordshire,ltla,2022-05-17,102298
E07000179,South Oxfordshire,ltla,2022-05-16,102282
E07000179,South Oxfordshire,ltla,2022-05-15,102263
E07000179,South Oxfordshire,ltla,2022-05-14,102245
E07000179,South Oxfordshire,ltla,2022-05-13,102222
E07000179,South Oxfordshire,ltla,2022-05-12,102192
E07000179,South Oxfordshire,ltla,2022-05-11,102174
E07000179,South Oxfordshire,ltla,2022-05-10,102163
E07000179,South Oxfordshire,ltla,2022-05-09,102139
E07000179,South Oxfordshire,ltla,2022-05-08,102121
E07000179,South Oxfordshire,ltla,2022-05-07,102098
E07000179,South Oxfordshire,ltla,2022-05-06,102064
E07000179,South Oxfordshire,ltla,2022-05-05,102026
E07000179,South Oxfordshire,ltla,2022-05-04,102004
E07000179,South Oxfordshire,ltla,2022-05-03,101976
E07000179,South Oxfordshire,ltla,2022-05-02,101960
E07000179,South Oxfordshire,ltla,2022-05-01,101935
E07000179,South Oxfordshire,ltla,2022-04-30,101907
E07000179,South Oxfordshire,ltla,2022-04-29,101880
E07000179,South Oxfordshire,ltla,2022-04-28,101838
E07000179,South Oxfordshire,ltla,2022-04-27,101820
E07000179,South Oxfordshire,ltla,2022-04-26,101793
E07000179,South Oxfordshire,ltla,2022-04-25,101767
E07000179,South Oxfordshire,ltla,2022-04-24,101744
E07000179,South Oxfordshire,ltla,2022-04-23,101719
E07000179,South Oxfordshire,ltla,2022-04-22,101671
E07000179,South Oxfordshire,ltla,2022-04-21,101645
E07000179,South Oxfordshire,ltla,2022-04-20,101615
E07000179,South Oxfordshire,ltla,2022-04-19,101549
E07000179,South Oxfordshire,ltla,2022-04-18,101522
E07000179,South Oxfordshire,ltla,2022-04-17,101507
E07000179,South Oxfordshire,ltla,2022-04-16,101499
E07000179,South Oxfordshire,ltla,2022-04-15,101475
