areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000197,Stafford,ltla,2022-08-02,89118
E07000197,Stafford,ltla,2022-08-01,89107
E07000197,Stafford,ltla,2022-07-31,89107
E07000197,Stafford,ltla,2022-07-30,89097
E07000197,Stafford,ltla,2022-07-29,89082
E07000197,Stafford,ltla,2022-07-28,89079
E07000197,Stafford,ltla,2022-07-27,89070
E07000197,Stafford,ltla,2022-07-26,89064
E07000197,Stafford,ltla,2022-07-25,89051
E07000197,Stafford,ltla,2022-07-24,89048
E07000197,Stafford,ltla,2022-07-23,89031
E07000197,Stafford,ltla,2022-07-22,89003
E07000197,Stafford,ltla,2022-07-21,89001
E07000197,Stafford,ltla,2022-07-20,88985
E07000197,Stafford,ltla,2022-07-19,88980
E07000197,Stafford,ltla,2022-07-18,88965
E07000197,Stafford,ltla,2022-07-17,88961
E07000197,Stafford,ltla,2022-07-16,88943
E07000197,Stafford,ltla,2022-07-15,88917
E07000197,Stafford,ltla,2022-07-14,88912
E07000197,Stafford,ltla,2022-07-13,88887
E07000197,Stafford,ltla,2022-07-12,88885
E07000197,Stafford,ltla,2022-07-11,88861
E07000197,Stafford,ltla,2022-07-10,88859
E07000197,Stafford,ltla,2022-07-09,88829
E07000197,Stafford,ltla,2022-07-08,88808
E07000197,Stafford,ltla,2022-07-07,88803
E07000197,Stafford,ltla,2022-07-06,88786
E07000197,Stafford,ltla,2022-07-05,88781
E07000197,Stafford,ltla,2022-07-04,88763
E07000197,Stafford,ltla,2022-07-03,88759
E07000197,Stafford,ltla,2022-07-02,88742
E07000197,Stafford,ltla,2022-07-01,88719
E07000197,Stafford,ltla,2022-06-30,88711
E07000197,Stafford,ltla,2022-06-29,88688
E07000197,Stafford,ltla,2022-06-28,88680
E07000197,Stafford,ltla,2022-06-27,88664
E07000197,Stafford,ltla,2022-06-26,88654
E07000197,Stafford,ltla,2022-06-25,88628
E07000197,Stafford,ltla,2022-06-24,88596
E07000197,Stafford,ltla,2022-06-23,88590
E07000197,Stafford,ltla,2022-06-22,88570
E07000197,Stafford,ltla,2022-06-21,88567
E07000197,Stafford,ltla,2022-06-20,88552
E07000197,Stafford,ltla,2022-06-19,88545
E07000197,Stafford,ltla,2022-06-18,88526
E07000197,Stafford,ltla,2022-06-17,88489
E07000197,Stafford,ltla,2022-06-16,88487
E07000197,Stafford,ltla,2022-06-15,88459
E07000197,Stafford,ltla,2022-06-14,88450
E07000197,Stafford,ltla,2022-06-13,88422
E07000197,Stafford,ltla,2022-06-12,88417
E07000197,Stafford,ltla,2022-06-11,88416
E07000197,Stafford,ltla,2022-06-10,88375
E07000197,Stafford,ltla,2022-06-09,88366
E07000197,Stafford,ltla,2022-06-08,88347
E07000197,Stafford,ltla,2022-06-07,88337
E07000197,Stafford,ltla,2022-06-06,88323
E07000197,Stafford,ltla,2022-06-05,88319
E07000197,Stafford,ltla,2022-06-04,88305
E07000197,Stafford,ltla,2022-06-03,88283
E07000197,Stafford,ltla,2022-06-02,88283
E07000197,Stafford,ltla,2022-06-01,88278
E07000197,Stafford,ltla,2022-05-31,88255
E07000197,Stafford,ltla,2022-05-30,88224
E07000197,Stafford,ltla,2022-05-29,88199
E07000197,Stafford,ltla,2022-05-28,88172
E07000197,Stafford,ltla,2022-05-27,88125
E07000197,Stafford,ltla,2022-05-26,88120
E07000197,Stafford,ltla,2022-05-25,88111
E07000197,Stafford,ltla,2022-05-24,88101
E07000197,Stafford,ltla,2022-05-23,88083
E07000197,Stafford,ltla,2022-05-22,88054
E07000197,Stafford,ltla,2022-05-21,88038
E07000197,Stafford,ltla,2022-05-20,87999
E07000197,Stafford,ltla,2022-05-19,87976
E07000197,Stafford,ltla,2022-05-18,87959
E07000197,Stafford,ltla,2022-05-17,87945
E07000197,Stafford,ltla,2022-05-16,87915
E07000197,Stafford,ltla,2022-05-15,87879
E07000197,Stafford,ltla,2022-05-14,87841
E07000197,Stafford,ltla,2022-05-13,87810
E07000197,Stafford,ltla,2022-05-12,87786
E07000197,Stafford,ltla,2022-05-11,87749
E07000197,Stafford,ltla,2022-05-10,87744
E07000197,Stafford,ltla,2022-05-09,87720
E07000197,Stafford,ltla,2022-05-08,87695
E07000197,Stafford,ltla,2022-05-07,87660
E07000197,Stafford,ltla,2022-05-06,87604
E07000197,Stafford,ltla,2022-05-05,87574
E07000197,Stafford,ltla,2022-05-04,87540
E07000197,Stafford,ltla,2022-05-03,87531
E07000197,Stafford,ltla,2022-05-02,87498
E07000197,Stafford,ltla,2022-05-01,87498
E07000197,Stafford,ltla,2022-04-30,87460
E07000197,Stafford,ltla,2022-04-29,87417
E07000197,Stafford,ltla,2022-04-28,87386
E07000197,Stafford,ltla,2022-04-27,87343
E07000197,Stafford,ltla,2022-04-26,87329
E07000197,Stafford,ltla,2022-04-25,87301
E07000197,Stafford,ltla,2022-04-24,87285
E07000197,Stafford,ltla,2022-04-23,87252
E07000197,Stafford,ltla,2022-04-22,87203
E07000197,Stafford,ltla,2022-04-21,87169
E07000197,Stafford,ltla,2022-04-20,87129
E07000197,Stafford,ltla,2022-04-19,87111
E07000197,Stafford,ltla,2022-04-18,87072
E07000197,Stafford,ltla,2022-04-17,87038
E07000197,Stafford,ltla,2022-04-16,87038
E07000197,Stafford,ltla,2022-04-15,87005
E07000197,Stafford,ltla,2022-04-14,87003
E07000197,Stafford,ltla,2022-04-13,86981
E07000197,Stafford,ltla,2022-04-12,86968
