areaCode,areaName,areaType,date,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E07000114,Thanet,ltla,2022-08-02,83111
E07000114,Thanet,ltla,2022-08-01,83107
E07000114,Thanet,ltla,2022-07-31,83104
E07000114,Thanet,ltla,2022-07-30,83104
E07000114,Thanet,ltla,2022-07-29,83072
E07000114,Thanet,ltla,2022-07-28,83071
E07000114,Thanet,ltla,2022-07-27,83032
E07000114,Thanet,ltla,2022-07-26,83030
E07000114,Thanet,ltla,2022-07-25,83027
E07000114,Thanet,ltla,2022-07-24,83024
E07000114,Thanet,ltla,2022-07-23,83022
E07000114,Thanet,ltla,2022-07-22,82989
E07000114,Thanet,ltla,2022-07-21,82988
E07000114,Thanet,ltla,2022-07-20,82940
E07000114,Thanet,ltla,2022-07-19,82938
E07000114,Thanet,ltla,2022-07-18,82937
E07000114,Thanet,ltla,2022-07-17,82934
E07000114,Thanet,ltla,2022-07-16,82934
E07000114,Thanet,ltla,2022-07-15,82899
E07000114,Thanet,ltla,2022-07-14,82897
E07000114,Thanet,ltla,2022-07-13,82841
E07000114,Thanet,ltla,2022-07-12,82841
E07000114,Thanet,ltla,2022-07-11,82833
E07000114,Thanet,ltla,2022-07-10,82826
E07000114,Thanet,ltla,2022-07-09,82825
E07000114,Thanet,ltla,2022-07-08,82797
E07000114,Thanet,ltla,2022-07-07,82796
E07000114,Thanet,ltla,2022-07-06,82742
E07000114,Thanet,ltla,2022-07-05,82739
E07000114,Thanet,ltla,2022-07-04,82735
E07000114,Thanet,ltla,2022-07-03,82729
E07000114,Thanet,ltla,2022-07-02,82728
E07000114,Thanet,ltla,2022-07-01,82708
E07000114,Thanet,ltla,2022-06-30,82707
E07000114,Thanet,ltla,2022-06-29,82687
E07000114,Thanet,ltla,2022-06-28,82686
E07000114,Thanet,ltla,2022-06-27,82651
E07000114,Thanet,ltla,2022-06-26,82649
E07000114,Thanet,ltla,2022-06-25,82649
E07000114,Thanet,ltla,2022-06-24,82628
E07000114,Thanet,ltla,2022-06-23,82627
