Date,Total_Arrival,National_Arrival,UV Total Index
2020-01-30,209200,84800,0.1588
2020-01-31,247400,89300,0.2
2020-02-01,222600,107900,0.3824
2020-02-02,257500,131800,0.2882
2020-02-03,226700,105400,0.3235
2020-02-04,175600,74000,0.2647
2020-02-05,170800,72500,0.4706
2020-02-06,205400,86600,0.5
2020-02-07,240800,97800,0.5294
2020-02-08,228000,122000,0.4824
2020-02-09,192100,108300,0.2
2020-02-10,247000,127900,0.4412
2020-02-11,203300,100600,0.5412
2020-02-12,210500,104400,0.5706
2020-02-13,252500,124400,0.4
2020-02-14,253200,114800,0.5875
2020-02-15,215800,114200,0.12
2020-02-16,260500,141600,0.1526
2020-02-17,245800,122600,0.4368
2020-02-18,212400,107100,0.4684
2020-02-19,215400,113100,0.3053
2020-02-20,259400,143400,0.2895
2020-02-21,300300,169000,0.4579
2020-02-22,285900,189700,0.5421
2020-02-23,292900,179700,0.4947
2020-02-24,277700,144200,0.2316
2020-02-25,229300,112000,0.4684
2020-02-26,208000,96300,0.6632
2020-02-27,232000,110100,0.7105
2020-02-28,252700,117600,0.225
2020-02-29,231200,124400,0.5333
2020-03-01,257300,145600,0.8
2020-03-02,228200,122500,0.6524
2020-03-03,181900,93000,0.5238
2020-03-04,167900,83200,0.4905
2020-03-05,205000,98400,0.1952
2020-03-06,235300,102700,0.7714
2020-03-07,225100,125100,0.6
2020-03-08,246600,150100,0.5619
2020-03-09,217000,126300,0.5905
2020-03-10,187900,98500,0.8714
2020-03-12,184200,96700,0.9824
2020-03-13,195200,104200,0.9273
2020-03-14,192200,125800,0.8773
2020-03-15,201000,141400,0.2826
2020-03-16,159400,112700,1.2087
2020-03-17,109500,77300,0.9
2020-03-18,87000,62100,0.5522
2020-03-19,80900,58500,0.2818
2020-03-20,64200,46900,1.0955
2020-03-21,51500,37000,1.2652
2020-03-22,36400,23600,1.1
2020-03-23,28000,17600,1.4542
2020-03-24,22600,14200,1.5667
2020-03-25,14800,8900,1.6913
2020-03-26,14600,8600,1.575
2020-03-27,13100,7800,1.45
2020-03-28,11400,7000,1.0542
2020-03-29,10000,5800,0.9958
2020-03-30,5700,2900,0.6625
2020-03-31,5500,2700,1.1667
2020-04-01,4400,2200,0.9458
2020-04-02,4700,2300,1.028
2020-04-03,5400,2600,1.484
2020-04-04,5500,2700,1.932
2020-04-05,5300,2500,2.116
2020-04-06,3300,1900,1.5923
2020-04-07,4200,2500,1.8038
2020-04-08,4300,2200,1.6423
2020-04-09,4500,2800,1.9577
2020-04-10,3600,1800,2.1192
2020-04-11,3700,2500,1.8577
2020-04-12,3300,1700,1.8115
2020-04-13,3000,1800,1.6654
2020-04-14,1900,1000,2.2654
2020-04-15,2700,1300,2.2077
2020-04-16,2800,1600,1.5115
2020-04-17,3100,1700,0.6692
2020-04-18,3200,1900,1.0038
2020-04-19,2300,1100,2.2038
2020-04-20,3100,1900,2.1071
2020-04-21,3300,2300,2.1536
2020-04-22,3900,2200,2.1964
2020-04-23,2900,1800,2.2536
2020-04-24,4500,2800,2.2107
2020-04-25,3500,2300,2.2536
2020-04-26,3900,2400,2.2929
2020-04-27,3300,2100,1.2964
2020-04-28,4300,2800,0.3464
2020-04-29,3500,1900,1.2143
2020-04-30,5100,2600,0.9111
2020-05-01,4900,2600,1.5964
2020-05-02,3800,1900,2.1143
2020-05-03,4700,1800,1.1393
2020-05-04,2700,900,2.2179
2020-05-05,3100,1800,2.4464
2020-05-06,4400,1900,2.5786
2020-05-07,4500,2100,2.4759
2020-05-08,4600,1600,2.3207
2020-05-09,3700,1500,2.4241
2020-05-10,3900,1400,1.3033
2020-05-11,3500,1300,1.7483
2020-05-12,3300,1300,2.1033
2020-05-13,4400,1900,2.0828
2020-05-14,4400,1700,2.58
2020-05-15,5100,1800,2.32
2020-05-16,3300,900,1.89
2020-05-17,4300,1500,2.3967
2020-05-18,4500,1200,2.8833
2020-05-19,3400,1300,3.0467
2020-05-20,6800,2400,2.9533
2020-05-21,4400,1700,2.7933
2020-05-22,5000,1400,2.4067
2020-05-23,4500,1400,2.2133
2020-05-24,5400,1500,2.2067
2020-05-25,4100,1200,2.9367
2020-05-26,4000,1500,2.94
2020-05-27,5100,1800,2.5633
2020-05-28,5500,1800,3.0867
2020-05-29,6400,1900,3.1467
2020-05-30,5300,1700,2.9267
2020-05-31,6300,1900,2.9467
2020-06-01,6000,1700,2.9233
2020-06-02,5400,1900,2.7871
2020-06-03,6800,2100,0.7968
2020-06-04,7700,2700,1.2742
2020-06-05,10200,3200,1.7517
2020-06-06,8700,2500,1.0531
2020-06-07,10700,3200,1.7813
2020-06-08,4800,1700,1.6065
2020-06-09,3300,1300,2.3115
2020-06-10,4000,1400,1.0238
2020-06-11,4100,1700,1.1344
2020-06-12,4700,1700,1.25
2020-06-13,4100,1600,2.2875
2020-06-14,5900,1900,1.7438
2020-06-15,5000,1600,2.0844
2020-06-16,4500,1300,2.0469
2020-06-17,5600,1800,1.7844
2020-06-18,5800,2100,0.7969
2020-06-19,7000,2300,1.3813
2020-06-20,5900,1800,2.1813
2020-06-21,8200,2500,2.1219
2020-06-22,6800,2100,3.2406
2020-06-23,6200,1900,3.025
