Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,43.6,67.7,17.7,29.1,,,,,0.8,257300.0,145600.0,155.0,52.04455530151351,0.892742407265318
2020-03-02,42.0,80.7,8.4,29.2,,,,,0.6524,228200.0,122500.0,155.0,52.044555085808646,0.8927423706822007
2020-03-03,41.1,79.4,10.3,29.5,,,,,0.5238,181900.0,93000.0,155.0,52.044555224324384,0.8927422152507613
2020-03-04,41.0,86.0,7.0,29.7,,,,,0.4905,167900.0,83200.0,155.0,52.04455494620667,0.8927422605543466
2020-03-05,42.3,97.7,12.3,29.3,,,,,0.1952,205000.0,98400.0,155.0,52.044555207964976,0.8927423386182097
2020-03-06,40.2,76.0,7.5,29.6,,,,,0.7714,235300.0,102700.0,155.0,52.044555232788845,0.8927422753451997
2020-03-07,44.7,84.0,13.3,29.9,,,,,0.6,225100.0,125100.0,155.0,52.044555157230356,0.8927422756798136
2020-03-08,48.8,80.6,18.2,29.6,,,,,0.5619,246600.0,150100.0,155.0,52.04455508241242,0.8927423752061316
2020-03-09,45.5,79.3,15.6,29.8,,,,,0.5905,217000.0,126300.0,155.0,52.044555125307866,0.8927422381710011
2020-03-10,54.7,87.3,18.6,29.6,,,,,0.8714,187900.0,98500.0,155.0,52.0445552774853,0.8927421480722797
2020-03-11,51.6,80.7,17.1,29.7,,,,,,175700.0,88600.0,155.0,52.04455532399028,0.8927421596031834
2020-03-12,46.3,60.9,20.6,29.7,,,,,0.9824,184200.0,96700.0,155.0,52.04455525173661,0.892742138144088
2020-03-13,46.0,68.9,11.8,30.0,,,,,0.9273,195200.0,104200.0,155.0,52.044555276428625,0.8927422383766854
2020-03-14,47.4,88.0,12.6,29.9,145.5334772368854,,,,0.8773,192200.0,125800.0,155.0,52.04455537780989,0.8927423020873878
2020-03-15,49.0,83.9,14.9,29.7,1.0000000297059557,,,,0.2826,201000.0,141400.0,155.0,52.0445551923804,0.8927423205218146
2020-03-16,44.6,77.0,5.9,30.1,1.0000000297059557,,,,1.2087,159400.0,112700.0,155.0,52.04455515620925,0.8927422788018834
2020-03-17,47.3,83.0,13.1,30.3,38.84674404823926,,,,0.9,109500.0,77300.0,155.0,52.04455515853133,0.8927422666577355
2020-03-18,51.8,84.8,13.9,30.2,1.0000000594119127,,,,0.5522,87000.0,62100.0,155.0,52.044555117314985,0.8927423725059247
2020-03-19,44.9,94.2,9.0,30.2,1.0000000594119127,,,,0.2818,80900.0,58500.0,155.0,52.04455516064567,0.8927423625541673
2020-03-20,44.1,80.2,13.6,30.3,6.732123524662153,,,,1.0955,64200.0,46900.0,155.0,52.044555225855405,0.892742296091754
2020-03-21,43.3,70.0,17.4,30.3,1.000000074264892,,,,1.2652,51500.0,37000.0,155.0,52.044555157143115,0.892742441940217
2020-03-22,42.3,73.5,14.8,30.3,7.904249644669753,,,,1.1,36400.0,23600.0,155.0,52.04455521774546,0.8927423433799502
2020-03-23,42.4,67.0,11.7,30.3,1.0000001188238323,,,,1.4542,28000.0,17600.0,155.0,52.0445551761705,0.8927425804398185
2020-03-24,43.9,62.5,7.8,30.2,1.0000001188238323,,,,1.5667,22600.0,14200.0,155.0,52.044555012766935,0.892742370281004
2020-03-25,38.5,73.8,5.4,30.2,2.4322363463037595,,,,1.6913,14800.0,8900.0,155.0,52.044555110384096,0.8927422640361589
2020-03-26,40.4,75.2,9.3,30.2,4.1058502841706765,,,,1.575,14600.0,8600.0,155.0,52.04455509245737,0.8927423494149752
2020-03-27,44.6,67.2,12.4,30.2,2.7820592516299865,,,,1.45,13100.0,7800.0,155.0,52.04455504121223,0.8927424816789324
2020-03-28,43.8,73.5,14.4,30.3,3.3028650612184016,,,,1.0542,11400.0,7000.0,155.0,52.04455508620059,0.892742366351768
2020-03-29,38.7,68.7,15.2,30.6,2.4970795884206898,,,,0.9958,10000.0,5800.0,155.0,52.044555250764795,0.892742432297406
2020-03-30,40.7,78.9,8.4,30.4,3.2020931630695153,,,,0.6625,5700.0,2900.0,155.0,52.04455523362882,0.8927423236021107
2020-03-31,41.1,76.3,10.2,30.4,3.9389264888555786,,,,1.1667,5500.0,2700.0,155.0,52.044555146883184,0.8927424293153534
2020-04-01,40.1,72.2,4.4,30.1,3.4354916844094614,,,,0.9458,4400.0,2200.0,155.0,52.04455515605108,0.8927424140910172
2020-04-02,47.6,68.4,8.4,29.9,4.664097795709137,,,,1.028,4700.0,2300.0,155.0,52.044555268739174,0.8927423948810852
2020-04-03,47.5,64.8,5.7,30.0,2.189312964612694,,,,1.484,5400.0,2600.0,155.0,52.04455528556578,0.8927422430606909
2020-04-04,46.0,80.9,7.0,30.1,4.1307812808746585,,,,1.932,5500.0,2700.0,155.0,52.04455517094857,0.8927422743835226
2020-04-05,55.0,60.2,9.7,29.9,7.294024885024657,,,,2.116,5300.0,2500.0,155.0,52.044555134406984,0.8927423329587888
2020-04-06,55.9,60.8,9.5,30.0,7.037551960304028,,,,1.5923,3300.0,1900.0,155.0,52.044555341254906,0.8927424312950448
2020-04-07,50.4,73.9,6.2,30.3,14.299109559427396,,,,1.8038,4200.0,2500.0,155.0,52.044555144165244,0.8927421857287209
2020-04-08,52.7,77.9,5.1,30.2,8.116674003902679,,,,1.6423,4300.0,2200.0,155.0,52.044555173402344,0.8927422242666033
2020-04-09,51.6,79.3,6.2,30.2,12.908680626486571,,,,1.9577,4500.0,2800.0,155.0,52.044555311154646,0.8927423400160907
2020-04-10,50.8,85.6,6.3,30.2,41.67602124785965,,,,2.1192,3600.0,1800.0,155.0,52.04455511996699,0.8927423445815964
2020-04-11,50.8,81.5,2.7,30.2,73.4993759751586,,,,1.8577,3700.0,2500.0,155.0,52.04455530519534,0.8927423355242949
2020-04-12,62.5,57.4,7.4,29.9,135.84095781623813,,,,1.8115,3300.0,1700.0,155.0,52.044555161093285,0.8927423757668267
2020-04-13,45.4,65.0,17.1,30.2,134.30195869400848,,,,1.6654,3000.0,1800.0,155.0,52.04455505712499,0.8927423632807128
2020-04-14,43.0,64.8,7.1,30.3,6.852761582371013,,,,2.2654,1900.0,1000.0,155.0,52.044555077522496,0.8927421182496217
2020-04-15,44.4,74.4,5.2,30.1,9.616586039828267,,,,2.2077,2700.0,1300.0,155.0,52.04455526300201,0.8927425658411775
2020-04-16,49.6,79.7,6.4,30.0,4.578993047076724,,,,1.5115,2800.0,1600.0,155.0,52.044555191174254,0.8927423486307747
2020-04-17,48.4,81.1,14.5,30.0,8.389428497422324,,,,0.6692,3100.0,1700.0,155.0,52.04455511331874,0.8927423039787
2020-04-18,46.3,87.2,9.1,29.3,3.293013706974497,,,,1.0038,3200.0,1900.0,155.0,52.04455511865919,0.8927422786000802
2020-04-19,49.7,74.0,10.3,30.1,5.540574787235914,,,,2.2038,2300.0,1100.0,155.0,52.04455516935392,0.8927425034576318
2020-04-20,49.9,70.8,14.8,30.0,1.2892639453278014,,,,2.1071,3100.0,1900.0,155.0,52.04455521586382,0.8927424079674042
2020-04-21,52.4,65.5,14.5,30.0,3.3444655505160763,,,,2.1536,3300.0,2300.0,155.0,52.04455518274651,0.8927423111506817
2020-04-22,53.4,68.0,9.8,30.1,5.5087067333829935,,,,2.1964,3900.0,2200.0,155.0,52.044555325202026,0.8927424713536214
2020-04-23,53.4,71.5,6.3,30.0,3.4187245223283096,,,,2.2536,2900.0,1800.0,155.0,52.044555247132024,0.8927424043795776
2020-04-24,50.2,76.7,5.6,29.9,2.3636390885436853,,,,2.2107,4500.0,2800.0,155.0,52.04455512335438,0.892742266430132
2020-04-25,46.8,81.4,7.5,29.9,1.1848207883127229,,,,2.2536,3500.0,2300.0,155.0,52.04455508235912,0.8927423494510194
2020-04-26,49.6,72.2,4.3,29.8,1.8596107247368703,,,,2.2929,3900.0,2400.0,155.0,52.0445550131636,0.8927423303392303
2020-04-27,52.5,71.4,5.9,29.7,2.3796433093135585,,,,1.2964,3300.0,2100.0,155.0,52.0445551862027,0.8927425048986605
2020-04-28,45.6,95.9,10.4,29.6,1.4987564700304803,,,,0.3464,4300.0,2800.0,155.0,52.04455545844036,0.8927422834579969
2020-05-01,50.0,78.1,12.1,29.4,1.2925319315630548,,,,1.5964,4900.0,2600.0,155.0,52.044555075687136,0.8927422632095464
2020-05-02,53.1,65.1,7.8,29.8,0.9997265947818604,,,,2.1143,3800.0,1900.0,155.0,52.04455526708324,0.8927422980700673
2020-05-03,51.8,76.5,5.8,29.9,1.1796022981284873,,,,1.1393,4700.0,1800.0,155.0,52.044555108926524,0.8927422109155545
2020-05-04,51.3,79.9,9.7,30.1,1.058418707347382,,,,2.2179,2700.0,900.0,155.0,52.044555082289335,0.8927423698944537
2020-05-05,48.5,73.0,15.1,30.1,1.4468702285778834,,,,2.4464,3100.0,1800.0,155.0,52.04455504287571,0.8927424134505468
2020-05-06,49.1,79.2,8.7,30.2,1.4394972075053087,,,,2.5786,4400.0,1900.0,155.0,52.04455515178303,0.8927425066140324
2020-05-07,55.1,68.6,5.1,30.1,0.9940620802286402,,,,2.4759,4500.0,2100.0,155.0,52.04455514018662,0.8927423672253144
2020-05-08,59.3,65.6,4.7,30.0,0.9930124094435944,,,,2.3207,4600.0,1600.0,155.0,52.04455526886258,0.8927422603058373
2020-05-09,57.9,67.3,6.2,29.8,1.0491675773119395,,,,2.4241,3700.0,1500.0,155.0,52.04455528206421,0.892742242627457
2020-05-10,52.2,74.9,13.1,29.8,1.1452716489601995,,,,1.3033,3900.0,1400.0,155.0,52.044555223203915,0.8927422492052917
2020-05-11,46.4,54.4,15.5,30.0,1.1140586226650957,,,,1.7483,3500.0,1300.0,155.0,52.04455511138978,0.8927420468238877
2020-05-12,46.6,61.8,6.0,30.1,1.0458477896261806,,,,2.1033,3300.0,1300.0,155.0,52.04455527258776,0.8927420991406729
2020-05-13,45.9,66.6,10.1,30.0,1.0879721012026162,,,,2.0828,4400.0,1900.0,155.0,52.044555236891775,0.8927423201183942
2020-05-14,45.1,70.5,9.7,30.1,0.9963132759824068,,,,2.58,4400.0,1700.0,155.0,52.044555177297376,0.892742284918455
2020-05-15,50.3,60.8,6.6,30.2,1.0746150979038074,,,,2.32,5100.0,1800.0,155.0,52.04455528615999,0.8927422284749221
2020-05-16,52.7,60.4,6.1,30.2,1.0010640943652414,,,,1.89,3300.0,900.0,155.0,52.04455496093278,0.8927425180654754
2020-05-17,57.5,58.9,6.7,30.2,1.0795089744260509,,,,2.3967,4300.0,1500.0,155.0,52.04455537270662,0.8927424843839012
2020-05-18,63.0,47.2,10.4,30.1,1.0090909585061527,,,,2.8833,4500.0,1200.0,155.0,52.04455530535298,0.8927422007233351
2020-05-19,65.6,60.7,6.5,30.1,1.078402772014804,,,,3.0467,3400.0,1300.0,155.0,52.04455528684058,0.8927423216660572
