Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.6,70.6,21.6,28.8,,,,,0.8,257300.0,145600.0,501.0,53.20641198734258,-1.268790406398258
2020-03-02,38.0,82.3,10.7,29.0,,,,,0.6524,228200.0,122500.0,501.0,53.20641212471235,-1.26879059552208
2020-03-03,39.3,87.0,12.6,29.3,,,,,0.5238,181900.0,93000.0,501.0,53.20641214927786,-1.2687905772271477
2020-03-04,38.3,82.6,6.3,29.5,1.0000000148529775,,,,0.4905,167900.0,83200.0,501.0,53.206411997484096,-1.268790498195506
2020-03-05,36.0,93.5,9.6,29.3,1.0000000148529775,,,,0.1952,205000.0,98400.0,501.0,53.20641197634707,-1.2687904910816974
2020-03-06,36.5,80.9,7.7,29.4,1.0000000148529775,,,,0.7714,235300.0,102700.0,501.0,53.2064120229012,-1.2687904477329963
2020-03-07,45.2,83.5,15.7,29.6,1.0000000148529775,,,,0.6,225100.0,125100.0,501.0,53.20641196626441,-1.2687904325893833
2020-03-08,48.0,80.0,19.2,29.3,1.0000000148529775,,,,0.5619,246600.0,150100.0,501.0,53.206412097935946,-1.2687905673353292
2020-03-09,44.0,85.0,16.1,29.5,1.0000000148529775,,,,0.5905,217000.0,126300.0,501.0,53.20641218987555,-1.2687906501830772
2020-03-10,52.5,81.1,20.9,29.3,15.330308017155845,,,,0.8714,187900.0,98500.0,501.0,53.20641203605555,-1.2687903519281154
2020-03-11,47.6,78.5,18.2,29.4,1.0000000297059557,,,,,175700.0,88600.0,501.0,53.20641195973897,-1.2687906017139094
2020-03-12,42.3,71.6,25.3,29.4,1.0000000297059557,,,,0.9824,184200.0,96700.0,501.0,53.206411984779834,-1.2687904904835932
2020-03-13,43.0,78.0,11.7,29.7,1.0000000297059557,,,,0.9273,195200.0,104200.0,501.0,53.20641207129751,-1.2687906255965675
2020-03-14,46.0,86.9,12.8,29.6,5.64460616748063,,,,0.8773,192200.0,125800.0,501.0,53.20641200120577,-1.2687904884089038
2020-03-15,46.8,83.2,16.5,29.4,4.222531298501597,,,,0.2826,201000.0,141400.0,501.0,53.206412055186064,-1.2687904298502808
2020-03-16,44.4,78.0,10.1,29.8,1.0000000594119127,,,,1.2087,159400.0,112700.0,501.0,53.20641207073811,-1.2687904704431354
2020-03-17,50.4,79.6,18.6,29.9,5.1581373636379615,,,,0.9,109500.0,77300.0,501.0,53.20641198254324,-1.2687902860506106
2020-03-18,46.8,92.3,10.7,29.9,1.0000000891178715,,,,0.5522,87000.0,62100.0,501.0,53.206411959325415,-1.2687906150687147
2020-03-19,42.2,78.5,5.5,30.1,1.0000000891178715,,,,0.2818,80900.0,58500.0,501.0,53.20641201152318,-1.2687905175399805
2020-03-20,42.0,80.3,13.5,30.2,1.0000000891178715,,,,1.0955,64200.0,46900.0,501.0,53.20641213965936,-1.26879057467713
2020-03-21,41.1,72.2,13.1,30.2,5.775753758860238,,,,1.2652,51500.0,37000.0,501.0,53.20641222685253,-1.2687904994241117
2020-03-22,40.4,74.2,9.1,30.2,5.70861524349479,,,,1.1,36400.0,23600.0,501.0,53.20641185196952,-1.2687905488106057
2020-03-23,43.2,66.1,10.5,30.1,6.038132401924339,,,,1.4542,28000.0,17600.0,501.0,53.206411972586615,-1.26879053448902
2020-03-24,45.9,65.6,11.3,30.0,9.087322665854273,,,,1.5667,22600.0,14200.0,501.0,53.206412013526176,-1.2687904321916958
2020-03-25,45.5,60.0,7.7,30.0,10.392339994778153,,,,1.6913,14800.0,8900.0,501.0,53.20641193618605,-1.2687904891020365
