Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,43.3,66.0,17.9,29.0,,,,,0.8,257300.0,145600.0,108.0,52.572827347812705,0.8535544077980516
2020-03-02,40.6,79.0,6.6,29.1,,,,,0.6524,228200.0,122500.0,108.0,52.57282744148417,0.8535545354298842
2020-03-03,40.2,82.6,10.0,29.4,,,,,0.5238,181900.0,93000.0,108.0,52.572827494280396,0.8535543792349704
2020-03-04,40.6,79.7,6.0,29.6,,,,,0.4905,167900.0,83200.0,108.0,52.57282749331506,0.8535542553325698
2020-03-05,42.9,85.9,12.6,29.3,,,,,0.1952,205000.0,98400.0,108.0,52.57282759064705,0.8535543190882061
2020-03-06,40.8,80.0,6.5,29.5,,,,,0.7714,235300.0,102700.0,108.0,52.57282752214901,0.8535543824429596
2020-03-07,43.0,83.6,11.5,29.8,,,,,0.6,225100.0,125100.0,108.0,52.572827361807065,0.8535543973466134
2020-03-08,49.7,75.9,16.7,29.5,,,,,0.5619,246600.0,150100.0,108.0,52.57282734162934,0.853554405524881
2020-03-09,44.8,80.1,14.4,29.6,,,,,0.5905,217000.0,126300.0,108.0,52.57282752356673,0.8535545070006743
2020-03-10,55.0,81.1,18.5,29.4,,,,,0.8714,187900.0,98500.0,108.0,52.57282744604582,0.853554403967143
2020-03-11,50.9,75.1,14.8,29.6,,,,,,175700.0,88600.0,108.0,52.572827298053326,0.853554450775996
2020-03-12,45.7,61.5,22.7,29.6,,,,,0.9824,184200.0,96700.0,108.0,52.572827456418175,0.8535544228813339
2020-03-13,43.4,77.8,12.4,29.8,1.0000000148529775,,,,0.9273,195200.0,104200.0,108.0,52.57282738757881,0.8535544796330977
2020-03-14,46.0,87.6,11.5,29.8,1.0000000148529775,,,,0.8773,192200.0,125800.0,108.0,52.572827462883794,0.8535544250033442
2020-03-15,49.5,80.9,15.6,29.6,57.78219303875622,,,,0.2826,201000.0,141400.0,108.0,52.57282741459328,0.8535544810663954
2020-03-16,43.5,80.9,6.1,30.0,1.0000000297059557,,,,1.2087,159400.0,112700.0,108.0,52.57282743641441,0.8535542712061538
2020-03-17,50.0,73.5,14.2,30.1,18.52063872185984,,,,0.9,109500.0,77300.0,108.0,52.57282742250997,0.8535542976590379
2020-03-18,49.4,87.5,10.9,30.1,1.000000044558934,,,,0.5522,87000.0,62100.0,108.0,52.57282744270039,0.8535543199252751
2020-03-19,44.9,82.9,5.9,30.2,8.165154265984611,,,,0.2818,80900.0,58500.0,108.0,52.57282750455382,0.8535542794192904
2020-03-20,44.1,80.2,12.0,30.3,1.0000000594119127,,,,1.0955,64200.0,46900.0,108.0,52.572827352244204,0.8535544563430443
2020-03-21,42.9,68.7,15.6,30.3,7.137110596449943,,,,1.2652,51500.0,37000.0,108.0,52.572827399558385,0.8535543563882303
2020-03-22,41.0,70.3,11.6,30.3,7.276818119223268,,,,1.1,36400.0,23600.0,108.0,52.572827402508935,0.8535544414889229
2020-03-23,42.3,66.4,10.5,30.2,3.3223035501346936,,,,1.4542,28000.0,17600.0,108.0,52.57282743769671,0.8535543800092015
2020-03-24,43.7,62.6,10.1,30.2,3.5780256352713637,,,,1.5667,22600.0,14200.0,108.0,52.5728273537965,0.8535543063698972
2020-03-25,42.8,65.4,5.7,30.1,3.6154532749248416,,,,1.6913,14800.0,8900.0,108.0,52.572827438883614,0.8535543558236042
2020-03-26,42.5,70.8,7.8,30.1,2.701056888775933,,,,1.575,14600.0,8600.0,108.0,52.57282729615263,0.8535544901403093
2020-03-27,44.5,74.7,10.6,30.1,2.565948627324619,,,,1.45,13100.0,7800.0,108.0,52.57282737372577,0.8535545554084752
2020-03-28,44.6,71.5,17.4,30.3,2.523813484835622,,,,1.0542,11400.0,7000.0,108.0,52.57282733964574,0.8535543938918844
2020-03-29,40.8,60.2,18.0,30.5,4.229737303392771,,,,0.9958,10000.0,5800.0,108.0,52.57282745838107,0.8535544183361781
2020-03-30,42.8,75.7,9.3,30.4,3.795565085576412,,,,0.6625,5700.0,2900.0,108.0,52.57282726175345,0.8535545614342579
2020-03-31,42.6,68.2,6.6,30.3,2.6052111556301587,,,,1.1667,5500.0,2700.0,108.0,52.572827361726276,0.853554427817909
2020-04-01,40.4,78.7,4.8,30.1,2.9294991485185795,,,,0.9458,4400.0,2200.0,108.0,52.57282761249195,0.8535546159062558
2020-04-02,46.5,72.6,12.3,29.8,3.4261987368367914,,,,1.028,4700.0,2300.0,108.0,52.57282747612233,0.8535544201350879
2020-04-03,45.3,65.5,8.5,29.9,8.772976288450787,,,,1.484,5400.0,2600.0,108.0,52.57282754122514,0.8535543782155718
2020-04-04,48.4,69.5,9.7,30.0,9.811638396363216,,,,1.932,5500.0,2700.0,108.0,52.57282732703814,0.8535542994665261
2020-04-05,53.6,62.3,10.7,29.9,8.175065035068206,,,,2.116,5300.0,2500.0,108.0,52.57282753689411,0.8535543897057067
2020-04-06,54.9,62.6,9.3,29.9,14.179304085632975,,,,1.5923,3300.0,1900.0,108.0,52.572827297609884,0.8535543179791528
2020-04-07,51.8,67.8,5.8,30.3,21.269017744608444,,,,1.8038,4200.0,2500.0,108.0,52.57282740892192,0.8535543739920548
2020-04-08,53.4,70.2,4.0,30.1,39.66820794801667,,,,1.6423,4300.0,2200.0,108.0,52.57282755998029,0.8535542634884214
2020-04-09,52.7,74.6,5.0,30.2,44.875286145837066,,,,1.9577,4500.0,2800.0,108.0,52.572827307847675,0.853554404801342
2020-04-10,52.6,75.8,6.7,30.2,167.45276734449644,,,,2.1192,3600.0,1800.0,108.0,52.572827279009815,0.8535543618879914
2020-04-11,58.5,57.0,6.7,30.1,138.48500099624007,,,,1.8577,3700.0,2500.0,108.0,52.572827536912826,0.8535545412492502
2020-04-12,56.7,70.2,6.6,29.9,514.8188925750354,,,,1.8115,3300.0,1700.0,108.0,52.57282746398944,0.8535544652818885
2020-04-13,44.9,61.4,15.6,30.2,9.67418758208565,,,,1.6654,3000.0,1800.0,108.0,52.57282745732773,0.8535544448594707
2020-04-14,43.9,65.4,4.7,30.2,4.709631005804331,,,,2.2654,1900.0,1000.0,108.0,52.57282748132123,0.8535544442263978
2020-04-15,48.6,63.3,5.5,30.1,3.577953836464141,,,,2.2077,2700.0,1300.0,108.0,52.57282743107677,0.8535544036970159
2020-04-16,49.4,72.3,7.4,29.9,2.6016250367240144,,,,1.5115,2800.0,1600.0,108.0,52.57282741352134,0.8535543628883079
2020-04-17,47.5,77.3,12.9,30.0,4.068223869947723,,,,0.6692,3100.0,1700.0,108.0,52.57282768858849,0.8535543112927242
2020-04-18,46.3,86.3,7.8,29.9,6.293934851725843,,,,1.0038,3200.0,1900.0,108.0,52.57282756889181,0.853554461698098
2020-04-19,48.7,73.4,10.9,30.0,2.003725820460489,,,,2.2038,2300.0,1100.0,108.0,52.57282744936796,0.8535545546115141
2020-04-20,50.9,66.6,15.8,30.0,1.5807800679098434,,,,2.1071,3100.0,1900.0,108.0,52.57282751453252,0.8535543768358845
2020-04-21,52.2,67.8,16.6,30.0,5.131394625583662,,,,2.1536,3300.0,2300.0,108.0,52.572827431460766,0.8535544599984336
2020-04-22,52.9,71.1,10.6,30.0,3.9166640347018635,,,,2.1964,3900.0,2200.0,108.0,52.57282757777601,0.8535543061359148
2020-04-23,53.8,70.1,6.3,30.0,2.4385157945796974,,,,2.2536,2900.0,1800.0,108.0,52.57282738139864,0.8535544968634782
2020-04-24,50.0,78.0,6.8,29.9,2.1573643646885303,,,,2.2107,4500.0,2800.0,108.0,52.57282742277114,0.8535544819609399
2020-04-25,49.0,71.1,5.9,29.9,1.591459023484056,,,,2.2536,3500.0,2300.0,108.0,52.5728273039052,0.8535544451059565
2020-04-26,53.3,64.5,6.7,29.7,1.986689999661484,,,,2.2929,3900.0,2400.0,108.0,52.57282739940137,0.8535544674484539
2020-04-27,50.9,73.8,6.7,29.6,2.6079623128825458,,,,1.2964,3300.0,2100.0,108.0,52.572827349768126,0.8535544660497796
2020-04-28,46.7,86.5,7.8,29.6,1.7698043155065062,,,,0.3464,4300.0,2800.0,108.0,52.57282747547601,0.8535542020085038
2020-05-01,50.1,76.3,11.3,29.3,1.423675179065064,,,,1.5964,4900.0,2600.0,108.0,52.5728273681237,0.8535544135441806
2020-05-02,52.0,71.2,8.5,29.7,1.053309527609697,,,,2.1143,3800.0,1900.0,108.0,52.572827557796415,0.8535543538690858
2020-05-03,50.5,85.3,5.3,29.9,0.9831484276026586,,,,1.1393,4700.0,1800.0,108.0,52.57282737080057,0.8535542602313975
2020-05-04,50.6,78.1,7.7,30.0,1.3693363322766667,,,,2.2179,2700.0,900.0,108.0,52.572827389594764,0.8535542436693164
2020-05-05,47.9,67.0,10.4,30.1,1.0203512368742,,,,2.4464,3100.0,1800.0,108.0,52.5728273852682,0.853554254929802
2020-05-06,47.5,74.7,5.4,30.2,1.3007092612137483,,,,2.5786,4400.0,1900.0,108.0,52.57282729111045,0.8535543553622404
2020-05-07,54.1,64.9,4.0,30.1,1.0980308621586097,,,,2.4759,4500.0,2100.0,108.0,52.57282741867388,0.8535543135473567
2020-05-08,61.1,67.2,5.3,29.9,0.9950987503403608,,,,2.3207,4600.0,1600.0,108.0,52.57282730219387,0.8535543618303084
2020-05-09,60.8,64.6,4.7,29.8,1.019757553593303,,,,2.4241,3700.0,1500.0,108.0,52.57282737574606,0.8535543900198634
2020-05-10,48.6,78.1,12.9,29.8,1.2170109525726294,,,,1.3033,3900.0,1400.0,108.0,52.572827403056834,0.8535543580843666
2020-05-11,45.6,59.9,15.7,30.0,1.1044408741224856,,,,1.7483,3500.0,1300.0,108.0,52.57282760627544,0.8535543574237716
2020-05-12,46.0,63.0,7.3,30.0,1.194095637974305,,,,2.1033,3300.0,1300.0,108.0,52.57282742336803,0.853554495027166
2020-05-13,45.8,64.0,10.4,29.9,1.019434148686776,,,,2.0828,4400.0,1900.0,108.0,52.57282733178955,0.8535544169955787
2020-05-14,45.2,65.5,5.5,30.1,1.2085144280525466,,,,2.58,4400.0,1700.0,108.0,52.572827465343195,0.8535543737205006
2020-05-15,50.4,61.5,4.7,30.1,1.0033992168117838,,,,2.32,5100.0,1800.0,108.0,52.57282747784414,0.8535543710851639
