Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,39.5,70.7,21.1,28.2,,,,,0.8,257300.0,145600.0,856.0,53.79048725756067,-2.2470466237213276
2020-03-02,36.6,83.7,11.3,28.4,,,,,0.6524,228200.0,122500.0,856.0,53.79048735946376,-2.2470465955467125
2020-03-03,37.5,90.0,12.6,28.7,,,,,0.5238,181900.0,93000.0,856.0,53.790487351089425,-2.2470464874693654
2020-03-04,38.7,82.3,4.9,29.0,,,,,0.4905,167900.0,83200.0,856.0,53.79048728458447,-2.2470466926297905
2020-03-05,36.6,85.0,5.9,28.8,,,,,0.1952,205000.0,98400.0,856.0,53.79048730043731,-2.2470467950998145
2020-03-06,36.9,77.6,6.3,28.9,,,,,0.7714,235300.0,102700.0,856.0,53.790487327569885,-2.2470466551274324
2020-03-07,45.1,82.7,15.2,29.0,,,,,0.6,225100.0,125100.0,856.0,53.79048737514899,-2.247046602782869
2020-03-08,44.8,82.7,17.5,28.8,,,,,0.5619,246600.0,150100.0,856.0,53.790487309780254,-2.2470466018182718
2020-03-09,42.4,88.0,15.3,28.9,,,,,0.5905,217000.0,126300.0,856.0,53.79048706270159,-2.247046736705354
2020-03-10,48.7,88.2,23.7,28.7,,,,,0.8714,187900.0,98500.0,856.0,53.79048738158018,-2.2470468276995166
2020-03-11,44.5,82.0,16.3,28.8,,,,,,175700.0,88600.0,856.0,53.79048723626339,-2.247046572660284
2020-03-12,40.0,75.5,25.0,28.8,,,,,0.9824,184200.0,96700.0,856.0,53.79048739988881,-2.247046658188542
2020-03-13,41.0,83.3,12.2,29.2,,,,,0.9273,195200.0,104200.0,856.0,53.79048731269359,-2.247046721564464
2020-03-14,43.6,88.9,11.9,29.1,,,,,0.8773,192200.0,125800.0,856.0,53.7904874072996,-2.247046864656646
2020-03-15,45.0,82.8,17.7,28.9,,,,,0.2826,201000.0,141400.0,856.0,53.790487508512015,-2.24704677568969
2020-03-16,43.7,74.9,12.3,29.3,,,,,1.2087,159400.0,112700.0,856.0,53.79048728215644,-2.2470466604839316
2020-03-17,49.5,82.7,16.9,29.4,,,,,0.9,109500.0,77300.0,856.0,53.790487249375204,-2.2470465503703214
2020-03-18,43.6,84.4,13.6,29.4,,,,,0.5522,87000.0,62100.0,856.0,53.79048723136066,-2.2470467096216877
2020-03-19,40.9,73.1,4.3,29.6,1.0000000148529775,,,,0.2818,80900.0,58500.0,856.0,53.79048724526285,-2.247046787627026
2020-03-20,39.3,80.0,10.7,29.7,1.0000000148529775,,,,1.0955,64200.0,46900.0,856.0,53.790487254255076,-2.247046720559807
2020-03-21,38.7,77.5,13.0,29.7,1.0000000148529775,,,,1.2652,51500.0,37000.0,856.0,53.790487291423744,-2.24704662399945
2020-03-22,39.7,73.0,9.9,29.6,51.4623246134796,,,,1.1,36400.0,23600.0,856.0,53.79048728334645,-2.2470467304148327
2020-03-23,40.4,72.3,9.2,29.6,27.280959276120747,,,,1.4542,28000.0,17600.0,856.0,53.79048730850831,-2.2470466483501483
2020-03-24,51.2,67.2,10.0,29.4,6.432280502153293,,,,1.5667,22600.0,14200.0,856.0,53.79048727037109,-2.2470465432548323
2020-03-25,55.9,53.2,6.3,29.5,1.0000001039708517,,,,1.6913,14800.0,8900.0,856.0,53.79048730158529,-2.2470466703241394
