Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,43.6,69.8,18.5,28.9,,,,,0.8,257300.0,145600.0,114.0,53.2096515048915,-3.39940402261126
2020-03-02,40.4,80.3,9.7,29.1,,,,,0.6524,228200.0,122500.0,114.0,53.2096513448248,-3.399404085779352
2020-03-03,42.0,84.9,13.2,29.4,,,,,0.5238,181900.0,93000.0,114.0,53.20965136259659,-3.399404166824042
2020-03-04,41.2,85.3,5.2,29.6,,,,,0.4905,167900.0,83200.0,114.0,53.20965132668698,-3.3994040689022973
2020-03-05,40.4,82.1,8.2,29.4,,,,,0.1952,205000.0,98400.0,114.0,53.2096514605529,-3.399404057061849
2020-03-06,40.3,85.0,5.7,29.6,,,,,0.7714,235300.0,102700.0,114.0,53.20965137455165,-3.3994041558989285
2020-03-07,48.6,83.4,13.7,29.7,,,,,0.6,225100.0,125100.0,114.0,53.209651284046615,-3.3994040321975176
2020-03-08,48.4,80.9,14.0,29.4,,,,,0.5619,246600.0,150100.0,114.0,53.20965135200173,-3.399403912499458
2020-03-09,47.1,83.8,18.2,29.6,,,,,0.5905,217000.0,126300.0,114.0,53.20965141404899,-3.399404005465433
2020-03-10,53.1,81.7,16.9,29.4,,,,,0.8714,187900.0,98500.0,114.0,53.209651256921994,-3.399403999687025
2020-03-11,48.5,77.2,16.8,29.5,,,,,,175700.0,88600.0,114.0,53.20965127171219,-3.3994038324191678
2020-03-12,44.5,69.9,23.9,29.5,,,,,0.9824,184200.0,96700.0,114.0,53.209651256263406,-3.3994039505615548
2020-03-13,46.0,82.1,13.8,29.9,,,,,0.9273,195200.0,104200.0,114.0,53.209651359728056,-3.3994040546259088
2020-03-14,48.4,85.7,12.8,29.7,,,,,0.8773,192200.0,125800.0,114.0,53.20965138126593,-3.3994039444700137
2020-03-15,47.9,80.7,15.1,29.6,,,,,0.2826,201000.0,141400.0,114.0,53.20965134814302,-3.399403882196494
2020-03-16,47.0,72.5,11.6,30.0,,,,,1.2087,159400.0,112700.0,114.0,53.20965140841658,-3.3994041771584373
2020-03-17,53.7,80.0,15.5,30.0,,,,,0.9,109500.0,77300.0,114.0,53.20965120770526,-3.3994039807911114
2020-03-18,46.3,86.4,9.8,30.1,,,,,0.5522,87000.0,62100.0,114.0,53.209651420234195,-3.399403883691965
2020-03-19,45.2,75.1,7.0,30.3,,,,,0.2818,80900.0,58500.0,114.0,53.20965150400256,-3.399404098451796
2020-03-20,44.3,69.8,14.3,30.4,,,,,1.0955,64200.0,46900.0,114.0,53.20965134066795,-3.399403920337286
2020-03-21,42.7,68.0,14.4,30.3,145.5334772368854,,,,1.2652,51500.0,37000.0,114.0,53.20965125401286,-3.399403873398264
2020-03-22,43.2,71.0,10.9,30.3,60.169907429720105,,,,1.1,36400.0,23600.0,114.0,53.20965124680413,-3.3994039595480103
2020-03-23,44.7,69.2,9.2,30.2,1.000000044558934,,,,1.4542,28000.0,17600.0,114.0,53.209651368958845,-3.3994039077484772
2020-03-24,51.4,70.7,11.6,30.1,44.25342373281429,,,,1.5667,22600.0,14200.0,114.0,53.209651219847444,-3.39940388867052
2020-03-25,52.1,65.5,5.4,30.1,12.68042695947881,,,,1.6913,14800.0,8900.0,114.0,53.209651065763,-3.399403992918512
2020-03-26,49.7,53.4,5.6,30.2,10.506491581053606,,,,1.575,14600.0,8600.0,114.0,53.2096512496989,-3.399404260313073
2020-03-27,47.8,56.0,9.9,30.3,5.094374648405523,,,,1.45,13100.0,7800.0,114.0,53.20965116625753,-3.3994039774473244
2020-03-28,45.4,66.7,14.4,30.4,2.5003620521543817,,,,1.0542,11400.0,7000.0,114.0,53.20965137532282,-3.399403822394646
2020-03-29,41.5,59.6,12.8,30.7,6.858152657758764,,,,0.9958,10000.0,5800.0,114.0,53.209651385990426,-3.399403977536081
2020-03-30,45.1,67.7,8.2,30.6,1.000000326765607,,,,0.6625,5700.0,2900.0,114.0,53.20965126145346,-3.3994040634587437
2020-03-31,44.9,74.3,7.7,30.4,3.9858197464694864,,,,1.1667,5500.0,2700.0,114.0,53.209651312223635,-3.39940414086902
2020-04-01,46.4,78.4,11.1,30.1,3.5780266981585847,,,,0.9458,4400.0,2200.0,114.0,53.20965149309607,-3.399403764306979
2020-04-02,48.8,81.5,16.2,29.9,3.760757671284805,,,,1.028,4700.0,2300.0,114.0,53.20965134149186,-3.3994038259140247
2020-04-03,48.8,71.7,9.7,29.9,1.0000006683844245,,,,1.484,5400.0,2600.0,114.0,53.20965137839578,-3.3994040395786813
2020-04-04,50.6,74.2,9.8,29.9,2.0652720299843805,,,,1.932,5500.0,2700.0,114.0,53.20965136877158,-3.3994040807519403
2020-04-05,56.4,59.9,14.6,29.7,3.7978229941450894,,,,2.116,5300.0,2500.0,114.0,53.209651393199074,-3.399404109696104
2020-04-06,53.7,69.1,12.4,29.9,4.1872433166828165,,,,1.5923,3300.0,1900.0,114.0,53.20965132789526,-3.399403972630704
2020-04-07,51.6,68.6,7.7,30.3,3.0226757056935014,,,,1.8038,4200.0,2500.0,114.0,53.209651303130826,-3.3994040998908113
2020-04-08,55.9,67.4,4.7,30.2,3.6976489365684153,,,,1.6423,4300.0,2200.0,114.0,53.20965141967815,-3.3994039942913075
2020-04-09,55.9,76.2,6.9,30.2,4.847308204755702,,,,1.9577,4500.0,2800.0,114.0,53.20965139048698,-3.399404071423119
2020-04-10,58.3,75.8,7.9,30.1,2.41883227833711,,,,2.1192,3600.0,1800.0,114.0,53.20965142742281,-3.3994039552220254
2020-04-11,57.5,82.7,5.9,30.1,6.7685348375610435,,,,1.8577,3700.0,2500.0,114.0,53.20965132454743,-3.399403879423095
2020-04-12,54.5,85.0,8.7,29.9,5.274308109731493,,,,1.8115,3300.0,1700.0,114.0,53.20965137418037,-3.3994040611812615
2020-04-13,46.3,61.2,14.8,30.3,13.460069452482152,,,,1.6654,3000.0,1800.0,114.0,53.209651402378874,-3.3994040447738745
2020-04-14,45.3,65.1,4.8,30.3,10.939055817912656,,,,2.2654,1900.0,1000.0,114.0,53.209651332542165,-3.3994039703427523
2020-04-15,50.8,65.9,4.5,30.1,18.363001748201288,,,,2.2077,2700.0,1300.0,114.0,53.20965120094635,-3.3994039536651406
2020-04-16,55.0,61.5,8.2,29.9,43.60669793728679,,,,1.5115,2800.0,1600.0,114.0,53.20965131324136,-3.399404162420364
2020-04-17,52.3,68.8,13.4,30.0,62.014165074185904,,,,0.6692,3100.0,1700.0,114.0,53.20965134812571,-3.3994041081036923
2020-04-18,46.4,80.8,7.3,30.0,47.00224640809143,,,,1.0038,3200.0,1900.0,114.0,53.20965135263618,-3.3994038022224413
2020-04-19,51.7,62.7,10.7,30.1,233.61719021575072,,,,2.2038,2300.0,1100.0,114.0,53.20965111244855,-3.3994037941299724
2020-04-20,50.9,60.9,16.0,30.1,67.33822937516798,,,,2.1071,3100.0,1900.0,114.0,53.20965144762191,-3.3994041000753756
