Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,44.1,64.4,16.5,29.1,,,,,0.8,257300.0,145600.0,2374.0,51.348359880623256,-0.26055075497962826
2020-03-02,42.1,75.6,8.9,29.1,,,,,0.6524,228200.0,122500.0,2374.0,51.348360009317204,-0.2605506282197233
2020-03-03,41.3,75.8,9.3,29.5,,,,,0.5238,181900.0,93000.0,2374.0,51.34836002595675,-0.2605508954828798
2020-03-04,40.6,85.7,5.8,29.7,,,,,0.4905,167900.0,83200.0,2374.0,51.34835990320086,-0.260550929026774
2020-03-05,42.5,87.6,9.5,29.3,,,,,0.1952,205000.0,98400.0,2374.0,51.34836018139593,-0.26055078924742797
2020-03-06,42.2,71.2,5.6,29.6,,,,,0.7714,235300.0,102700.0,2374.0,51.348359958710084,-0.26055072679856395
2020-03-07,45.8,79.8,11.5,29.9,,,,,0.6,225100.0,125100.0,2374.0,51.348359992959175,-0.26055065861125565
2020-03-08,49.9,75.3,16.2,29.6,,,,,0.5619,246600.0,150100.0,2374.0,51.34835993750207,-0.26055090351016574
2020-03-09,45.7,77.5,13.8,29.8,,,,,0.5905,217000.0,126300.0,2374.0,51.34836002887916,-0.2605506157597354
2020-03-10,55.0,82.8,18.5,29.6,1.0000000297059557,,,,0.8714,187900.0,98500.0,2374.0,51.34835999261121,-0.26055101374099376
2020-03-11,51.8,75.9,14.9,29.7,1.0000000297059557,,,,,175700.0,88600.0,2374.0,51.34836015622562,-0.26055089504641626
2020-03-12,45.6,62.9,19.8,29.7,1.0000000297059557,,,,0.9824,184200.0,96700.0,2374.0,51.348360027659744,-0.26055076438894403
2020-03-13,47.3,65.3,13.3,29.9,1.0000000297059557,,,,0.9273,195200.0,104200.0,2374.0,51.34836013372448,-0.2605506689931346
2020-03-14,49.2,79.3,11.3,29.8,18.52063872185984,,,,0.8773,192200.0,125800.0,2374.0,51.34836007717055,-0.2605510897374129
2020-03-15,49.1,80.0,12.9,29.7,10.506490332632087,,,,0.2826,201000.0,141400.0,2374.0,51.348360096933035,-0.2605508006890417
2020-03-16,45.7,71.0,7.2,30.1,1.0000000594119127,,,,1.2087,159400.0,112700.0,2374.0,51.348360072320986,-0.26055066287463396
2020-03-17,48.3,78.9,11.6,30.2,8.501808233098334,,,,0.9,109500.0,77300.0,2374.0,51.34835991770597,-0.2605508613272623
2020-03-18,53.1,80.2,11.2,30.2,1.0000000891178715,,,,0.5522,87000.0,62100.0,2374.0,51.34836009098736,-0.26055075736794614
2020-03-19,45.0,90.3,7.3,30.2,1.0000000891178715,,,,0.2818,80900.0,58500.0,2374.0,51.34836013615144,-0.26055072800547474
2020-03-20,44.9,70.2,12.1,30.3,5.644606670515941,,,,1.0955,64200.0,46900.0,2374.0,51.348359996148915,-0.2605507923869112
