Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.1,68.4,19.7,28.7,,,,,0.8,257300.0,145600.0,382.0,52.59476385849698,-1.362531246064537
2020-03-02,38.3,77.9,11.0,28.9,,,,,0.6524,228200.0,122500.0,382.0,52.59476375112145,-1.3625312402143446
2020-03-03,39.2,81.0,13.6,29.2,,,,,0.5238,181900.0,93000.0,382.0,52.59476371154027,-1.3625311954848816
2020-03-04,38.7,83.7,6.0,29.4,,,,,0.4905,167900.0,83200.0,382.0,52.59476371276122,-1.3625313561846593
2020-03-05,38.4,86.8,9.1,29.1,,,,,0.1952,205000.0,98400.0,382.0,52.59476377946477,-1.3625312899786894
2020-03-06,37.9,75.1,6.3,29.3,,,,,0.7714,235300.0,102700.0,382.0,52.594763761471526,-1.3625311805110434
2020-03-07,45.4,80.3,16.0,29.5,,,,,0.6,225100.0,125100.0,382.0,52.594763830955024,-1.3625312571027752
2020-03-08,47.4,76.8,19.5,29.2,,,,,0.5619,246600.0,150100.0,382.0,52.59476393449604,-1.3625311702555547
2020-03-09,44.2,80.4,17.6,29.4,,,,,0.5905,217000.0,126300.0,382.0,52.59476369252368,-1.3625312167883863
2020-03-10,52.4,83.6,23.5,29.2,,,,,0.8714,187900.0,98500.0,382.0,52.594763778969316,-1.362531252656738
2020-03-11,48.1,74.7,18.4,29.3,1.0000000148529775,,,,,175700.0,88600.0,382.0,52.594763706835536,-1.3625312812860118
2020-03-12,41.8,68.0,26.0,29.3,1.0000000148529775,,,,0.9824,184200.0,96700.0,382.0,52.59476359037416,-1.3625313960056924
2020-03-13,43.4,78.4,12.7,29.6,1.0000000148529775,,,,0.9273,195200.0,104200.0,382.0,52.59476368024864,-1.362531284618824
2020-03-14,46.3,84.4,13.8,29.5,1.0000000148529775,,,,0.8773,192200.0,125800.0,382.0,52.594763820846794,-1.362531305448417
2020-03-15,46.0,81.8,15.6,29.3,1.0000000148529775,,,,0.2826,201000.0,141400.0,382.0,52.594763675565574,-1.3625313852756133
2020-03-16,43.6,72.6,12.1,29.8,20.012980011347548,,,,1.2087,159400.0,112700.0,382.0,52.59476373587059,-1.3625311207673667
2020-03-17,49.1,81.5,18.0,29.9,15.330308472557304,,,,0.9,109500.0,77300.0,382.0,52.59476372757004,-1.3625313806426649
2020-03-18,46.2,91.8,9.7,29.9,8.501808233098334,,,,0.5522,87000.0,62100.0,382.0,52.59476385728315,-1.3625313421801675
2020-03-19,41.9,77.3,5.0,30.0,5.602833136054448,,,,0.2818,80900.0,58500.0,382.0,52.59476371896681,-1.3625312796064935
2020-03-20,41.8,76.8,12.9,30.1,2.743560655194597,,,,1.0955,64200.0,46900.0,382.0,52.59476379808271,-1.362531149072716
2020-03-21,40.3,70.7,13.8,30.0,5.976364724124269,,,,1.2652,51500.0,37000.0,382.0,52.59476375598964,-1.3625312333903135
2020-03-22,39.7,74.7,11.1,30.0,2.6112661443777028,,,,1.1,36400.0,23600.0,382.0,52.594763739798395,-1.362531238438119
2020-03-23,40.8,67.6,8.1,30.0,3.484680677046831,,,,1.4542,28000.0,17600.0,382.0,52.59476378101876,-1.3625312143812607
2020-03-24,47.3,63.2,10.2,29.9,2.1340380347724905,,,,1.5667,22600.0,14200.0,382.0,52.59476389393928,-1.3625312777241785
2020-03-25,47.6,45.9,6.4,29.9,2.565948627324619,,,,1.6913,14800.0,8900.0,382.0,52.594763661490674,-1.3625312054605252
2020-03-26,42.3,60.2,7.1,29.9,4.111119009243573,,,,1.575,14600.0,8600.0,382.0,52.594763737328456,-1.3625310422807888
2020-03-27,41.3,72.6,10.0,30.0,2.7942987744349823,,,,1.45,13100.0,7800.0,382.0,52.594763767158604,-1.362531173909999
2020-03-28,42.2,74.0,15.3,30.1,1.000000534707468,,,,1.0542,11400.0,7000.0,382.0,52.59476373886705,-1.3625313154231675
2020-03-29,38.7,63.8,14.5,30.4,2.8110071650886845,,,,0.9958,10000.0,5800.0,382.0,52.59476377269034,-1.362531282106301
2020-03-30,40.4,77.3,9.1,30.3,3.1592011103802418,,,,0.6625,5700.0,2900.0,382.0,52.594763822575956,-1.3625311281881438
2020-03-31,42.1,71.4,7.4,30.1,5.3017699996480685,,,,1.1667,5500.0,2700.0,382.0,52.59476382197855,-1.3625312857001104
2020-04-01,42.4,76.1,9.5,29.9,2.174043702012628,,,,0.9458,4400.0,2200.0,382.0,52.59476377402606,-1.362531316326352
2020-04-02,46.8,73.1,14.3,29.6,10.091371269222119,,,,1.028,4700.0,2300.0,382.0,52.59476380766123,-1.3625311853946795
2020-04-03,45.4,67.7,8.7,29.7,13.376984654277413,,,,1.484,5400.0,2600.0,382.0,52.59476375723404,-1.3625311920796255
2020-04-04,48.5,66.6,9.7,29.7,16.00412851361311,,,,1.932,5500.0,2700.0,382.0,52.59476383809372,-1.362531395282079
2020-04-05,54.8,52.3,13.6,29.5,19.565242431148008,,,,2.116,5300.0,2500.0,382.0,52.5947637861528,-1.36253128676653
2020-04-06,53.8,60.1,14.6,29.6,70.34171584334004,,,,1.5923,3300.0,1900.0,382.0,52.59476378309158,-1.3625311329321415
2020-04-07,51.6,56.7,6.6,30.0,1.0000011733865823,,,,1.8038,4200.0,2500.0,382.0,52.5947636599242,-1.3625311764839607
2020-04-08,58.9,50.9,3.2,29.9,186.36782669611532,,,,1.6423,4300.0,2200.0,382.0,52.594763661299574,-1.3625312874002102
2020-04-09,54.1,71.7,9.8,29.9,293.1555992871876,,,,1.9577,4500.0,2800.0,382.0,52.59476376040835,-1.3625311542236669
2020-04-10,56.9,68.0,8.7,29.9,215.0911710504221,,,,2.1192,3600.0,1800.0,382.0,52.59476368962871,-1.362531114583066
2020-04-11,61.1,59.4,6.8,29.8,6.1499954453218475,,,,1.8577,3700.0,2500.0,382.0,52.594763850454356,-1.3625313786781008
2020-04-12,55.6,72.8,7.8,29.6,3.7568492577768486,,,,1.8115,3300.0,1700.0,382.0,52.59476347867502,-1.362531341373279
2020-04-13,43.7,60.5,15.5,30.0,5.821316680379881,,,,1.6654,3000.0,1800.0,382.0,52.59476376980286,-1.3625311032509513
