Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.5,66.4,17.0,28.7,,,,,0.8,257300.0,145600.0,4773.0,53.45426304295366,-2.228418659120424
2020-03-02,37.7,79.6,8.2,28.9,,,,,0.6524,228200.0,122500.0,4773.0,53.45426300141703,-2.2284188305556722
2020-03-03,39.2,86.3,9.2,29.2,145.5334772368854,,,,0.5238,181900.0,93000.0,4773.0,53.454263146217244,-2.2284188251293093
2020-03-04,39.5,82.4,2.9,29.4,89.75486245542768,,,,0.4905,167900.0,83200.0,4773.0,53.454263178444236,-2.2284187958400756
2020-03-05,37.9,77.0,6.9,29.2,1.0000000594119127,,,,0.1952,205000.0,98400.0,4773.0,53.45426309819133,-2.228418901951182
2020-03-06,37.0,79.9,3.5,29.4,1.0000000594119127,,,,0.7714,235300.0,102700.0,4773.0,53.454263117041464,-2.228418741798577
2020-03-07,46.4,82.3,9.8,29.5,1.0000000594119127,,,,0.6,225100.0,125100.0,4773.0,53.454263062279246,-2.228418769611406
2020-03-08,46.4,83.0,12.3,29.3,13.675320829943958,,,,0.5619,246600.0,150100.0,4773.0,53.4542629880035,-2.228418832807064
2020-03-09,44.6,85.4,13.6,29.4,5.094374118739051,,,,0.5905,217000.0,126300.0,4773.0,53.45426312792633,-2.2284187645280604
2020-03-10,51.6,85.0,13.2,29.3,3.8131782563846564,,,,0.8714,187900.0,98500.0,4773.0,53.45426312818653,-2.228418726768001
2020-03-11,46.3,79.1,12.7,29.3,1.0000001188238323,,,,,175700.0,88600.0,4773.0,53.454263093398175,-2.2284187018348143
2020-03-12,42.0,68.8,19.1,29.4,7.725162718953822,,,,0.9824,184200.0,96700.0,4773.0,53.45426323873249,-2.228419001137324
2020-03-13,44.1,77.2,9.2,29.7,1.0000002079417252,,,,0.9273,195200.0,104200.0,4773.0,53.45426322181467,-2.2284188474122297
