Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.1,68.4,19.7,28.7,,,,,0.8,257300.0,145600.0,375.0,52.74357660335512,-1.401572042180788
2020-03-02,38.3,77.9,11.0,28.9,,,,,0.6524,228200.0,122500.0,375.0,52.74357664529111,-1.4015720459353196
2020-03-03,39.2,81.0,13.6,29.2,,,,,0.5238,181900.0,93000.0,375.0,52.74357655034476,-1.4015721300623687
2020-03-04,38.7,83.7,6.0,29.4,,,,,0.4905,167900.0,83200.0,375.0,52.743576531640166,-1.4015721832245325
2020-03-05,38.4,86.8,9.1,29.1,,,,,0.1952,205000.0,98400.0,375.0,52.743576648169814,-1.4015721886147956
2020-03-06,37.9,75.1,6.3,29.3,,,,,0.7714,235300.0,102700.0,375.0,52.74357663597563,-1.4015720635285527
2020-03-07,45.4,80.3,16.0,29.5,,,,,0.6,225100.0,125100.0,375.0,52.74357668212474,-1.4015720544523254
2020-03-08,47.4,76.8,19.5,29.2,,,,,0.5619,246600.0,150100.0,375.0,52.74357670387023,-1.4015719838304186
2020-03-09,44.2,80.4,17.6,29.4,,,,,0.5905,217000.0,126300.0,375.0,52.74357652777563,-1.4015721851847789
2020-03-10,52.4,83.6,23.5,29.2,,,,,0.8714,187900.0,98500.0,375.0,52.74357659693653,-1.4015720375294434
2020-03-11,48.1,74.7,18.4,29.3,1.0000000297059557,,,,,175700.0,88600.0,375.0,52.74357672838618,-1.4015719972334832
2020-03-12,41.8,68.0,26.0,29.3,60.169907429720105,,,,0.9824,184200.0,96700.0,375.0,52.74357650290331,-1.4015721268680015
2020-03-13,43.4,78.4,12.7,29.6,29.391097407321723,,,,0.9273,195200.0,104200.0,375.0,52.743576537489616,-1.401572166294545
2020-03-14,46.3,84.4,13.8,29.5,1.0000000594119127,,,,0.8773,192200.0,125800.0,375.0,52.74357652095927,-1.4015720396849356
2020-03-15,46.0,81.8,15.6,29.3,1.0000000594119127,,,,0.2826,201000.0,141400.0,375.0,52.74357657868542,-1.4015720598614767
2020-03-16,43.6,72.6,12.1,29.8,13.675320829943958,,,,1.2087,159400.0,112700.0,375.0,52.743576708550385,-1.4015719299097138
2020-03-17,49.1,81.5,18.0,29.9,12.464247900715439,,,,0.9,109500.0,77300.0,375.0,52.74357654014899,-1.4015721728149309
2020-03-18,46.2,91.8,9.7,29.9,6.1935602173617585,,,,0.5522,87000.0,62100.0,375.0,52.74357663356323,-1.4015719710834205
