Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,42.8,71.7,15.0,29.0,,,,,0.8,257300.0,145600.0,2556.0,51.276293751678544,-0.7646622029740839
2020-03-02,41.4,81.9,8.3,29.0,,,,,0.6524,228200.0,122500.0,2556.0,51.27629384258895,-0.7646622380453963
2020-03-03,40.4,77.7,9.5,29.4,,,,,0.5238,181900.0,93000.0,2556.0,51.276293867070144,-0.7646622696885186
2020-03-04,39.3,93.0,6.1,29.5,,,,,0.4905,167900.0,83200.0,2556.0,51.276293997580815,-0.7646623143857587
2020-03-05,41.4,95.1,10.8,29.1,1.0000000148529775,,,,0.1952,205000.0,98400.0,2556.0,51.27629391740144,-0.7646623459753646
2020-03-06,38.8,82.6,4.8,29.4,1.0000000148529775,,,,0.7714,235300.0,102700.0,2556.0,51.276294071815805,-0.7646624026616902
2020-03-07,44.5,87.0,11.3,29.7,1.0000000148529775,,,,0.6,225100.0,125100.0,2556.0,51.276293753775896,-0.7646624127760623
2020-03-08,48.4,82.5,17.1,29.5,1.0000000148529775,,,,0.5619,246600.0,150100.0,2556.0,51.27629384812774,-0.7646623934831159
2020-03-09,45.1,82.5,12.3,29.6,1.0000000148529775,,,,0.5905,217000.0,126300.0,2556.0,51.27629387015102,-0.7646623856353876
2020-03-10,53.8,91.0,15.5,29.5,1.0000000148529775,,,,0.8714,187900.0,98500.0,2556.0,51.27629357831703,-0.7646623494501369
2020-03-11,50.6,85.5,13.1,29.6,15.330308017155845,,,,,175700.0,88600.0,2556.0,51.27629396048129,-0.7646621825485685
2020-03-12,44.4,69.3,17.0,29.6,1.0000000297059557,,,,0.9824,184200.0,96700.0,2556.0,51.27629393257722,-0.7646622255452413
2020-03-13,45.8,54.8,11.0,29.8,1.0000000297059557,,,,0.9273,195200.0,104200.0,2556.0,51.27629382224075,-0.7646623232930249
2020-03-14,47.9,86.3,10.0,29.7,6.2306811429651,,,,0.8773,192200.0,125800.0,2556.0,51.27629387535645,-0.7646622158736416
2020-03-15,47.8,86.4,13.0,29.6,1.000000044558934,,,,0.2826,201000.0,141400.0,2556.0,51.27629403720268,-0.7646623025304796
2020-03-16,42.5,79.0,5.0,29.9,7.445062758753988,,,,1.2087,159400.0,112700.0,2556.0,51.27629388557007,-0.7646623821794732
2020-03-17,47.2,84.8,11.0,30.1,1.0000000891178715,,,,0.9,109500.0,77300.0,2556.0,51.276293869313754,-0.7646622709382117
2020-03-18,51.9,85.3,11.4,30.0,4.1186031673549905,,,,0.5522,87000.0,62100.0,2556.0,51.27629378519852,-0.7646622897234455
2020-03-19,44.9,96.6,7.3,30.1,4.55897273241478,,,,0.2818,80900.0,58500.0,2556.0,51.27629383647758,-0.7646621010749713
2020-03-20,44.5,71.8,12.3,30.1,2.185187839096883,,,,1.0955,64200.0,46900.0,2556.0,51.276293861872766,-0.7646623400821619
2020-03-21,43.3,66.5,14.6,30.1,2.242206242385487,,,,1.2652,51500.0,37000.0,2556.0,51.27629379904088,-0.7646623142973799
2020-03-22,43.4,66.2,12.2,30.1,5.494827808683274,,,,1.1,36400.0,23600.0,2556.0,51.27629385254627,-0.7646624379430489
2020-03-23,41.6,60.3,7.9,30.1,1.0000002525006777,,,,1.4542,28000.0,17600.0,2556.0,51.276293853795735,-0.7646622907779337
2020-03-24,44.0,59.8,6.6,30.1,5.534319837164618,,,,1.5667,22600.0,14200.0,2556.0,51.276293915906884,-0.7646622766311265
2020-03-25,41.5,59.5,4.5,30.0,2.925553446147064,,,,1.6913,14800.0,8900.0,2556.0,51.27629379049019,-0.7646624130836129
2020-03-26,40.6,61.1,7.1,30.0,13.523121711647718,,,,1.575,14600.0,8600.0,2556.0,51.27629382763518,-0.7646624035550238
2020-03-27,44.3,62.5,8.7,30.0,13.784736017126367,,,,1.45,13100.0,7800.0,2556.0,51.2762939464972,-0.7646623561387521
2020-03-28,44.5,66.8,13.5,30.1,17.725648569681148,,,,1.0542,11400.0,7000.0,2556.0,51.276293720409036,-0.7646622372938182
2020-03-29,40.7,56.4,15.7,30.4,15.629019521466534,,,,0.9958,10000.0,5800.0,2556.0,51.27629376358175,-0.7646622585222232
2020-03-30,41.3,72.8,8.4,30.3,54.37505310766714,,,,0.6625,5700.0,2900.0,2556.0,51.27629390339042,-0.7646621504001606
2020-03-31,42.0,70.8,9.0,30.2,52.67918327255344,,,,1.1667,5500.0,2700.0,2556.0,51.27629391816239,-0.7646622954770522
2020-04-01,38.2,71.8,3.8,30.0,155.9563041636429,,,,0.9458,4400.0,2200.0,2556.0,51.27629364253466,-0.7646622420310053
2020-04-02,47.4,69.6,7.9,29.8,109.20805105285795,,,,1.028,4700.0,2300.0,2556.0,51.27629385622101,-0.7646624236412284
2020-04-03,47.2,71.1,5.6,29.8,570.7032816289435,,,,1.484,5400.0,2600.0,2556.0,51.27629385305181,-0.7646623476703128
2020-04-04,46.6,71.8,6.4,29.9,988.5817601421624,,,,1.932,5500.0,2700.0,2556.0,51.27629360086556,-0.7646622483788965
2020-04-05,53.2,59.2,9.2,29.7,20.74199322830293,,,,2.116,5300.0,2500.0,2556.0,51.276293857961086,-0.7646622870478701
2020-04-06,54.7,67.9,8.8,29.8,8.486419539066615,,,,1.5923,3300.0,1900.0,2556.0,51.27629388460505,-0.7646621472573778
2020-04-07,50.0,69.2,3.6,30.1,4.131914809551766,,,,1.8038,4200.0,2500.0,2556.0,51.27629380494337,-0.7646622803828016
