Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,41.4,70.9,10.7,28.8,,,,,0.8,257300.0,145600.0,3996.0,52.51303702240988,-2.008921441180361
2020-03-02,39.0,75.4,7.1,28.9,,,,,0.6524,228200.0,122500.0,3996.0,52.513037092972695,-2.0089211967532368
2020-03-03,40.8,75.3,8.2,29.2,,,,,0.5238,181900.0,93000.0,3996.0,52.51303710376253,-2.008921318280504
2020-03-04,38.5,86.8,5.2,29.4,,,,,0.4905,167900.0,83200.0,3996.0,52.513036975999135,-2.0089212701036683
2020-03-05,39.1,87.9,9.3,29.1,,,,,0.1952,205000.0,98400.0,3996.0,52.5130368752219,-2.0089210108171396
2020-03-06,39.1,74.2,3.3,29.3,,,,,0.7714,235300.0,102700.0,3996.0,52.51303709143555,-2.0089211224914414
2020-03-07,46.2,81.2,9.6,29.5,,,,,0.6,225100.0,125100.0,3996.0,52.513036885989244,-2.008921333252489
2020-03-08,48.5,72.8,12.5,29.2,,,,,0.5619,246600.0,150100.0,3996.0,52.51303720237154,-2.00892125274367
2020-03-09,44.5,80.6,10.6,29.4,,,,,0.5905,217000.0,126300.0,3996.0,52.51303698614159,-2.0089214463802967
2020-03-10,53.4,84.0,11.4,29.2,,,,,0.8714,187900.0,98500.0,3996.0,52.51303699924433,-2.0089212192043653
2020-03-11,48.9,77.4,11.2,29.3,193.71131448137132,,,,,175700.0,88600.0,3996.0,52.51303700644269,-2.0089212545837634
2020-03-12,42.6,66.1,13.3,29.4,45.377433953379935,,,,0.9824,184200.0,96700.0,3996.0,52.51303718381318,-2.0089210819562373
2020-03-13,43.3,80.6,8.5,29.6,31.972109581299016,,,,0.9273,195200.0,104200.0,3996.0,52.51303719403217,-2.0089212038298934
2020-03-14,46.6,89.1,10.1,29.5,21.184933648039426,,,,0.8773,192200.0,125800.0,3996.0,52.51303709683236,-2.0089211950295285
2020-03-15,46.8,83.2,9.3,29.4,14.140482623015313,,,,0.2826,201000.0,141400.0,3996.0,52.51303700430479,-2.0089213768270127
2020-03-16,44.2,69.7,6.8,29.8,4.4569068048802665,,,,1.2087,159400.0,112700.0,3996.0,52.51303725491809,-2.008921148596802
2020-03-17,49.5,84.0,10.7,29.9,7.918082923177162,,,,0.9,109500.0,77300.0,3996.0,52.51303699950592,-2.008921202027921
2020-03-18,46.7,93.2,8.2,29.9,9.619104665500313,,,,0.5522,87000.0,62100.0,3996.0,52.5130370427672,-2.008921236266229
2020-03-19,41.5,83.4,7.1,30.0,3.0843039239750016,,,,0.2818,80900.0,58500.0,3996.0,52.513036961353286,-2.008921218150231
2020-03-20,42.3,78.2,11.5,30.1,2.8307408255621627,,,,1.0955,64200.0,46900.0,3996.0,52.51303712788554,-2.008921194399812
2020-03-21,41.9,63.9,12.7,30.0,3.4813685791528486,,,,1.2652,51500.0,37000.0,3996.0,52.51303714285758,-2.008921099067854
2020-03-22,41.1,68.3,8.7,30.0,3.9850870145802295,,,,1.1,36400.0,23600.0,3996.0,52.51303702307885,-2.0089213503244516
2020-03-23,40.9,67.8,6.4,29.9,2.8856991715337186,,,,1.4542,28000.0,17600.0,3996.0,52.513037160823025,-2.008921311899672
2020-03-24,45.5,71.7,7.6,29.9,2.643919655776144,,,,1.5667,22600.0,14200.0,3996.0,52.513037071876205,-2.00892135542175
2020-03-25,45.8,54.5,5.3,29.9,2.277584525375379,,,,1.6913,14800.0,8900.0,3996.0,52.513037063661486,-2.0089212223370003
2020-03-26,43.9,53.0,6.1,29.9,2.6680480155691093,,,,1.575,14600.0,8600.0,3996.0,52.513037012031184,-2.0089214487790863
2020-03-27,41.8,71.3,9.9,29.9,2.6148745432340186,,,,1.45,13100.0,7800.0,3996.0,52.51303707032465,-2.008921323967695
2020-03-28,42.2,73.2,14.2,30.1,3.7290134423972168,,,,1.0542,11400.0,7000.0,3996.0,52.51303710959697,-2.0089212912629626
2020-03-29,39.7,60.4,15.9,30.4,4.280607637554193,,,,0.9958,10000.0,5800.0,3996.0,52.513037079271946,-2.008921472252719
2020-03-30,40.9,74.2,9.6,30.2,4.697065612876789,,,,0.6625,5700.0,2900.0,3996.0,52.51303707853163,-2.008921203003384
2020-03-31,42.3,72.1,7.9,30.1,4.700103050205672,,,,1.1667,5500.0,2700.0,3996.0,52.51303707157971,-2.0089212392444193
2020-04-01,42.7,69.6,7.6,29.9,6.784172354935459,,,,0.9458,4400.0,2200.0,3996.0,52.51303716047566,-2.0089211462842456
2020-04-02,48.5,68.1,10.2,29.6,7.003303694211812,,,,1.028,4700.0,2300.0,3996.0,52.513037206612395,-2.0089214234630854
2020-04-03,47.3,62.7,6.1,29.7,5.5360960318343455,,,,1.484,5400.0,2600.0,3996.0,52.51303704083355,-2.0089211430926954
2020-04-04,46.2,75.2,6.7,29.7,9.77746757154567,,,,1.932,5500.0,2700.0,3996.0,52.51303707671104,-2.0089212558205243
2020-04-05,54.0,56.8,12.8,29.5,16.97458355790275,,,,2.116,5300.0,2500.0,3996.0,52.51303706415222,-2.0089211762048818
