Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,latitude,longitude
2020-03-01,43.9,70.1,12.2,29.0,,,,,0.8,257300.0,145600.0,192.0,50.953813479689956,0.2011578389462092
2020-03-02,42.1,81.7,8.2,29.0,,,,,0.6524,228200.0,122500.0,192.0,50.953813552427796,0.20115808688803097
2020-03-03,41.1,76.8,8.0,29.4,,,,,0.5238,181900.0,93000.0,192.0,50.95381335506464,0.20115787023824347
2020-03-04,40.2,93.5,5.5,29.5,,,,,0.4905,167900.0,83200.0,192.0,50.953813408795504,0.2011577256970234
2020-03-05,42.5,97.0,12.6,29.1,,,,,0.1952,205000.0,98400.0,192.0,50.953813431389825,0.20115798883734484
2020-03-06,41.2,78.4,7.2,29.4,,,,,0.7714,235300.0,102700.0,192.0,50.95381343702909,0.20115793138135668
2020-03-07,43.6,89.0,8.0,29.8,,,,,0.6,225100.0,125100.0,192.0,50.95381344650949,0.20115777589325315
2020-03-08,48.7,82.1,14.1,29.5,,,,,0.5619,246600.0,150100.0,192.0,50.953813560511826,0.20115779103420675
2020-03-09,45.4,82.0,11.8,29.6,,,,,0.5905,217000.0,126300.0,192.0,50.953813401649064,0.2011578996995107
2020-03-10,53.1,96.9,14.4,29.5,,,,,0.8714,187900.0,98500.0,192.0,50.9538133442634,0.20115775486285387
2020-03-11,51.9,88.9,13.3,29.6,97.35565294718027,,,,,175700.0,88600.0,192.0,50.95381331498157,0.2011578125632908
2020-03-12,45.2,68.1,15.5,29.6,45.377431257419794,,,,0.9824,184200.0,96700.0,192.0,50.95381337824167,0.20115792897834678
2020-03-13,46.5,69.8,11.1,29.8,1.0000000594119127,,,,0.9273,195200.0,104200.0,192.0,50.95381344990084,0.20115804312074848
2020-03-14,48.2,88.4,8.9,29.7,1.0000000594119127,,,,0.8773,192200.0,125800.0,192.0,50.95381346672184,0.20115778670486562
2020-03-15,48.8,86.7,11.9,29.6,1.0000000594119127,,,,0.2826,201000.0,141400.0,192.0,50.95381353323975,0.20115781152052342
2020-03-16,45.3,76.6,5.2,29.9,8.605192405800786,,,,1.2087,159400.0,112700.0,192.0,50.9538136284566,0.20115781777583758
2020-03-17,47.1,85.8,8.5,30.1,9.188748133507248,,,,0.9,109500.0,77300.0,192.0,50.953813399073084,0.20115790623187774
2020-03-18,50.9,89.5,9.6,30.1,1.0000001039708517,,,,0.5522,87000.0,62100.0,192.0,50.95381334730356,0.201157966284522
2020-03-19,46.3,97.0,8.6,30.1,6.523399933284416,,,,0.2818,80900.0,58500.0,192.0,50.95381353450834,0.20115787475460165
2020-03-20,45.0,75.0,16.3,30.1,2.4265497233652584,,,,1.0955,64200.0,46900.0,192.0,50.953813456744,0.2011578002451844
2020-03-21,43.8,67.6,14.9,30.1,2.161151864185226,,,,1.2652,51500.0,37000.0,192.0,50.95381355655569,0.20115785231560562
2020-03-22,42.5,69.1,12.5,30.1,3.5780256352713637,,,,1.1,36400.0,23600.0,192.0,50.95381354448361,0.20115793516050773
2020-03-23,41.6,58.9,7.4,30.1,3.0705671891681403,,,,1.4542,28000.0,17600.0,192.0,50.95381339790537,0.20115773257137654
2020-03-24,44.0,57.3,5.9,30.1,3.2680757427793763,,,,1.5667,22600.0,14200.0,192.0,50.95381360764264,0.2011578694445961
2020-03-25,42.0,60.4,5.4,30.0,3.416587287632486,,,,1.6913,14800.0,8900.0,192.0,50.95381360677363,0.201157804935276
2020-03-26,42.0,62.5,9.5,30.0,2.835130259661637,,,,1.575,14600.0,8600.0,192.0,50.95381352369473,0.20115796291427704
2020-03-27,45.0,62.9,10.9,30.0,1.5046468252368441,,,,1.45,13100.0,7800.0,192.0,50.95381341112025,0.20115779655892155
2020-03-28,44.9,65.8,16.1,30.1,2.123707677783956,,,,1.0542,11400.0,7000.0,192.0,50.95381337512702,0.20115795194560035
2020-03-29,40.5,60.7,17.9,30.4,4.01834488897017,,,,0.9958,10000.0,5800.0,192.0,50.95381326748529,0.20115791090585325
2020-03-30,41.5,72.3,9.2,30.3,7.6503390314573085,,,,0.6625,5700.0,2900.0,192.0,50.95381340643617,0.20115782223987624
2020-03-31,42.3,69.9,10.5,30.2,4.676058656867211,,,,1.1667,5500.0,2700.0,192.0,50.95381351674526,0.2011579568677345
2020-04-01,41.0,67.6,4.7,30.0,5.696173684482675,,,,0.9458,4400.0,2200.0,192.0,50.95381341474698,0.2011578364846725
2020-04-02,47.7,69.1,7.3,29.8,4.896303085367197,,,,1.028,4700.0,2300.0,192.0,50.95381349638254,0.20115791884848633
2020-04-03,48.4,70.8,4.8,29.8,8.389245801087585,,,,1.484,5400.0,2600.0,192.0,50.953813448726336,0.20115791048303655
