Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,40.3,76.8,22.2,28.5,,,,,,0.8,257300.0,145600.0,106.0,-2.8891999117856635,54.90895382414336
2020-03-02,36.5,84.6,8.3,28.8,,,,,,0.6524,228200.0,122500.0,106.0,-2.8891958255087924,54.90893578610043
2020-03-03,38.7,86.9,8.8,29.1,1.0000000297059557,,,,,0.5238,181900.0,93000.0,106.0,-2.889107346863695,54.9091974139982
2020-03-04,37.6,84.2,4.0,29.4,60.169907429720105,,,,,0.4905,167900.0,83200.0,106.0,-2.8891995255293694,54.90912764303462
2020-03-05,34.2,90.8,2.3,29.3,1.000000044558934,,,,,0.1952,205000.0,98400.0,106.0,-2.8891657848129433,54.908941097784506
2020-03-06,35.4,87.2,3.3,29.4,1.000000044558934,,,,,0.7714,235300.0,102700.0,106.0,-2.8891393551026625,54.90891048358034
2020-03-07,45.3,85.3,13.5,29.4,1.000000044558934,,,,,0.6,225100.0,125100.0,106.0,-2.8890219520869893,54.909061829414696
2020-03-08,45.8,81.0,12.7,29.1,10.506490332632087,,,,,0.5619,246600.0,150100.0,106.0,-2.889236550780064,54.90910206873878
2020-03-09,42.9,85.7,12.1,29.3,1.0000000594119127,,,,,0.5905,217000.0,126300.0,106.0,-2.889277457503061,54.90923418446558
2020-03-10,47.6,82.9,21.5,29.1,5.5010848937986525,,,,,0.8714,187900.0,98500.0,106.0,-2.88932360062969,54.90911053619298
2020-03-11,43.0,82.3,14.8,29.2,1.000000074264892,,,,,,175700.0,88600.0,106.0,-2.889017566395069,54.90908170771597
2020-03-12,40.1,82.2,24.2,29.1,5.4834413118316645,,,,,0.9824,184200.0,96700.0,106.0,-2.8890518708712483,54.90902376340585
2020-03-13,39.2,85.3,10.4,29.6,2.741727544268664,,,,,0.9273,195200.0,104200.0,106.0,-2.8890717810331448,54.909041640275746
2020-03-14,44.2,86.3,10.7,29.4,1.0000001188238323,,,,,0.8773,192200.0,125800.0,106.0,-2.88906904731765,54.90904530074296
2020-03-15,46.2,81.0,17.0,29.2,4.3882002286232735,,,,,0.2826,201000.0,141400.0,106.0,-2.8891681314172013,54.90915492180098
2020-03-16,43.3,75.1,11.4,29.7,1.0000001633827769,,,,,1.2087,159400.0,112700.0,106.0,-2.889183605333802,54.90900620020237
2020-03-17,49.0,81.2,13.8,29.7,3.0076258044888307,,,,,0.9,109500.0,77300.0,106.0,-2.889016210778377,54.90914538875811
2020-03-18,42.9,81.3,11.4,29.8,2.015875376000236,,,,,0.5522,87000.0,62100.0,106.0,-2.8891886377414497,54.90886364479292
2020-03-19,39.1,83.3,6.2,30.1,2.07657883083269,,,,,0.2818,80900.0,58500.0,106.0,-2.889077768840332,54.90912530106636
2020-03-20,37.6,86.6,7.4,30.2,1.0000002227947091,,,,,1.0955,64200.0,46900.0,106.0,-2.8891991532842605,54.90900460629768
2020-03-21,40.1,78.7,10.2,30.2,2.4714425859560705,,,,,1.2652,51500.0,37000.0,106.0,-2.8891183087599006,54.90905823255831
2020-03-22,41.1,72.3,6.3,30.1,10.200069383661038,,,,,1.1,36400.0,23600.0,106.0,-2.8890879686934183,54.90900741374783
2020-03-23,42.5,70.3,9.7,30.0,12.37280053248764,,,,,1.4542,28000.0,17600.0,106.0,-2.889164747242294,54.90924604784409
2020-03-24,49.2,66.4,7.1,29.8,11.114831132974448,,,,,1.5667,22600.0,14200.0,106.0,-2.889309356970927,54.90904204773029
2020-03-25,51.9,72.2,7.4,29.9,13.451223973976164,,,,,1.6913,14800.0,8900.0,106.0,-2.8891858875951013,54.90907427292151
2020-03-26,42.7,92.6,4.8,30.0,24.8854070444302,,,,,1.575,14600.0,8600.0,106.0,-2.8892776156056006,54.90914279772498
2020-03-27,40.8,88.6,7.1,30.1,27.59822748347792,,,,,1.45,13100.0,7800.0,106.0,-2.8890512586753334,54.908936666398354
2020-03-28,41.7,76.3,14.8,30.3,19.30002498343553,,,,,1.0542,11400.0,7000.0,106.0,-2.888938459063353,54.90908804180479
2020-03-29,38.3,63.1,13.3,30.5,86.79993520509217,,,,,0.9958,10000.0,5800.0,106.0,-2.888956373691659,54.90894841210132
2020-03-30,43.8,67.0,12.5,30.3,115.23911584455743,,,,,0.6625,5700.0,2900.0,106.0,-2.8891855315988857,54.90911898576283
2020-03-31,43.0,72.7,4.7,30.2,175.27748563486554,,,,,1.1667,5500.0,2700.0,106.0,-2.8892031904659787,54.90897286483169
2020-04-01,45.0,71.3,10.7,29.9,363.6760240459176,,,,,0.9458,4400.0,2200.0,106.0,-2.8891214617563343,54.908897216253656
2020-04-02,46.5,61.6,20.5,29.5,663.3448430856438,,,,,1.028,4700.0,2300.0,106.0,-2.889097923454245,54.90930835933314
2020-04-03,41.4,70.5,10.1,29.6,3.876639279627768,,,,,1.484,5400.0,2600.0,106.0,-2.8891132459053503,54.909210021396326
2020-04-04,46.5,70.7,6.9,29.7,1.3626636770564462,,,,,1.932,5500.0,2700.0,106.0,-2.8891245792237146,54.90914801589833
2020-04-05,53.8,54.6,10.7,29.5,8.462777552672383,,,,,2.116,5300.0,2500.0,106.0,-2.889218865394411,54.90900494013549
2020-04-06,52.7,55.6,12.9,29.6,5.101861832934553,,,,,1.5923,3300.0,1900.0,106.0,-2.8890850438952453,54.909003871511764
2020-04-07,49.0,60.5,6.3,30.0,9.456500545015457,,,,,1.8038,4200.0,2500.0,106.0,-2.889159956666501,54.90904586431444
2020-04-08,51.8,60.5,7.7,29.9,8.934214996799621,,,,,1.6423,4300.0,2200.0,106.0,-2.889087332554515,54.90915680695209
2020-04-09,45.1,87.1,7.0,30.1,3.2009206639790686,,,,,1.9577,4500.0,2800.0,106.0,-2.8891075866804368,54.90889827496719
2020-04-10,54.3,72.4,4.6,29.9,1.5356940239909016,,,,,2.1192,3600.0,1800.0,106.0,-2.889310367285918,54.90901421104305
2020-04-11,57.3,65.6,10.2,29.8,1.3523389078707533,,,,,1.8577,3700.0,2500.0,106.0,-2.889221747518522,54.909062401212985
2020-04-12,46.7,72.2,8.3,29.8,2.3450030274851263,,,,,1.8115,3300.0,1700.0,106.0,-2.8891014262168655,54.90905167306011
2020-04-13,39.8,56.3,10.8,30.1,3.6169052422638734,,,,,1.6654,3000.0,1800.0,106.0,-2.8892642724274564,54.90898113093016
2020-04-14,41.3,66.6,8.9,30.0,2.4278863532620583,,,,,2.2654,1900.0,1000.0,106.0,-2.8892521429781377,54.909054348497484
2020-04-15,50.1,66.6,10.4,29.8,1.5305406921246967,,,,,2.2077,2700.0,1300.0,106.0,-2.8891727111802368,54.90913761336548
2020-04-16,45.6,78.2,8.1,29.8,1.1735211079355847,,,,,1.5115,2800.0,1600.0,106.0,-2.889403478508387,54.90922023338741
2020-04-17,45.5,72.8,8.6,29.9,0.6665444926940252,,,,,0.6692,3100.0,1700.0,106.0,-2.8891663030779795,54.90907416619387
2020-04-18,43.3,68.9,7.8,29.9,0.8017296034223205,,,,,1.0038,3200.0,1900.0,106.0,-2.889109754771395,54.90909437777664
2020-04-19,44.2,77.5,6.6,30.0,1.6676067846144993,,,,,2.2038,2300.0,1100.0,106.0,-2.889158909048059,54.9089364468081
2020-04-20,45.2,73.4,10.1,30.0,0.8064812029900742,,,,,2.1071,3100.0,1900.0,106.0,-2.8890920598644834,54.90899743659955
2020-04-21,47.3,75.3,11.0,30.0,0.9363065681167808,,,,,2.1536,3300.0,2300.0,106.0,-2.8891784286623956,54.908878907622075
2020-04-22,47.9,79.5,7.3,30.0,1.2275187206055822,,,,,2.1964,3900.0,2200.0,106.0,-2.8890832084773774,54.90920154428652
2020-04-23,48.0,77.3,5.0,29.9,1.2710483026731818,,,,,2.2536,2900.0,1800.0,106.0,-2.8891430851111797,54.90907278513874
2020-04-24,46.6,72.4,4.5,29.8,1.2984406505168191,,,,,2.2107,4500.0,2800.0,106.0,-2.8892161848993236,54.908987935213446
2020-04-25,49.2,74.7,4.4,29.7,1.4195660195080195,,,,,2.2536,3500.0,2300.0,106.0,-2.8891628434349133,54.90907622923929
2020-04-26,50.8,69.2,10.1,29.5,1.3897913664516572,,,,,2.2929,3900.0,2400.0,106.0,-2.8891167826905355,54.908999758972946
2020-04-27,45.2,69.0,6.5,29.5,1.2900847411116332,,,,,1.2964,3300.0,2100.0,106.0,-2.889200798181973,54.909149329990534
2020-04-28,42.5,74.5,4.5,29.5,2.0673959747748545,,,,,0.3464,4300.0,2800.0,106.0,-2.8890754690384357,54.90905233569267
