Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,45.5,68.1,10.8,29.2,,,,,,0.8,257300.0,145600.0,244.0,-0.9388925841125504,51.060411322867644
2020-03-02,43.6,66.6,8.9,29.3,,,,,,0.6524,228200.0,122500.0,244.0,-0.9388578734319443,51.06033074292157
2020-03-03,43.9,70.7,5.9,29.6,,,,,,0.5238,181900.0,93000.0,244.0,-0.9387105976571438,51.06033128558507
2020-03-04,43.1,91.5,4.4,29.6,,,,,,0.4905,167900.0,83200.0,244.0,-0.9387684914114802,51.060305966160065
2020-03-05,43.4,87.4,13.4,29.3,,,,,,0.1952,205000.0,98400.0,244.0,-0.9390605956936472,51.06038072745897
2020-03-06,43.4,70.3,3.3,29.7,1.0000000148529775,,,,,0.7714,235300.0,102700.0,244.0,-0.9389241185365123,51.06010808042991
2020-03-07,49.3,84.0,10.7,30.0,1.0000000148529775,,,,,0.6,225100.0,125100.0,244.0,-0.9389082061119802,51.060391588261254
2020-03-08,48.9,77.3,11.1,29.7,1.0000000148529775,,,,,0.5619,246600.0,150100.0,244.0,-0.9388314214704677,51.06044277794367
2020-03-09,48.2,75.8,12.6,29.9,1.0000000148529775,,,,,0.5905,217000.0,126300.0,244.0,-0.9387981177805365,51.06025838321631
2020-03-10,55.1,88.8,13.2,29.7,1.0000000148529775,,,,,0.8714,187900.0,98500.0,244.0,-0.9389716218646533,51.060329004786375
2020-03-11,52.6,80.1,13.5,29.8,29.519470879072443,,,,,,175700.0,88600.0,244.0,-0.9389120136446857,51.06030267485713
2020-03-12,46.3,62.0,14.2,29.9,13.283122148275444,,,,,0.9824,184200.0,96700.0,244.0,-0.9388415634295396,51.06036084833308
2020-03-13,48.4,66.3,8.2,30.1,1.0000001039708517,,,,,0.9273,195200.0,104200.0,244.0,-0.9387376624508603,51.0603853704209
2020-03-14,51.1,81.6,9.4,29.9,1.0000001039708517,,,,,0.8773,192200.0,125800.0,244.0,-0.938847879953367,51.06034049618843
2020-03-15,49.4,83.2,11.2,29.7,4.487121176712383,,,,,0.2826,201000.0,141400.0,244.0,-0.9387553749039678,51.06036161178724
2020-03-16,47.5,65.7,4.4,30.2,1.0000001336768134,,,,,1.2087,159400.0,112700.0,244.0,-0.9388887763788929,51.0602096174596
2020-03-17,51.0,79.4,11.5,30.3,2.2890127590397262,,,,,0.9,109500.0,77300.0,244.0,-0.9387921907914473,51.06035092092838
2020-03-18,52.8,83.8,10.9,30.2,2.129400185129608,,,,,0.5522,87000.0,62100.0,244.0,-0.9388869481002721,51.060383003011445
2020-03-19,47.4,91.2,6.4,30.2,4.326510487088054,,,,,0.2818,80900.0,58500.0,244.0,-0.938774688141093,51.060413946139256
2020-03-20,47.2,60.2,12.8,30.3,3.174928174557896,,,,,1.0955,64200.0,46900.0,244.0,-0.938943848307223,51.06042456021515
2020-03-21,49.1,52.2,11.8,30.2,3.0317508592724987,,,,,1.2652,51500.0,37000.0,244.0,-0.9388807614508212,51.06024579646109
2020-03-22,48.7,52.4,9.6,30.2,3.5837894143854068,,,,,1.1,36400.0,23600.0,244.0,-0.9386917768108002,51.060522270949605
2020-03-23,47.3,50.6,7.5,30.2,1.7347319118470643,,,,,1.4542,28000.0,17600.0,244.0,-0.9388011086778846,51.06031940084007
2020-03-24,50.5,54.2,6.0,30.2,3.4354916844094614,,,,,1.5667,22600.0,14200.0,244.0,-0.9389417649894951,51.060173613634525
2020-03-25,51.2,51.9,4.4,30.2,5.445412743216672,,,,,1.6913,14800.0,8900.0,244.0,-0.9387848730701818,51.06035082660404
2020-03-26,51.1,45.8,7.8,30.1,6.184183480523387,,,,,1.575,14600.0,8600.0,244.0,-0.9388267753295622,51.06022358437741
2020-03-27,51.0,52.6,11.4,30.1,6.242238712184625,,,,,1.45,13100.0,7800.0,244.0,-0.9389578402786596,51.06033713395888
2020-03-28,50.4,56.0,18.5,30.3,7.963602885094973,,,,,1.0542,11400.0,7000.0,244.0,-0.9388891628278185,51.060501067412254
2020-03-29,46.3,45.0,22.4,30.6,10.707437705409236,,,,,0.9958,10000.0,5800.0,244.0,-0.9389239399795467,51.060110887620596
2020-03-30,45.8,62.8,13.0,30.5,24.540957153266145,,,,,0.6625,5700.0,2900.0,244.0,-0.9389586304306111,51.06030193365578
2020-03-31,49.3,52.7,10.0,30.4,11.675013272794144,,,,,1.1667,5500.0,2700.0,244.0,-0.9387430427940981,51.060338284197975
2020-04-01,49.6,48.0,7.0,30.2,27.08568739808333,,,,,0.9458,4400.0,2200.0,244.0,-0.9389063254680379,51.060247981083315
2020-04-02,54.3,52.0,8.3,30.0,72.78123504199539,,,,,1.028,4700.0,2300.0,244.0,-0.9387321183439663,51.060406194150744
2020-04-03,53.4,56.4,6.8,30.0,77.58387201864268,,,,,1.484,5400.0,2600.0,244.0,-0.938931285268334,51.06026814705644
2020-04-04,55.4,55.8,10.0,30.1,274.1843791921781,,,,,1.932,5500.0,2700.0,244.0,-0.9387566228357143,51.06037201718976
2020-04-05,60.1,51.0,11.1,29.8,431.793099523921,,,,,2.116,5300.0,2500.0,244.0,-0.9387280727942219,51.06041113681589
2020-04-06,59.0,49.0,7.5,30.0,19.779766444729727,,,,,1.5923,3300.0,1900.0,244.0,-0.9386874119766018,51.06050816261393
2020-04-07,62.0,42.0,7.5,30.3,3.9808560120921515,,,,,1.8038,4200.0,2500.0,244.0,-0.9388105176059646,51.06030548895171
2020-04-08,66.0,53.3,3.7,30.2,2.7227755870843042,,,,,1.6423,4300.0,2200.0,244.0,-0.9388783415674179,51.06033133463701
2020-04-09,71.4,41.0,7.4,30.2,3.480995500107369,,,,,1.9577,4500.0,2800.0,244.0,-0.938899770103024,51.06037233687763
2020-04-10,69.5,44.5,10.3,30.2,3.7474906655374864,,,,,2.1192,3600.0,1800.0,244.0,-0.9388929782796945,51.060373355166796
2020-04-11,66.0,56.0,2.0,30.2,5.458806002828308,,,,,1.8577,3700.0,2500.0,244.0,-0.9388994419134974,51.060361255903246
2020-04-12,67.3,48.6,6.0,29.9,4.149304293344695,,,,,1.8115,3300.0,1700.0,244.0,-0.9388834363388113,51.06049094817273
2020-04-13,50.5,52.8,17.3,30.3,3.1665693815128617,,,,,1.6654,3000.0,1800.0,244.0,-0.9389200905394346,51.0604049491893
2020-04-14,50.5,48.5,5.0,30.3,3.6844075406037198,,,,,2.2654,1900.0,1000.0,244.0,-0.9388684701804366,51.06023888672372
2020-04-15,57.9,40.3,6.0,30.1,3.9013677404467737,,,,,2.2077,2700.0,1300.0,244.0,-0.9388866267086213,51.060417229661354
2020-04-16,57.2,54.8,4.2,29.9,3.2087682423502786,,,,,1.5115,2800.0,1600.0,244.0,-0.93881753507717,51.060209583813
2020-04-17,50.0,94.0,9.0,29.9,1.9477519086069413,,,,,0.6692,3100.0,1700.0,244.0,-0.9387732867338806,51.060272611443736
2020-04-20,62.9,41.7,15.3,29.9,2.696167294049011,,,,,2.1071,3100.0,1900.0,244.0,-0.9387550974030198,51.060246571718615
2020-04-21,63.2,41.1,12.9,29.9,2.4267694650317067,,,,,2.1536,3300.0,2300.0,244.0,-0.9388499370962295,51.06034632140819
2020-04-22,67.8,39.3,9.8,30.0,2.7817794877317583,,,,,2.1964,3900.0,2200.0,244.0,-0.9389191767149703,51.060309888944545
2020-04-23,69.7,42.3,3.8,30.0,1.9607367482036384,,,,,2.2536,2900.0,1800.0,244.0,-0.9388817244288019,51.06029946251806
2020-04-24,66.4,41.4,5.1,29.9,1.7173739489884068,,,,,2.2107,4500.0,2800.0,244.0,-0.9387006934505707,51.06040518128414
2020-04-25,59.5,60.0,5.6,29.9,1.5080844234607462,,,,,2.2536,3500.0,2300.0,244.0,-0.9388100502002722,51.06011495189626
2020-04-26,61.3,50.1,3.4,29.9,1.1613397278276485,,,,,2.2929,3900.0,2400.0,244.0,-0.9388249774754064,51.06031575520289
2020-04-27,62.6,51.4,2.5,29.7,1.795087622832017,,,,,1.2964,3300.0,2100.0,244.0,-0.9388984315861774,51.060211246552214
2020-04-28,49.7,92.7,5.8,29.6,1.63620971010632,,,,,0.3464,4300.0,2800.0,244.0,-0.9388925575960442,51.060306848034024
2020-04-29,53.4,80.0,11.5,29.5,1.4203582254757687,,,,,1.2143,3500.0,1900.0,244.0,-0.9386776420554527,51.06037428919972
2020-04-30,50.6,80.2,12.8,29.3,1.2249351077552633,,,,,0.9111,5100.0,2600.0,244.0,-0.9389121117551685,51.060385757186275
2020-05-01,57.0,54.1,13.0,29.5,1.036112095575145,,,,,1.5964,4900.0,2600.0,244.0,-0.9387682312744521,51.06026363039808
2020-05-04,60.7,54.7,8.3,30.0,1.0547880608979372,,,,,2.2179,2700.0,900.0,244.0,-0.9389409970017317,51.06025909109899
2020-05-05,55.8,54.4,9.2,30.1,1.0738263103947028,,,,,2.4464,3100.0,1800.0,244.0,-0.9388806749344406,51.060189965180854
2020-05-06,62.2,43.5,5.4,30.2,0.8486878407785661,,,,,2.5786,4400.0,1900.0,244.0,-0.9390280069620859,51.06036329941503
2020-05-07,67.2,49.6,6.0,30.1,0.8927164149461542,,,,,2.4759,4500.0,2100.0,244.0,-0.9386591783121033,51.0603558257025
2020-05-08,68.0,46.5,5.7,30.0,0.9000849864171052,,,,,2.3207,4600.0,1600.0,244.0,-0.9389864684487691,51.06040271655469
2020-05-10,55.4,73.4,20.6,29.8,0.979724344687538,,,,,1.3033,3900.0,1400.0,244.0,-0.9390839967760976,51.06025168261595
2020-05-11,53.0,44.5,21.0,30.0,0.929936887638408,,,,,1.7483,3500.0,1300.0,244.0,-0.9387928085648795,51.06031618726813
2020-05-12,54.7,41.0,5.0,30.1,0.9794779081164424,,,,,2.1033,3300.0,1300.0,244.0,-0.9386601534266066,51.06022669810738
2020-05-13,54.4,48.1,13.6,30.0,1.0020158125937593,,,,,2.0828,4400.0,1900.0,244.0,-0.9388465527342913,51.06028331720271
2020-05-14,55.3,42.5,11.8,30.1,0.9126185462515808,,,,,2.58,4400.0,1700.0,244.0,-0.9387738523970737,51.06039411919043
2020-05-15,60.6,44.3,5.4,30.2,0.9498948502264768,,,,,2.32,5100.0,1800.0,244.0,-0.9388025120912759,51.060412832185484
2020-05-16,61.2,44.2,6.1,30.2,0.9781363038221648,,,,,1.89,3300.0,900.0,244.0,-0.9389505487511589,51.06039859757648
2020-05-17,62.3,52.5,7.2,30.2,1.0265704374057707,,,,,2.3967,4300.0,1500.0,244.0,-0.9388795120649797,51.060501045341276
2020-05-18,65.3,50.2,10.7,30.2,1.011981450939634,,,,,2.8833,4500.0,1200.0,244.0,-0.9386376747578259,51.06034041368254
2020-05-19,68.0,57.7,6.3,30.2,1.0482571037867578,,,,,3.0467,3400.0,1300.0,244.0,-0.9388338303776483,51.060361674940445
2020-05-20,72.1,42.6,6.5,30.1,1.0140782262207693,,,,,2.9533,6800.0,2400.0,244.0,-0.938874300530303,51.06033122639891
2020-05-21,73.2,42.3,4.0,30.1,1.0774356584004177,,,,,2.7933,4400.0,1700.0,244.0,-0.9386779959174177,51.06029639113393
2020-05-22,65.5,46.5,17.3,30.0,1.1441980780707734,,,,,2.4067,5000.0,1400.0,244.0,-0.9388447092243825,51.06016597899229
2020-05-23,60.4,54.0,15.3,30.2,1.0749407255090908,,,,,2.2133,4500.0,1400.0,244.0,-0.9388544332950602,51.06029574597563
2020-05-24,64.4,54.2,11.4,30.4,1.0099761255794513,,,,,2.2067,5400.0,1500.0,244.0,-0.9386296182186518,51.060375434949606
2020-05-25,71.5,42.5,5.8,30.5,1.0272897185450578,,,,,2.9367,4100.0,1200.0,244.0,-0.938899144836244,51.060316939917136
2020-05-26,73.9,38.8,4.7,30.5,1.0053984571920649,,,,,2.94,4000.0,1500.0,244.0,-0.9387504215221975,51.06038431000003
2020-05-27,73.5,42.3,3.2,30.5,1.0157626235981456,,,,,2.5633,5100.0,1800.0,244.0,-0.9388810143563827,51.060384745147275
2020-05-28,69.3,43.0,6.5,30.4,1.0436898912695045,,,,,3.0867,5500.0,1800.0,244.0,-0.9388606969641948,51.0604146297177
2020-05-29,71.8,39.2,7.0,30.2,1.0109759949011279,,,,,3.1467,6400.0,1900.0,244.0,-0.9390336687980211,51.06031517800247
2020-05-30,73.3,38.8,7.2,30.1,1.0170238609879672,,,,,2.9267,5300.0,1700.0,244.0,-0.9387324854429298,51.06027744802951
2020-05-31,73.3,37.7,9.7,30.1,1.0708478395660983,,,,,2.9467,6300.0,1900.0,244.0,-0.9388872815527631,51.06029158156166
2020-06-01,72.9,41.9,9.1,30.1,1.012471436495833,,,,,2.9233,6000.0,1700.0,244.0,-0.9389016469137433,51.060228035165224
2020-06-02,73.9,39.3,7.9,30.0,1.0128872613044708,,,,,2.7871,5400.0,1900.0,244.0,-0.9388922984004647,51.06029151101934
2020-06-03,63.3,71.5,1.5,29.7,1.0185884014134141,,,,,0.7968,6800.0,2100.0,244.0,-0.9387003642851727,51.06035502805967
2020-06-04,59.0,52.5,9.5,29.6,1.0436103408176074,,,,,1.2742,7700.0,2700.0,244.0,-0.938743483166084,51.06033617665068
