Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,42.8,71.7,15.0,29.0,,,,,,0.8,257300.0,145600.0,462.0,-0.8563994978083447,51.291108941612904
2020-03-02,41.4,81.9,8.3,29.0,,,,,,0.6524,228200.0,122500.0,462.0,-0.8565975475595037,51.2910099674405
2020-03-03,40.4,77.7,9.5,29.4,,,,,,0.5238,181900.0,93000.0,462.0,-0.856349912382733,51.29088827179325
2020-03-04,39.3,93.0,6.1,29.5,,,,,,0.4905,167900.0,83200.0,462.0,-0.8563238905945343,51.29103214941882
2020-03-05,41.4,95.1,10.8,29.1,,,,,,0.1952,205000.0,98400.0,462.0,-0.8563797095206941,51.290902401614424
2020-03-06,38.8,82.6,4.8,29.4,,,,,,0.7714,235300.0,102700.0,462.0,-0.8562687698502452,51.291124603106134
2020-03-07,44.5,87.0,11.3,29.7,,,,,,0.6,225100.0,125100.0,462.0,-0.8561075990531269,51.29104713830478
2020-03-08,48.4,82.5,17.1,29.5,,,,,,0.5619,246600.0,150100.0,462.0,-0.8562528121124968,51.29102907336218
2020-03-09,45.1,82.5,12.3,29.6,,,,,,0.5905,217000.0,126300.0,462.0,-0.8563038637140225,51.29097545890518
2020-03-10,53.8,91.0,15.5,29.5,,,,,,0.8714,187900.0,98500.0,462.0,-0.856365467420977,51.29087912733978
2020-03-11,50.6,85.5,13.1,29.6,,,,,,,175700.0,88600.0,462.0,-0.8562812237983305,51.29099226768886
2020-03-12,44.4,69.3,17.0,29.6,1.0000000148529775,,,,,0.9824,184200.0,96700.0,462.0,-0.8563256104309687,51.2908827593907
2020-03-13,45.8,54.8,11.0,29.8,89.75485978917374,,,,,0.9273,195200.0,104200.0,462.0,-0.8563537975507503,51.291054994006366
2020-03-14,47.9,86.3,10.0,29.7,1.0000000297059557,,,,,0.8773,192200.0,125800.0,462.0,-0.8562453394765669,51.29091671876169
2020-03-15,47.8,86.4,13.0,29.6,26.231162329019266,,,,,0.2826,201000.0,141400.0,462.0,-0.856419580851613,51.291182784588
2020-03-16,42.5,79.0,5.0,29.9,14.140479262562842,,,,,1.2087,159400.0,112700.0,462.0,-0.8563102699804999,51.291107138280495
2020-03-17,47.2,84.8,11.0,30.1,1.0000000594119127,,,,,0.9,109500.0,77300.0,462.0,-0.8562352486828521,51.29108068197171
2020-03-18,51.9,85.3,11.4,30.0,6.7321235246621525,,,,,0.5522,87000.0,62100.0,462.0,-0.8563288479221629,51.29104724422774
2020-03-19,44.9,96.6,7.3,30.1,1.000000074264892,,,,,0.2818,80900.0,58500.0,462.0,-0.8562906716773382,51.29118863759053
2020-03-20,44.5,71.8,12.3,30.1,4.068555342783906,,,,,1.0955,64200.0,46900.0,462.0,-0.856422764697994,51.29121939764363
2020-03-21,43.3,66.5,14.6,30.1,3.2417207079012598,,,,,1.2652,51500.0,37000.0,462.0,-0.856429140410858,51.29093447486363
2020-03-22,43.4,66.2,12.2,30.1,2.741727544268664,,,,,1.1,36400.0,23600.0,462.0,-0.8563805437360313,51.29094909066664
2020-03-23,41.6,60.3,7.9,30.1,3.5780253695496547,,,,,1.4542,28000.0,17600.0,462.0,-0.8564851751420507,51.29099616896556
2020-03-24,44.0,59.8,6.6,30.1,3.8669387949958622,,,,,1.5667,22600.0,14200.0,462.0,-0.8563704735215953,51.291066551673964
2020-03-25,41.5,59.5,4.5,30.0,3.9351564552452656,,,,,1.6913,14800.0,8900.0,462.0,-0.8562349433279688,51.29094814128188
2020-03-26,40.6,61.1,7.1,30.0,3.485632316617452,,,,,1.575,14600.0,8600.0,462.0,-0.85644906690976,51.290902945418104
2020-03-27,44.3,62.5,8.7,30.0,4.160501534136445,,,,,1.45,13100.0,7800.0,462.0,-0.8561744183095225,51.29088819735497
2020-03-28,44.5,66.8,13.5,30.1,3.0837014873156536,,,,,1.0542,11400.0,7000.0,462.0,-0.8561034284540789,51.29112823859822
2020-03-29,40.7,56.4,15.7,30.4,4.518978498775233,,,,,0.9958,10000.0,5800.0,462.0,-0.856378649855922,51.29098235829179
2020-03-30,41.3,72.8,8.4,30.3,4.662258757197748,,,,,0.6625,5700.0,2900.0,462.0,-0.8563344259012342,51.29094411070208
2020-03-31,42.0,70.8,9.0,30.2,2.8893013070494122,,,,,1.1667,5500.0,2700.0,462.0,-0.8562803687601458,51.29084818140164
2020-04-01,38.2,71.8,3.8,30.0,1.82523812852808,,,,,0.9458,4400.0,2200.0,462.0,-0.8563432941205654,51.29102360105338
2020-04-02,47.4,69.6,7.9,29.8,4.251196935245467,,,,,1.028,4700.0,2300.0,462.0,-0.8563635913348769,51.29109857865482
2020-04-03,47.2,71.1,5.6,29.8,5.463037294355458,,,,,1.484,5400.0,2600.0,462.0,-0.8561967790934092,51.29091001068742
2020-04-04,46.6,71.8,6.4,29.9,9.391176184301194,,,,,1.932,5500.0,2700.0,462.0,-0.8562526633224204,51.29106196871547
2020-04-05,53.2,59.2,9.2,29.7,1.0000008763264279,,,,,2.116,5300.0,2500.0,462.0,-0.8562679691355957,51.29110160623617
2020-04-06,54.7,67.9,8.8,29.8,47.41310454058522,,,,,1.5923,3300.0,1900.0,462.0,-0.8561536466636416,51.290945726636174
2020-04-07,50.0,69.2,3.6,30.1,51.4552202128104,,,,,1.8038,4200.0,2500.0,462.0,-0.8562235901502065,51.29089236301556
2020-04-08,56.0,68.5,3.5,30.0,38.07183442655993,,,,,1.6423,4300.0,2200.0,462.0,-0.8564454580216513,51.29121793174113
2020-04-09,57.3,66.7,5.1,30.0,67.3104369110813,,,,,1.9577,4500.0,2800.0,462.0,-0.8563180551290219,51.29103206267739
2020-04-10,58.3,63.2,6.2,30.0,84.47301433012812,,,,,2.1192,3600.0,1800.0,462.0,-0.8563210503886999,51.29101665805489
2020-04-11,60.2,61.9,4.1,29.9,322.1367032087511,,,,,1.8577,3700.0,2500.0,462.0,-0.8562776934621807,51.29121559975874
2020-04-12,59.0,59.9,4.8,29.7,8.16485370720752,,,,,1.8115,3300.0,1700.0,462.0,-0.8561959377680127,51.291112143133
2020-04-13,48.3,61.8,14.8,30.0,5.740912150738963,,,,,1.6654,3000.0,1800.0,462.0,-0.8563147729750646,51.290903345036476
2020-04-14,42.9,63.8,5.4,30.1,7.999374663342823,,,,,2.2654,1900.0,1000.0,462.0,-0.8564167636352401,51.29114036215655
2020-04-15,47.3,64.4,5.7,30.0,2.550522769660878,,,,,2.2077,2700.0,1300.0,462.0,-0.856440117758952,51.290945874732245
2020-04-16,51.1,68.4,4.3,29.8,3.626821374552837,,,,,1.5115,2800.0,1600.0,462.0,-0.8564348652539545,51.29113115066284
2020-04-17,50.0,80.9,10.8,29.8,2.7592340025768385,,,,,0.6692,3100.0,1700.0,462.0,-0.8562740307053672,51.29107967578752
2020-04-18,47.8,87.8,5.8,29.8,1.143317094770846,,,,,1.0038,3200.0,1900.0,462.0,-0.8563671573276924,51.29113403145519
2020-04-19,50.5,69.5,7.6,29.9,1.7801938885223212,,,,,2.2038,2300.0,1100.0,462.0,-0.8562444809618053,51.291096932852405
2020-04-20,52.5,57.7,13.5,29.8,1.870931997953164,,,,,2.1071,3100.0,1900.0,462.0,-0.8562313442735282,51.29137329018916
2020-04-21,55.1,53.0,12.2,29.8,3.0122913530667037,,,,,2.1536,3300.0,2300.0,462.0,-0.8561712465374053,51.29102351059209
2020-04-22,55.1,58.2,8.4,29.9,2.9945452705446955,,,,,2.1964,3900.0,2200.0,462.0,-0.8564399231298419,51.2911088475309
2020-04-23,57.6,58.7,5.1,29.9,3.3015871901350518,,,,,2.2536,2900.0,1800.0,462.0,-0.8561516421718117,51.29092865533021
