Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,45.5,68.1,10.8,29.2,,,,,,0.8,257300.0,145600.0,2228.0,-0.9989178462585877,50.86002333262744
2020-03-02,43.6,66.6,8.9,29.3,,,,,,0.6524,228200.0,122500.0,2228.0,-0.9988580119449627,50.85993527209006
2020-03-03,43.9,70.7,5.9,29.6,,,,,,0.5238,181900.0,93000.0,2228.0,-0.9989301817534983,50.86010890897065
2020-03-04,43.1,91.5,4.4,29.6,,,,,,0.4905,167900.0,83200.0,2228.0,-0.9988045465050717,50.86011900352719
2020-03-05,43.4,87.4,13.4,29.3,,,,,,0.1952,205000.0,98400.0,2228.0,-0.9989689322201577,50.86004862622333
2020-03-06,43.4,70.3,3.3,29.7,,,,,,0.7714,235300.0,102700.0,2228.0,-0.9989578732107769,50.85991050830671
2020-03-07,49.3,84.0,10.7,30.0,,,,,,0.6,225100.0,125100.0,2228.0,-0.9986333880567559,50.8599520486498
2020-03-08,48.9,77.3,11.1,29.7,,,,,,0.5619,246600.0,150100.0,2228.0,-0.9987952379319477,50.86001046192624
2020-03-09,48.2,75.8,12.6,29.9,,,,,,0.5905,217000.0,126300.0,2228.0,-0.9988523237737579,50.86003938158744
2020-03-10,55.1,88.8,13.2,29.7,,,,,,0.8714,187900.0,98500.0,2228.0,-0.99867131277397,50.86007929762496
2020-03-11,52.6,80.1,13.5,29.8,97.35565294718029,,,,,,175700.0,88600.0,2228.0,-0.9986675913532841,50.86002312256654
2020-03-12,46.3,62.0,14.2,29.9,72.00389104569676,,,,,0.9824,184200.0,96700.0,2228.0,-0.9986598109971111,50.8601155979186
2020-03-13,48.4,66.3,8.2,30.1,1.000000074264892,,,,,0.9273,195200.0,104200.0,2228.0,-0.9987586938524189,50.86004348431252
2020-03-14,51.1,81.6,9.4,29.9,13.6155817934849,,,,,0.8773,192200.0,125800.0,2228.0,-0.9988742577856338,50.85981643888571
2020-03-15,49.4,83.2,11.2,29.7,18.520640372379813,,,,,0.2826,201000.0,141400.0,2228.0,-0.9987147878842197,50.85985882128978
2020-03-16,47.5,65.7,4.4,30.2,4.80259659669716,,,,,1.2087,159400.0,112700.0,2228.0,-0.9987683898329879,50.86008061130094
2020-03-17,51.0,79.4,11.5,30.3,5.776770216878308,,,,,0.9,109500.0,77300.0,2228.0,-0.998870516096067,50.86006349301415
2020-03-18,52.8,83.8,10.9,30.2,5.501085710873727,,,,,0.5522,87000.0,62100.0,2228.0,-0.9986321569009605,50.86004378976266
2020-03-19,47.4,91.2,6.4,30.2,2.150708628686927,,,,,0.2818,80900.0,58500.0,2228.0,-0.9986252245874216,50.85995266120517
2020-03-20,47.2,60.2,12.8,30.3,4.138409748553683,,,,,1.0955,64200.0,46900.0,2228.0,-0.9987665166879509,50.86005551515953
2020-03-21,49.1,52.2,11.8,30.2,4.215498031289115,,,,,1.2652,51500.0,37000.0,2228.0,-0.998840998360429,50.859894674830734
2020-03-22,48.7,52.4,9.6,30.2,1.920723955263696,,,,,1.1,36400.0,23600.0,2228.0,-0.9988223693511609,50.86001369097963
2020-03-23,47.3,50.6,7.5,30.2,2.202265356865716,,,,,1.4542,28000.0,17600.0,2228.0,-0.9987313363227995,50.85997040781987
2020-03-24,50.5,54.2,6.0,30.2,2.4256481994825423,,,,,1.5667,22600.0,14200.0,2228.0,-0.9989747860577884,50.85998075911285
2020-03-25,51.2,51.9,4.4,30.2,2.338418170399912,,,,,1.6913,14800.0,8900.0,2228.0,-0.9987960349991903,50.8600543268331
2020-03-26,51.1,45.8,7.8,30.1,2.0158762143697904,,,,,1.575,14600.0,8600.0,2228.0,-0.9988482189659731,50.86004263590391
2020-03-27,51.0,52.6,11.4,30.1,2.7179461019165823,,,,,1.45,13100.0,7800.0,2228.0,-0.998851432358828,50.86021774511227
2020-03-28,50.4,56.0,18.5,30.3,1.397980419393819,,,,,1.0542,11400.0,7000.0,2228.0,-0.9988311153624041,50.86005477461169
2020-03-29,46.3,45.0,22.4,30.6,3.221047061857636,,,,,0.9958,10000.0,5800.0,2228.0,-0.9988551062657556,50.85989937239288
2020-03-30,45.8,62.8,13.0,30.5,3.605933102471528,,,,,0.6625,5700.0,2900.0,2228.0,-0.9987914490613681,50.8600786195611
