Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,43.9,70.1,12.2,29.0,,,,,,0.8,257300.0,145600.0,277.0,-0.3422635481507265,51.02387360433187
2020-03-02,42.1,81.7,8.2,29.0,,,,,,0.6524,228200.0,122500.0,277.0,-0.3424481174068861,51.023537765392824
2020-03-03,41.1,76.8,8.0,29.4,,,,,,0.5238,181900.0,93000.0,277.0,-0.3425516910937311,51.023645423882655
2020-03-04,40.2,93.5,5.5,29.5,,,,,,0.4905,167900.0,83200.0,277.0,-0.3425193930998299,51.02378389161745
2020-03-05,42.5,97.0,12.6,29.1,,,,,,0.1952,205000.0,98400.0,277.0,-0.3426281846688939,51.02371703995924
2020-03-06,41.2,78.4,7.2,29.4,,,,,,0.7714,235300.0,102700.0,277.0,-0.34248301241989865,51.02389180842567
2020-03-07,43.6,89.0,8.0,29.8,,,,,,0.6,225100.0,125100.0,277.0,-0.34240857448549894,51.0237701275529
2020-03-08,48.7,82.1,14.1,29.5,,,,,,0.5619,246600.0,150100.0,277.0,-0.3424037382956506,51.02361774541428
2020-03-09,45.4,82.0,11.8,29.6,1.0000000297059557,,,,,0.5905,217000.0,126300.0,277.0,-0.34222509715888916,51.02372021475705
2020-03-10,53.1,96.9,14.4,29.5,1.0000000297059557,,,,,0.8714,187900.0,98500.0,277.0,-0.3424051742025071,51.02365779733296
2020-03-11,51.9,88.9,13.3,29.6,38.854795946182215,,,,,,175700.0,88600.0,277.0,-0.3424424351151816,51.023828839650854
2020-03-12,45.2,68.1,15.5,29.6,1.000000044558934,,,,,0.9824,184200.0,96700.0,277.0,-0.3422849905517453,51.02367334736902
2020-03-13,46.5,69.8,11.1,29.8,22.02476711158678,,,,,0.9273,195200.0,104200.0,277.0,-0.3423169287047805,51.02375872442174
2020-03-14,48.2,88.4,8.9,29.7,7.3376604595309125,,,,,0.8773,192200.0,125800.0,277.0,-0.34236493241803406,51.023722550108964
2020-03-15,48.8,86.7,11.9,29.6,5.094374118739051,,,,,0.2826,201000.0,141400.0,277.0,-0.3425012751387163,51.023829271499864
2020-03-16,45.3,76.6,5.2,29.9,7.751627879239341,,,,,1.2087,159400.0,112700.0,277.0,-0.34266658133644884,51.02377037823865
2020-03-17,47.1,85.8,8.5,30.1,2.6737576987747653,,,,,0.9,109500.0,77300.0,277.0,-0.34237629218023063,51.02372090133914
2020-03-18,50.9,89.5,9.6,30.1,1.0000001633827769,,,,,0.5522,87000.0,62100.0,277.0,-0.3424653503404851,51.023749425305375
2020-03-19,46.3,97.0,8.6,30.1,3.143664875912183,,,,,0.2818,80900.0,58500.0,277.0,-0.34236217488816967,51.02378050490386
2020-03-20,45.0,75.0,16.3,30.1,3.4168990977427067,,,,,1.0955,64200.0,46900.0,277.0,-0.3423738327388255,51.02382582499321
2020-03-21,43.8,67.6,14.9,30.1,1.73078856699258,,,,,1.2652,51500.0,37000.0,277.0,-0.34245981080130994,51.02377034473231
2020-03-22,42.5,69.1,12.5,30.1,1.6930232699618126,,,,,1.1,36400.0,23600.0,277.0,-0.3423345049341248,51.02357129745567
2020-03-23,41.6,58.9,7.4,30.1,2.864224315441245,,,,,1.4542,28000.0,17600.0,277.0,-0.34245759296834966,51.02356634868013
2020-03-24,44.0,57.3,5.9,30.1,3.2755611195630854,,,,,1.5667,22600.0,14200.0,277.0,-0.3425049752483249,51.02387773165654
2020-03-25,42.0,60.4,5.4,30.0,5.613910210623468,,,,,1.6913,14800.0,8900.0,277.0,-0.3426060983651227,51.02364310486063
2020-03-26,42.0,62.5,9.5,30.0,2.5081339648542156,,,,,1.575,14600.0,8600.0,277.0,-0.3424369097166285,51.0238386630641
2020-03-27,45.0,62.9,10.9,30.0,3.2421993538010936,,,,,1.45,13100.0,7800.0,277.0,-0.3422977722746742,51.0237457769608
2020-03-28,44.9,65.8,16.1,30.1,3.0152545456331987,,,,,1.0542,11400.0,7000.0,277.0,-0.3423421654033833,51.02375321014435
2020-03-29,40.5,60.7,17.9,30.4,7.739440075207387,,,,,0.9958,10000.0,5800.0,277.0,-0.342370672806241,51.0237531739633
2020-03-30,41.5,72.3,9.2,30.3,8.27149449426504,,,,,0.6625,5700.0,2900.0,277.0,-0.34236966647082684,51.02363486595784
2020-03-31,42.3,69.9,10.5,30.2,5.958931209880728,,,,,1.1667,5500.0,2700.0,277.0,-0.3426209407677267,51.02364601579439
2020-04-01,41.0,67.6,4.7,30.0,11.314156043683035,,,,,0.9458,4400.0,2200.0,277.0,-0.34249073869545454,51.0237417487319
2020-04-02,47.7,69.1,7.3,29.8,26.850492955932197,,,,,1.028,4700.0,2300.0,277.0,-0.3423905897449091,51.02387793646306
2020-04-03,48.4,70.8,4.8,29.8,12.171530176964335,,,,,1.484,5400.0,2600.0,277.0,-0.34241978448482213,51.02371207233875
2020-04-04,49.4,69.5,6.1,29.9,36.72606560560725,,,,,1.932,5500.0,2700.0,277.0,-0.34248586680691356,51.02361549581247
2020-04-05,56.9,52.0,8.8,29.7,70.02602799889655,,,,,2.116,5300.0,2500.0,277.0,-0.3426220852686832,51.02359883046224
2020-04-06,56.2,65.2,6.9,29.8,120.69246590135323,,,,,1.5923,3300.0,1900.0,277.0,-0.34232836733548805,51.02380888386072
2020-04-07,52.1,65.8,3.8,30.1,218.1776690854237,,,,,1.8038,4200.0,2500.0,277.0,-0.34244347952741466,51.023850665053324
2020-04-08,59.7,64.8,4.6,30.0,413.1256317711454,,,,,1.6423,4300.0,2200.0,277.0,-0.34232797042266744,51.02365910092578
2020-04-09,58.7,67.8,7.3,30.0,0.0007489970104889999,,,,,1.9577,4500.0,2800.0,277.0,-0.342470275718281,51.023806509943945
2020-04-10,58.6,63.4,7.4,30.0,2.877888438936253,,,,,2.1192,3600.0,1800.0,277.0,-0.34241623660123155,51.023571343161656
2020-04-11,60.3,58.9,4.5,30.0,4.7555171447196205,,,,,1.8577,3700.0,2500.0,277.0,-0.34238416094823865,51.02366339439722
2020-04-12,60.1,58.3,4.4,29.7,1.9614050512563463,,,,,1.8115,3300.0,1700.0,277.0,-0.3424500175776218,51.02374921524153
2020-04-13,47.6,62.5,18.5,30.0,5.999089833832987,,,,,1.6654,3000.0,1800.0,277.0,-0.342278959414647,51.023906190384636
2020-04-14,44.6,59.9,7.4,30.1,5.035124120067826,,,,,2.2654,1900.0,1000.0,277.0,-0.3422716190835783,51.023560586634815
