Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,39.5,70.7,21.1,28.2,,,,,,0.8,257300.0,145600.0,1061.0,-1.7336301790653204,53.660439824717855
2020-03-02,36.6,83.7,11.3,28.4,,,,,,0.6524,228200.0,122500.0,1061.0,-1.7335026735268328,53.660541857225404
2020-03-03,37.5,90.0,12.6,28.7,,,,,,0.5238,181900.0,93000.0,1061.0,-1.7337800185774133,53.66023668158903
2020-03-04,38.7,82.3,4.9,29.0,,,,,,0.4905,167900.0,83200.0,1061.0,-1.7337157882073262,53.6602950791108
2020-03-05,36.6,85.0,5.9,28.8,,,,,,0.1952,205000.0,98400.0,1061.0,-1.7337530448851735,53.66044483373882
2020-03-06,36.9,77.6,6.3,28.9,,,,,,0.7714,235300.0,102700.0,1061.0,-1.733565644596879,53.660235294054665
2020-03-07,45.1,82.7,15.2,29.0,,,,,,0.6,225100.0,125100.0,1061.0,-1.7338593489355418,53.660481010590274
2020-03-08,44.8,82.7,17.5,28.8,,,,,,0.5619,246600.0,150100.0,1061.0,-1.733649448029717,53.66051461503336
2020-03-09,42.4,88.0,15.3,28.9,145.5334772368854,,,,,0.5905,217000.0,126300.0,1061.0,-1.7336352952831255,53.66042321506087
2020-03-10,48.7,88.2,23.7,28.7,60.169907429720105,,,,,0.8714,187900.0,98500.0,1061.0,-1.7336823472576055,53.660279970199745
2020-03-11,44.5,82.0,16.3,28.8,1.000000044558934,,,,,,175700.0,88600.0,1061.0,-1.733630206313185,53.66036960452949
2020-03-12,40.0,75.5,25.0,28.8,1.000000044558934,,,,,0.9824,184200.0,96700.0,1061.0,-1.7336075240057744,53.66041257893181
2020-03-13,41.0,83.3,12.2,29.2,1.000000044558934,,,,,0.9273,195200.0,104200.0,1061.0,-1.733682434319754,53.66040140663565
2020-03-14,43.6,88.9,11.9,29.1,10.506490332632087,,,,,0.8773,192200.0,125800.0,1061.0,-1.7335682990834722,53.6604390602308
2020-03-15,45.0,82.8,17.7,28.9,10.553539315011818,,,,,0.2826,201000.0,141400.0,1061.0,-1.7335939855603415,53.66046584697421
2020-03-16,43.7,74.9,12.3,29.3,1.0000000891178715,,,,,1.2087,159400.0,112700.0,1061.0,-1.7335900044619497,53.66025397205287
2020-03-17,49.5,82.7,16.9,29.4,9.368787840342724,,,,,0.9,109500.0,77300.0,1061.0,-1.7336818822823097,53.660327953851336
2020-03-18,43.6,84.4,13.6,29.4,3.4141610586202162,,,,,0.5522,87000.0,62100.0,1061.0,-1.7335400226189226,53.66046937529009
2020-03-19,40.9,73.1,4.3,29.6,4.278546432780078,,,,,0.2818,80900.0,58500.0,1061.0,-1.7335876566395705,53.66027104804473
2020-03-20,39.3,80.0,10.7,29.7,2.9335195000097394,,,,,1.0955,64200.0,46900.0,1061.0,-1.7335867613774492,53.66039963465053
2020-03-21,38.7,77.5,13.0,29.7,2.6204441399024665,,,,,1.2652,51500.0,37000.0,1061.0,-1.7336960202558511,53.660257167410265
2020-03-22,39.7,73.0,9.9,29.6,2.8480619883619696,,,,,1.1,36400.0,23600.0,1061.0,-1.7336075752055768,53.660500954763236
2020-03-23,40.4,72.3,9.2,29.6,3.372649644803175,,,,,1.4542,28000.0,17600.0,1061.0,-1.7336374755143105,53.660339336272614
2020-03-24,51.2,67.2,10.0,29.4,4.307502610507268,,,,,1.5667,22600.0,14200.0,1061.0,-1.7338034035993684,53.66033972647636
2020-03-25,55.9,53.2,6.3,29.5,4.523351081965203,,,,,1.6913,14800.0,8900.0,1061.0,-1.733676031794702,53.66023275665311
2020-03-26,50.2,47.7,6.8,29.5,3.938928770544422,,,,,1.575,14600.0,8600.0,1061.0,-1.7337167774212567,53.66017075158227
2020-03-27,45.8,62.7,10.2,29.6,3.8633508382035666,,,,,1.45,13100.0,7800.0,1061.0,-1.7337505204646029,53.660368131395245
2020-03-28,44.3,71.1,17.1,29.8,6.094747599594412,,,,,1.0542,11400.0,7000.0,1061.0,-1.7337867410881778,53.66036501134199
2020-03-29,38.6,66.9,16.1,30.1,8.113859875973885,,,,,0.9958,10000.0,5800.0,1061.0,-1.7337307375909783,53.66017293356307
2020-03-30,44.3,69.1,14.9,29.9,9.050591694827682,,,,,0.6625,5700.0,2900.0,1061.0,-1.7338058339245603,53.66032904288503
2020-03-31,42.6,79.3,5.8,29.8,14.091594367793515,,,,,1.1667,5500.0,2700.0,1061.0,-1.73372874911032,53.660524950198656
2020-04-01,44.4,66.3,13.0,29.4,17.4549796990398,,,,,0.9458,4400.0,2200.0,1061.0,-1.733697740453016,53.66036894625869
2020-04-02,47.6,75.7,25.4,29.1,21.212855608558527,,,,,1.028,4700.0,2300.0,1061.0,-1.73380269579488,53.66028126311208
2020-04-03,43.9,72.2,13.8,29.2,22.659495777658872,,,,,1.484,5400.0,2600.0,1061.0,-1.7334726837118788,53.6603672339212
2020-04-04,48.6,68.5,10.8,29.3,31.016479143219556,,,,,1.932,5500.0,2700.0,1061.0,-1.7336457658974889,53.66039212070738
2020-04-05,55.7,53.9,14.1,29.1,111.66545546169426,,,,,2.116,5300.0,2500.0,1061.0,-1.733786106314196,53.660451298646386
2020-04-06,53.0,58.9,16.8,29.2,179.60307377608342,,,,,1.5923,3300.0,1900.0,1061.0,-1.7335405794655958,53.660476625403035
2020-04-07,54.1,50.6,8.9,29.6,239.4950749137249,,,,,1.8038,4200.0,2500.0,1061.0,-1.7334263086962607,53.660155071737194
2020-04-08,59.3,51.9,7.1,29.5,300.17069177205565,,,,,1.6423,4300.0,2200.0,1061.0,-1.7336301168388826,53.6605262954988
2020-04-09,45.2,52.6,9.4,29.1,3.6157324735719816,,,,,1.9577,4500.0,2800.0,1061.0,-1.733723097479917,53.66033699214887
2020-04-10,43.3,65.9,6.6,29.3,2.8196437942850405,,,,,2.1192,3600.0,1800.0,1061.0,-1.7336626557876402,53.66024914176908
2020-04-11,47.3,68.0,12.5,29.1,1.4994863638716387,,,,,1.8577,3700.0,2500.0,1061.0,-1.7337183081162193,53.660237399705906
2020-04-12,42.4,47.4,8.6,29.6,2.6909431162312893,,,,,1.8115,3300.0,1700.0,1061.0,-1.7336786056446667,53.66026539188119
2020-04-13,50.3,86.2,11.8,29.2,4.141207808910743,,,,,1.6654,3000.0,1800.0,1061.0,-1.733610171322348,53.66060481287389
2020-04-14,45.2,55.5,6.1,29.6,3.64454173901035,,,,,2.2654,1900.0,1000.0,1061.0,-1.733849509008645,53.66025259816089
2020-04-15,55.2,49.8,11.3,29.4,2.6358799410450864,,,,,2.2077,2700.0,1300.0,1061.0,-1.7337605462956007,53.66049758860537
2020-04-16,48.3,50.8,5.2,29.7,1.8105074715035387,,,,,1.5115,2800.0,1600.0,1061.0,-1.7336649920692502,53.66029479697994
2020-04-17,55.5,66.6,9.6,29.4,3.0822148668979703,,,,,0.6692,3100.0,1700.0,1061.0,-1.7336474478656252,53.66044448763778
2020-04-18,49.5,72.0,9.9,29.3,3.7879309455380623,,,,,1.0038,3200.0,1900.0,1061.0,-1.7337319069841437,53.66025052986624
2020-04-19,53.9,43.9,5.0,29.4,1.170483593918277,,,,,2.2038,2300.0,1100.0,1061.0,-1.7335509226208499,53.66039539663468
2020-04-20,49.6,69.5,9.2,29.4,1.5709559648832692,,,,,2.1071,3100.0,1900.0,1061.0,-1.7336450440102207,53.660373713414124
2020-04-21,54.6,53.2,18.2,29.5,1.8591971442300939,,,,,2.1536,3300.0,2300.0,1061.0,-1.733788239722278,53.6603794205987
2020-04-22,56.3,60.5,14.3,29.5,1.7044593055143529,,,,,2.1964,3900.0,2200.0,1061.0,-1.7337223051433615,53.66031379168484
2020-04-23,56.1,32.1,6.7,29.6,1.9143920260287681,,,,,2.2536,2900.0,1800.0,1061.0,-1.7337841142879742,53.66033244377651
2020-04-24,50.9,67.8,8.8,29.7,1.2670704940798057,,,,,2.2107,4500.0,2800.0,1061.0,-1.7336118443267077,53.66044637094077
2020-04-25,48.4,62.2,8.3,29.7,0.8742774831796235,,,,,2.2536,3500.0,2300.0,1061.0,-1.733659136905245,53.66029107418232
2020-04-26,49.3,57.1,4.5,29.5,1.4126814632023426,,,,,2.2929,3900.0,2400.0,1061.0,-1.7336597520028527,53.6604526308567
2020-04-27,47.7,70.9,7.0,29.1,1.0367327114602924,,,,,1.2964,3300.0,2100.0,1061.0,-1.7336994711637095,53.66049072680935
2020-04-28,45.5,75.7,9.5,29.0,1.4498021064669189,,,,,0.3464,4300.0,2800.0,1061.0,-1.7337517901269541,53.66040632780456
2020-05-01,45.8,87.0,7.8,28.6,1.0772324394026196,,,,,1.5964,4900.0,2600.0,1061.0,-1.7336733092693937,53.66037418539251
2020-05-02,45.6,69.2,11.7,29.4,0.9759755881542992,,,,,2.1143,3800.0,1900.0,1061.0,-1.7335918892613467,53.66016690789172
2020-05-03,44.0,84.0,13.1,29.1,0.9395623105346004,,,,,1.1393,4700.0,1800.0,1061.0,-1.7336738733489907,53.66036089564907
2020-05-04,43.3,77.2,24.3,28.7,1.2347404986495116,,,,,2.2179,2700.0,900.0,1061.0,-1.7337447323538058,53.66041771805109
2020-05-05,47.9,66.5,12.6,29.5,0.9745804320008368,,,,,2.4464,3100.0,1800.0,1061.0,-1.7338250666036072,53.66042212677304
2020-05-06,52.1,53.4,6.6,29.6,0.9894942873801378,,,,,2.5786,4400.0,1900.0,1061.0,-1.733546023946204,53.660434494151254
2020-05-07,65.3,40.2,7.6,29.4,1.1304298519267988,,,,,2.4759,4500.0,2100.0,1061.0,-1.7337624144838153,53.66045168090971
2020-05-08,43.8,96.7,11.7,28.8,0.9933600527221852,,,,,2.3207,4600.0,1600.0,1061.0,-1.7336396526279665,53.66018650001111
2020-05-09,55.4,67.8,11.7,28.6,1.085922313243269,,,,,2.4241,3700.0,1500.0,1061.0,-1.7336764762384376,53.66056761367869
2020-05-10,54.1,71.1,13.4,28.6,1.0019875773173088,,,,,1.3033,3900.0,1400.0,1061.0,-1.7335680525641286,53.660443656730095
2020-05-11,51.5,72.7,10.1,29.0,1.1121670191936024,,,,,1.7483,3500.0,1300.0,1061.0,-1.7336844656459194,53.66041603672032
2020-05-12,47.1,64.8,10.1,29.4,0.9919595879139728,,,,,2.1033,3300.0,1300.0,1061.0,-1.7337593691943476,53.66041676524671
2020-05-13,43.8,57.8,11.5,29.4,0.9947934262210492,,,,,2.0828,4400.0,1900.0,1061.0,-1.733735723242585,53.66049007929973
2020-05-14,48.3,75.4,4.6,29.1,1.0699080599320931,,,,,2.58,4400.0,1700.0,1061.0,-1.7337962418322885,53.660454685469226
2020-05-15,47.7,87.3,6.1,28.8,1.053587355529645,,,,,2.32,5100.0,1800.0,1061.0,-1.7334188410080051,53.66059868209572
2020-05-16,53.2,74.0,7.3,28.7,0.9261780701681877,,,,,1.89,3300.0,900.0,1061.0,-1.7336579062212325,53.66033976377046
2020-05-17,49.2,81.1,6.7,29.0,0.9991709511030248,,,,,2.3967,4300.0,1500.0,1061.0,-1.7335504813161393,53.66042272958619
2020-05-18,53.7,59.9,11.6,29.1,1.1234112474025242,,,,,2.8833,4500.0,1200.0,1061.0,-1.7337713062918436,53.660506746930466
2020-05-19,58.3,81.2,20.8,29.4,1.0166430619376619,,,,,3.0467,3400.0,1300.0,1061.0,-1.7336254510913214,53.66028071726897
2020-05-20,69.9,56.5,7.9,29.4,1.0685450482826502,,,,,2.9533,6800.0,2400.0,1061.0,-1.7337132987178767,53.66069060786093
2020-05-21,50.6,92.0,9.6,28.4,1.0862530268640578,,,,,2.7933,4400.0,1700.0,1061.0,-1.7336677511983547,53.66033559870421
2020-05-22,60.5,48.1,24.1,29.0,1.0254336820305572,,,,,2.4067,5000.0,1400.0,1061.0,-1.733838335253169,53.660321755473205
2020-05-23,48.8,74.5,14.9,28.8,1.0095165808587927,,,,,2.2133,4500.0,1400.0,1061.0,-1.7334861892425486,53.660410535846424
2020-05-24,52.9,62.6,11.8,28.8,0.954347023403807,,,,,2.2067,5400.0,1500.0,1061.0,-1.7336589360768608,53.66039035808611
2020-05-25,50.6,76.0,15.6,29.1,1.0556221205804055,,,,,2.9367,4100.0,1200.0,1061.0,-1.733648432208776,53.66027727973043
2020-05-26,59.9,73.5,10.2,29.9,1.067101815586731,,,,,2.94,4000.0,1500.0,1061.0,-1.7335148221670915,53.66032235790718
2020-05-27,63.6,42.9,7.0,29.9,1.0617312221055135,,,,,2.5633,5100.0,1800.0,1061.0,-1.733486131825778,53.66028579899508
2020-05-28,58.5,69.9,4.7,29.5,1.0084408334104118,,,,,3.0867,5500.0,1800.0,1061.0,-1.7336576122631775,53.660316829928306
2020-05-29,62.4,67.9,4.0,29.6,0.9844793512134378,,,,,3.1467,6400.0,1900.0,1061.0,-1.7337690509344268,53.66047384123285
2020-05-30,61.5,55.3,10.5,29.6,0.9649897386296936,,,,,2.9267,5300.0,1700.0,1061.0,-1.7336447334303549,53.660333355844344
2020-05-31,56.8,76.4,8.2,29.4,1.008694477495024,,,,,2.9467,6300.0,1900.0,1061.0,-1.733504461914669,53.660467957521675
2020-06-01,61.6,63.0,8.0,29.3,1.018422927118511,,,,,2.9233,6000.0,1700.0,1061.0,-1.7336412227004059,53.66032521339816
2020-06-02,61.6,69.9,9.7,29.3,1.0003901625524252,,,,,2.7871,5400.0,1900.0,1061.0,-1.7337043243171757,53.66047323703235
2020-06-03,49.4,94.8,18.3,29.2,1.0602115277072124,,,,,0.7968,6800.0,2100.0,1061.0,-1.7336499738841675,53.660351217000375
2020-06-04,48.9,76.5,4.2,28.9,1.0533655095933394,,,,,1.2742,7700.0,2700.0,1061.0,-1.733561198053647,53.660378155290324
2020-06-05,48.1,73.9,15.3,28.6,0.9808774453608392,,,,,1.7517,10200.0,3200.0,1061.0,-1.733582136761309,53.660203877923706
2020-06-06,61.6,70.1,5.1,29.5,1.01087288433729,,,,,1.0531,8700.0,2500.0,1061.0,-1.7336258182939792,53.66041854218115
2020-06-07,61.7,71.1,8.9,29.4,1.06466185746778,,,,,1.7813,10700.0,3200.0,1061.0,-1.7337199747490428,53.66022312049662
2020-06-08,63.1,58.4,7.6,29.4,1.0554949255197703,,,,,1.6065,4800.0,1700.0,1061.0,-1.7336584999140765,53.66039517974618
2020-06-09,54.7,64.8,7.0,29.4,1.0631866767195102,,,,,2.3115,3300.0,1300.0,1061.0,-1.73368864835656,53.6602692240865
2020-06-10,52.4,88.9,5.8,29.2,1.2669480181269952,,,,,1.0238,4000.0,1400.0,1061.0,-1.733604022590416,53.66051633119926
2020-06-11,50.9,90.5,17.5,29.4,1.1689220116597014,,,,,1.1344,4100.0,1700.0,1061.0,-1.733596842327759,53.66039717670285
2020-06-12,53.8,99.3,14.1,29.1,1.1319717443568402,,,,,1.25,4700.0,1700.0,1061.0,-1.7337184586794625,53.66037473715811
2020-06-13,67.1,71.3,7.5,29.5,1.0943120999707656,,,,,2.2875,4100.0,1600.0,1061.0,-1.7336754907667,53.66037650516021
2020-06-14,56.5,74.1,13.8,29.4,1.0930377300705991,,,,,1.7438,5900.0,1900.0,1061.0,-1.7338231738232606,53.66028527823351
2020-06-15,62.3,54.6,6.6,29.4,1.205485364153322,,,,,2.0844,5000.0,1600.0,1061.0,-1.7336996787139625,53.660452265265505
2020-06-16,60.4,90.2,5.4,29.3,1.1185126239515868,,,,,2.0469,4500.0,1300.0,1061.0,-1.7336446033621056,53.66038151455756
2020-06-17,57.5,92.3,5.4,29.2,1.0722549510808863,,,,,1.7844,5600.0,1800.0,1061.0,-1.7334615150812294,53.660476023548334
2020-06-18,53.4,97.2,14.9,29.1,1.1101043339695085,,,,,0.7969,5800.0,2100.0,1061.0,-1.7336379649876563,53.660302871736604
2020-06-19,57.1,95.5,10.0,29.1,1.1363289581059035,,,,,1.3813,7000.0,2300.0,1061.0,-1.73378233792312,53.66047182751081
