Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,39.5,70.7,21.1,28.2,,,,,,0.8,257300.0,145600.0,1043.0,-1.4230864749098286,53.67485994464037
2020-03-02,36.6,83.7,11.3,28.4,,,,,,0.6524,228200.0,122500.0,1043.0,-1.4230793763395384,53.67478032241961
2020-03-03,37.5,90.0,12.6,28.7,,,,,,0.5238,181900.0,93000.0,1043.0,-1.4231674345278824,53.6749724522848
2020-03-04,38.7,82.3,4.9,29.0,,,,,,0.4905,167900.0,83200.0,1043.0,-1.422984569770606,53.674852259482215
2020-03-05,36.6,85.0,5.9,28.8,,,,,,0.1952,205000.0,98400.0,1043.0,-1.4231545461263069,53.67487246086603
2020-03-06,36.9,77.6,6.3,28.9,,,,,,0.7714,235300.0,102700.0,1043.0,-1.4231116154624173,53.674851403713525
2020-03-07,45.1,82.7,15.2,29.0,,,,,,0.6,225100.0,125100.0,1043.0,-1.4231419420417493,53.674908819786324
2020-03-08,44.8,82.7,17.5,28.8,,,,,,0.5619,246600.0,150100.0,1043.0,-1.4232162588988815,53.674856756170506
2020-03-09,42.4,88.0,15.3,28.9,,,,,,0.5905,217000.0,126300.0,1043.0,-1.4230137752367067,53.674909595138026
2020-03-10,48.7,88.2,23.7,28.7,,,,,,0.8714,187900.0,98500.0,1043.0,-1.4231281905995488,53.674931842616544
2020-03-11,44.5,82.0,16.3,28.8,232.25357391016456,,,,,,175700.0,88600.0,1043.0,-1.423189862897433,53.67490323801382
2020-03-12,40.0,75.5,25.0,28.8,1.000000074264892,,,,,0.9824,184200.0,96700.0,1043.0,-1.4231252858675854,53.6749244843543
2020-03-13,41.0,83.3,12.2,29.2,1.000000074264892,,,,,0.9273,195200.0,104200.0,1043.0,-1.4231654392343818,53.67479746736664
2020-03-14,43.6,88.9,11.9,29.1,1.000000074264892,,,,,0.8773,192200.0,125800.0,1043.0,-1.423219338943402,53.67488836091128
2020-03-15,45.0,82.8,17.7,28.9,1.000000074264892,,,,,0.2826,201000.0,141400.0,1043.0,-1.423233717135254,53.675023552002685
2020-03-16,43.7,74.9,12.3,29.3,1.000000074264892,,,,,1.2087,159400.0,112700.0,1043.0,-1.4230546255601628,53.67484320299267
2020-03-17,49.5,82.7,16.9,29.4,13.738053002462824,,,,,0.9,109500.0,77300.0,1043.0,-1.4230071765398287,53.67502452135621
2020-03-18,43.6,84.4,13.6,29.4,3.2505427254329784,,,,,0.5522,87000.0,62100.0,1043.0,-1.4230775971302911,53.674891121021794
2020-03-19,40.9,73.1,4.3,29.6,4.068555705364931,,,,,0.2818,80900.0,58500.0,1043.0,-1.423107621322562,53.67505115436669
2020-03-20,39.3,80.0,10.7,29.7,3.2417210449457587,,,,,1.0955,64200.0,46900.0,1043.0,-1.4231364356870575,53.67487825866012
2020-03-21,38.7,77.5,13.0,29.7,4.666795461181655,,,,,1.2652,51500.0,37000.0,1043.0,-1.4231918992707548,53.67473580142046
2020-03-22,39.7,73.0,9.9,29.6,4.470419777672151,,,,,1.1,36400.0,23600.0,1043.0,-1.42300741370932,53.67478020326896
