Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,43.9,70.1,12.2,29.0,,,,,,0.8,257300.0,145600.0,192.0,0.20124522561318203,50.953727025946826
2020-03-02,42.1,81.7,8.2,29.0,,,,,,0.6524,228200.0,122500.0,192.0,0.20105789806489288,50.95387252645942
2020-03-03,41.1,76.8,8.0,29.4,,,,,,0.5238,181900.0,93000.0,192.0,0.20107704522750783,50.95393759257123
2020-03-04,40.2,93.5,5.5,29.5,,,,,,0.4905,167900.0,83200.0,192.0,0.201319271712443,50.95393100558395
2020-03-05,42.5,97.0,12.6,29.1,,,,,,0.1952,205000.0,98400.0,192.0,0.20111729559997926,50.953762496248736
2020-03-06,41.2,78.4,7.2,29.4,,,,,,0.7714,235300.0,102700.0,192.0,0.20124108164826138,50.95380030106414
2020-03-07,43.6,89.0,8.0,29.8,,,,,,0.6,225100.0,125100.0,192.0,0.20096933653124113,50.95380364723644
2020-03-08,48.7,82.1,14.1,29.5,,,,,,0.5619,246600.0,150100.0,192.0,0.2010310712081026,50.95379055062539
2020-03-09,45.4,82.0,11.8,29.6,,,,,,0.5905,217000.0,126300.0,192.0,0.20109148182546216,50.9538958303591
2020-03-10,53.1,96.9,14.4,29.5,,,,,,0.8714,187900.0,98500.0,192.0,0.20111945118361962,50.95393386012494
2020-03-11,51.9,88.9,13.3,29.6,97.35565294718029,,,,,,175700.0,88600.0,192.0,0.2010374687186908,50.953713343949616
2020-03-12,45.2,68.1,15.5,29.6,45.37743125741979,,,,,0.9824,184200.0,96700.0,192.0,0.20101749701160435,50.953879607642975
2020-03-13,46.5,69.8,11.1,29.8,1.0000000594119127,,,,,0.9273,195200.0,104200.0,192.0,0.20117992410552002,50.95374153187497
2020-03-14,48.2,88.4,8.9,29.7,1.0000000594119127,,,,,0.8773,192200.0,125800.0,192.0,0.20120488624537936,50.953784174119434
2020-03-15,48.8,86.7,11.9,29.6,1.0000000594119127,,,,,0.2826,201000.0,141400.0,192.0,0.20125002714254112,50.95383057724628
2020-03-16,45.3,76.6,5.2,29.9,8.605192405800786,,,,,1.2087,159400.0,112700.0,192.0,0.20102648412368793,50.95368055614042
2020-03-17,47.1,85.8,8.5,30.1,9.188748133507248,,,,,0.9,109500.0,77300.0,192.0,0.20113599414976388,50.95383843812661
2020-03-18,50.9,89.5,9.6,30.1,1.0000001039708517,,,,,0.5522,87000.0,62100.0,192.0,0.2010961683119646,50.9538198764643
2020-03-19,46.3,97.0,8.6,30.1,6.523399933284416,,,,,0.2818,80900.0,58500.0,192.0,0.20088799767177698,50.95371869522367
2020-03-20,45.0,75.0,16.3,30.1,2.4265497233652584,,,,,1.0955,64200.0,46900.0,192.0,0.201125256871121,50.95387135298511
2020-03-21,43.8,67.6,14.9,30.1,2.161151864185226,,,,,1.2652,51500.0,37000.0,192.0,0.20115510577888027,50.95384316206181
2020-03-22,42.5,69.1,12.5,30.1,3.5780256352713637,,,,,1.1,36400.0,23600.0,192.0,0.20117071573527553,50.953779679510745
2020-03-23,41.6,58.9,7.4,30.1,3.0705671891681403,,,,,1.4542,28000.0,17600.0,192.0,0.20123703139489282,50.9537908652363
2020-03-24,44.0,57.3,5.9,30.1,3.2680757427793763,,,,,1.5667,22600.0,14200.0,192.0,0.20101225406159004,50.95376004826902
2020-03-25,42.0,60.4,5.4,30.0,3.416587287632486,,,,,1.6913,14800.0,8900.0,192.0,0.2010778634736015,50.95376514226172
2020-03-26,42.0,62.5,9.5,30.0,2.835130259661637,,,,,1.575,14600.0,8600.0,192.0,0.20122963574577385,50.95386143462912
2020-03-27,45.0,62.9,10.9,30.0,1.5046468252368441,,,,,1.45,13100.0,7800.0,192.0,0.20118950473590191,50.953952509295476
2020-03-28,44.9,65.8,16.1,30.1,2.123707677783956,,,,,1.0542,11400.0,7000.0,192.0,0.20126514320315214,50.95371138200191
2020-03-29,40.5,60.7,17.9,30.4,4.01834488897017,,,,,0.9958,10000.0,5800.0,192.0,0.2011718058154195,50.953765896383814
2020-03-30,41.5,72.3,9.2,30.3,7.6503390314573085,,,,,0.6625,5700.0,2900.0,192.0,0.20116500124811623,50.953897181312996
2020-03-31,42.3,69.9,10.5,30.2,4.676058656867211,,,,,1.1667,5500.0,2700.0,192.0,0.20120364315434155,50.953912171536345
2020-04-01,41.0,67.6,4.7,30.0,5.696173684482675,,,,,0.9458,4400.0,2200.0,192.0,0.2010688033872416,50.9537960921495
2020-04-02,47.7,69.1,7.3,29.8,4.896303085367197,,,,,1.028,4700.0,2300.0,192.0,0.20109340599732461,50.95389385411891
2020-04-03,48.4,70.8,4.8,29.8,8.389245801087585,,,,,1.484,5400.0,2600.0,192.0,0.20115763917727195,50.953823477781455
2020-04-04,49.4,69.5,6.1,29.9,11.98894051985696,,,,,1.932,5500.0,2700.0,192.0,0.20115448882727577,50.95371083485979
