Date,Temperature (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),R0orig,R0alp,R0dlt,R0omi,PCAresult,UV Total Index,Total_Arrival,National_Arrival,PopulationDensity,longitude,langitude
2020-03-01,41.4,70.9,10.7,28.8,,,,,,0.8,257300.0,145600.0,520.0,-2.269799861076809,52.37478052092334
2020-03-02,39.0,75.4,7.1,28.9,,,,,,0.6524,228200.0,122500.0,520.0,-2.2699172686945563,52.37487246699902
2020-03-03,40.8,75.3,8.2,29.2,,,,,,0.5238,181900.0,93000.0,520.0,-2.2699455348010913,52.374938398452166
2020-03-04,38.5,86.8,5.2,29.4,,,,,,0.4905,167900.0,83200.0,520.0,-2.2700288900605994,52.37474960537697
2020-03-05,39.1,87.9,9.3,29.1,,,,,,0.1952,205000.0,98400.0,520.0,-2.269948842028579,52.37488425687345
2020-03-06,39.1,74.2,3.3,29.3,,,,,,0.7714,235300.0,102700.0,520.0,-2.2698701589564516,52.37497973102203
2020-03-07,46.2,81.2,9.6,29.5,,,,,,0.6,225100.0,125100.0,520.0,-2.2698424175672978,52.37480934847053
2020-03-08,48.5,72.8,12.5,29.2,,,,,,0.5619,246600.0,150100.0,520.0,-2.2699983862090143,52.374930333388264
2020-03-09,44.5,80.6,10.6,29.4,145.5334772368854,,,,,0.5905,217000.0,126300.0,520.0,-2.2700117514596796,52.37488484502006
2020-03-10,53.4,84.0,11.4,29.2,60.169907429720105,,,,,0.8714,187900.0,98500.0,520.0,-2.2697420318923562,52.37504059983926
2020-03-11,48.9,77.4,11.2,29.3,29.391097407321723,,,,,,175700.0,88600.0,520.0,-2.2698183725618786,52.37479880128563
2020-03-12,42.6,66.1,13.3,29.4,1.0000000594119127,,,,,0.9824,184200.0,96700.0,520.0,-2.269819358074785,52.37491320383855
2020-03-13,43.3,80.6,8.5,29.6,1.0000000594119127,,,,,0.9273,195200.0,104200.0,520.0,-2.270051285356087,52.37502689069021
2020-03-14,46.6,89.1,10.1,29.5,1.0000000594119127,,,,,0.8773,192200.0,125800.0,520.0,-2.2700209718305437,52.37504864280013
2020-03-15,46.8,83.2,9.3,29.4,6.7321235246621525,,,,,0.2826,201000.0,141400.0,520.0,-2.269943688115244,52.37487894489606
2020-03-16,44.2,69.7,6.8,29.8,4.750904161108101,,,,,1.2087,159400.0,112700.0,520.0,-2.2697808543686646,52.37497231543888
2020-03-17,49.5,84.0,10.7,29.9,1.0000000891178715,,,,,0.9,109500.0,77300.0,520.0,-2.2698582876018882,52.374801283605485
2020-03-18,46.7,93.2,8.2,29.9,8.13274796329519,,,,,0.5522,87000.0,62100.0,520.0,-2.2699615862976033,52.374832502878135
2020-03-19,41.5,83.4,7.1,30.0,2.161151864185226,,,,,0.2818,80900.0,58500.0,520.0,-2.2699664578500895,52.37505423986164
2020-03-20,42.3,78.2,11.5,30.1,1.9915483992017933,,,,,1.0955,64200.0,46900.0,520.0,-2.2699512009759046,52.37496192237324
2020-03-21,41.9,63.9,12.7,30.0,3.329387955492277,,,,,1.2652,51500.0,37000.0,520.0,-2.2701712294876537,52.37495509080348
2020-03-22,41.1,68.3,8.7,30.0,2.3860462725699647,,,,,1.1,36400.0,23600.0,520.0,-2.269818717474152,52.37478246016116
2020-03-23,40.9,67.8,6.4,29.9,3.8368630399556345,,,,,1.4542,28000.0,17600.0,520.0,-2.2699006126056425,52.37475956014211
2020-03-24,45.5,71.7,7.6,29.9,4.318526783220759,,,,,1.5667,22600.0,14200.0,520.0,-2.269727104046668,52.37493778971316
2020-03-25,45.8,54.5,5.3,29.9,3.306955365238972,,,,,1.6913,14800.0,8900.0,520.0,-2.2699504852707606,52.374832255713834
2020-03-26,43.9,53.0,6.1,29.9,2.5081339648542156,,,,,1.575,14600.0,8600.0,520.0,-2.2699434244790546,52.374925580338015
2020-03-27,41.8,71.3,9.9,29.9,5.508251670825162,,,,,1.45,13100.0,7800.0,520.0,-2.2697785195662696,52.3746794273171
2020-03-28,42.2,73.2,14.2,30.1,3.9066172436677813,,,,,1.0542,11400.0,7000.0,520.0,-2.269734884819886,52.374735362719726
2020-03-29,39.7,60.4,15.9,30.4,6.3915527901801825,,,,,0.9958,10000.0,5800.0,520.0,-2.269871456190266,52.37519288648695
2020-03-30,40.9,74.2,9.6,30.2,8.350533336101508,,,,,0.6625,5700.0,2900.0,520.0,-2.269974298011856,52.37498085518372
2020-03-31,42.3,72.1,7.9,30.1,4.409265906080694,,,,,1.1667,5500.0,2700.0,520.0,-2.269959626528892,52.37481875485931
2020-04-01,42.7,69.6,7.6,29.9,7.514204657491894,,,,,0.9458,4400.0,2200.0,520.0,-2.2699213651332,52.37491982089387
2020-04-02,48.5,68.1,10.2,29.6,13.040353331505534,,,,,1.028,4700.0,2300.0,520.0,-2.2699905008007764,52.37503161881487
2020-04-03,47.3,62.7,6.1,29.7,26.47447326669916,,,,,1.484,5400.0,2600.0,520.0,-2.2698872616881953,52.374992566222545
2020-04-04,46.2,75.2,6.7,29.7,19.05933025921225,,,,,1.932,5500.0,2700.0,520.0,-2.2699919631948284,52.37500939047465
2020-04-05,54.0,56.8,12.8,29.5,42.10421927762197,,,,,2.116,5300.0,2500.0,520.0,-2.270085745472325,52.374943855145425
2020-04-06,54.1,63.0,9.0,29.6,108.67242251649229,,,,,1.5923,3300.0,1900.0,520.0,-2.2698492762673292,52.3747903228072
2020-04-07,50.1,62.1,4.4,30.0,134.55686414963785,,,,,1.8038,4200.0,2500.0,520.0,-2.2697944471757663,52.37489939501283
2020-04-08,57.7,57.1,2.2,29.9,260.26641062833437,,,,,1.6423,4300.0,2200.0,520.0,-2.2699303098714427,52.374925261275905
2020-04-09,57.3,66.4,6.8,29.9,8.746345634618287,,,,,1.9577,4500.0,2800.0,520.0,-2.2699803502988662,52.37483514259285
2020-04-10,57.5,67.8,6.0,29.9,3.8720365445917775,,,,,2.1192,3600.0,1800.0,520.0,-2.269864238153422,52.37500016622067
2020-04-11,60.9,59.8,5.0,29.8,5.880353875784802,,,,,1.8577,3700.0,2500.0,520.0,-2.2699172811418293,52.37481842008368
2020-04-12,57.3,70.9,6.0,29.6,1.6189618652223752,,,,,1.8115,3300.0,1700.0,520.0,-2.269773230351335,52.374861175851656
2020-04-13,44.5,62.6,13.9,30.0,4.512098963440751,,,,,1.6654,3000.0,1800.0,520.0,-2.2698454419336445,52.374987553430216
2020-04-14,44.5,57.3,3.7,30.0,4.294537191088723,,,,,2.2654,1900.0,1000.0,520.0,-2.2697916456243594,52.37493655224251
2020-04-15,49.0,58.4,3.8,29.8,2.6940930096129896,,,,,2.2077,2700.0,1300.0,520.0,-2.2699373349718637,52.374680292218315
2020-04-16,53.6,56.9,5.8,29.7,3.795568425828451,,,,,1.5115,2800.0,1600.0,520.0,-2.2697899681245115,52.374985067902024
2020-04-17,49.2,73.6,11.9,29.7,4.3176864634734375,,,,,0.6692,3100.0,1700.0,520.0,-2.2698700591711214,52.37483342854929
2020-04-18,45.2,85.8,7.4,29.7,3.90136959475371,,,,,1.0038,3200.0,1900.0,520.0,-2.269650292755582,52.37480159185285
2020-04-19,49.2,67.6,9.0,29.8,2.2211987707826872,,,,,2.2038,2300.0,1100.0,520.0,-2.269863217467037,52.3748977201528
2020-04-20,49.3,65.1,12.5,29.8,2.6822191139776383,,,,,2.1071,3100.0,1900.0,520.0,-2.2699281923033774,52.37504904388274
2020-04-21,51.7,65.6,12.0,29.7,3.4923791326663784,,,,,2.1536,3300.0,2300.0,520.0,-2.2698123550572107,52.37488152627517
2020-04-22,53.3,65.6,9.8,29.8,2.5154840661654463,,,,,2.1964,3900.0,2200.0,520.0,-2.269843261322072,52.37492573809958
2020-04-23,54.3,66.9,6.7,29.8,1.1174805449199907,,,,,2.2536,2900.0,1800.0,520.0,-2.269945937643315,52.37496049776328
