,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,original,alpha,delta,omicron,Original,Alpha,Delta,Omicron,cumCases,cumDeaths,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,831,E06000023,"Bristol, City of",ltla,2020-03-03,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
1,1,1,1,1,830,E06000023,"Bristol, City of",ltla,2020-03-04,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
2,2,2,2,2,829,E06000023,"Bristol, City of",ltla,2020-03-05,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,57.78219303875622,,,
3,3,3,3,3,828,E06000023,"Bristol, City of",ltla,2020-03-06,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,26.231162329019263,,,
4,4,4,4,4,827,E06000023,"Bristol, City of",ltla,2020-03-07,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0000000445589339,,,
5,5,5,5,5,826,E06000023,"Bristol, City of",ltla,2020-03-08,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0000000445589339,,,
6,6,6,6,6,825,E06000023,"Bristol, City of",ltla,2020-03-09,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,8.165154265984611,,,
7,7,7,7,7,824,E06000023,"Bristol, City of",ltla,2020-03-10,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0000000594119127,,,
8,8,8,8,8,823,E06000023,"Bristol, City of",ltla,2020-03-11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.682266323971514,,,
9,9,9,9,9,822,E06000023,"Bristol, City of",ltla,2020-03-12,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,6.884516791543751,,,
10,10,10,10,10,821,E06000023,"Bristol, City of",ltla,2020-03-13,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,3.7867641120250193,,,
11,11,11,11,11,820,E06000023,"Bristol, City of",ltla,2020-03-14,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,2.1718298267060563,,,
12,12,12,12,12,819,E06000023,"Bristol, City of",ltla,2020-03-15,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,1.0000001633827769,,,
13,13,13,13,13,818,E06000023,"Bristol, City of",ltla,2020-03-16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,4.326510487088054,,,
14,14,14,14,14,817,E06000023,"Bristol, City of",ltla,2020-03-17,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,5.15213566902368,,,
15,15,15,15,15,816,E06000023,"Bristol, City of",ltla,2020-03-18,7,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,2.1851882285755657,,,
16,16,16,16,16,815,E06000023,"Bristol, City of",ltla,2020-03-19,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,3.306955021411899,,,
17,17,17,17,17,814,E06000023,"Bristol, City of",ltla,2020-03-20,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,5.245116646879872,,,
18,18,18,18,18,813,E06000023,"Bristol, City of",ltla,2020-03-21,8,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,36.0,0.0,3.8711086961747947,,,
19,19,19,19,19,812,E06000023,"Bristol, City of",ltla,2020-03-22,5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,6.927218571749556,,,
20,20,20,20,20,811,E06000023,"Bristol, City of",ltla,2020-03-23,10,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,51.0,0.0,3.9408470888766516,,,
21,21,21,21,21,810,E06000023,"Bristol, City of",ltla,2020-03-24,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,11.093268943596756,,,
22,22,22,22,22,809,E06000023,"Bristol, City of",ltla,2020-03-25,12,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,67.0,0.0,15.142138712329555,,,
23,23,23,23,23,808,E06000023,"Bristol, City of",ltla,2020-03-26,14,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,81.0,0.0,19.239776438685116,,,
24,24,24,24,24,807,E06000023,"Bristol, City of",ltla,2020-03-27,14,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,95.0,0.0,19.57655146541987,,,
25,25,25,25,25,806,E06000023,"Bristol, City of",ltla,2020-03-28,10,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,105.0,0.0,33.846221489512885,,,
26,26,26,26,26,805,E06000023,"Bristol, City of",ltla,2020-03-29,12,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,117.0,0.0,70.49701607817293,,,
27,27,27,27,27,804,E06000023,"Bristol, City of",ltla,2020-03-30,17,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,134.0,0.0,116.60571288164466,,,
28,28,28,28,28,803,E06000023,"Bristol, City of",ltla,2020-03-31,18,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,152.0,0.0,183.3212388102182,,,
29,29,29,29,29,802,E06000023,"Bristol, City of",ltla,2020-04-01,17,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,169.0,0.0,286.8047655101742,,,
30,30,30,30,30,801,E06000023,"Bristol, City of",ltla,2020-04-02,15,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,0.0,693.6489848433323,,,
31,31,31,31,31,800,E06000023,"Bristol, City of",ltla,2020-04-03,20,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,204.0,0.0,5.977596432768773,,,
32,32,32,32,32,799,E06000023,"Bristol, City of",ltla,2020-04-04,10,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,214.0,1.671875,4.171279186797856,,,
33,33,33,33,33,798,E06000023,"Bristol, City of",ltla,2020-04-05,14,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,228.0,3.8,5.070529580293602,,,
34,34,34,34,34,797,E06000023,"Bristol, City of",ltla,2020-04-06,13,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,241.0,3.1572052401746733,3.974316818448651,,,
35,35,35,35,35,796,E06000023,"Bristol, City of",ltla,2020-04-07,21,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,262.0,5.716363636363638,6.551982957346102,,,
36,36,36,36,36,795,E06000023,"Bristol, City of",ltla,2020-04-08,28,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,290.0,4.985673352435531,4.298852144994813,,,
37,37,37,37,37,794,E06000023,"Bristol, City of",ltla,2020-04-09,17,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,307.0,4.55940594059406,2.9937974049122675,,,
38,38,38,38,38,793,E06000023,"Bristol, City of",ltla,2020-04-10,18,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,325.0,6.44273127753304,3.5398718962411158,,,
39,39,39,39,39,792,E06000023,"Bristol, City of",ltla,2020-04-11,26,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,351.0,8.457831325301207,2.6585324194587514,,,
40,40,40,40,40,791,E06000023,"Bristol, City of",ltla,2020-04-12,15,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,366.0,7.681481481481482,2.407024145639959,,,
41,41,41,41,41,790,E06000023,"Bristol, City of",ltla,2020-04-13,16,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,382.0,0.0,0.0,0.0,382.0,8.176369863013697,2.2996554995057217,,,
42,42,42,42,42,789,E06000023,"Bristol, City of",ltla,2020-04-14,17,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,399.0,0.0,0.0,0.0,399.0,9.290748898678412,2.510587104904509,,,
