,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,original,alpha,delta,omicron,Original,Alpha,Delta,Omicron,cumCases,cumDeaths,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,832,E07000040,East Devon,ltla,2020-03-02,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,232.25357391016456,,,
1,1,1,1,1,831,E07000040,East Devon,ltla,2020-03-03,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,30.58495509997249,,,
2,2,2,2,2,830,E07000040,East Devon,ltla,2020-03-04,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0000000891178717,,,
3,3,3,3,3,829,E07000040,East Devon,ltla,2020-03-05,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,11.813356011181714,,,
4,4,4,4,4,828,E07000040,East Devon,ltla,2020-03-06,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,7.57024011074982,,,
5,5,5,5,5,827,E07000040,East Devon,ltla,2020-03-07,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0000001188238323,,,
6,6,6,6,6,826,E07000040,East Devon,ltla,2020-03-08,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0000001188238323,,,
7,7,7,7,7,825,E07000040,East Devon,ltla,2020-03-09,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0000001188238323,,,
8,8,8,8,8,824,E07000040,East Devon,ltla,2020-03-10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0000001188238323,,,
9,9,9,9,9,823,E07000040,East Devon,ltla,2020-03-11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0000001188238323,,,
10,10,10,10,10,822,E07000040,East Devon,ltla,2020-03-12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,4.800132897319557,,,
11,11,11,11,11,821,E07000040,East Devon,ltla,2020-03-13,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,2.074177385570164,,,
12,12,12,12,12,820,E07000040,East Devon,ltla,2020-03-14,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,1.0000001782357593,,,
13,13,13,13,13,819,E07000040,East Devon,ltla,2020-03-15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,2.7820592516299865,,,
14,14,14,14,14,818,E07000040,East Devon,ltla,2020-03-16,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,1.0000002079417252,,,
15,15,15,15,15,817,E07000040,East Devon,ltla,2020-03-17,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,1.0000002079417252,,,
16,16,16,16,16,816,E07000040,East Devon,ltla,2020-03-18,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,1.0000002079417252,,,
17,17,17,17,17,815,E07000040,East Devon,ltla,2020-03-19,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,1.0000002079417252,,,
18,18,18,18,18,814,E07000040,East Devon,ltla,2020-03-20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,1.0000002079417252,,,
19,19,19,19,19,813,E07000040,East Devon,ltla,2020-03-21,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,1.0000002079417252,,,
20,20,20,20,20,812,E07000040,East Devon,ltla,2020-03-22,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,3.695774370481232,,,
21,21,21,21,21,811,E07000040,East Devon,ltla,2020-03-23,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,4.522127530803694,,,
22,22,22,22,22,810,E07000040,East Devon,ltla,2020-03-24,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,17.36445887387059,,,
23,23,23,23,23,809,E07000040,East Devon,ltla,2020-03-25,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,17.14388333448619,,,
24,24,24,24,24,808,E07000040,East Devon,ltla,2020-03-26,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,23.50617867135155,,,
25,25,25,25,25,807,E07000040,East Devon,ltla,2020-03-27,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,23.87501607551853,,,
26,26,26,26,26,806,E07000040,East Devon,ltla,2020-03-28,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,54.01282194521516,,,
27,27,27,27,27,805,E07000040,East Devon,ltla,2020-03-29,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,1.000000460442508,,,
28,28,28,28,28,804,E07000040,East Devon,ltla,2020-03-30,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,160.92505492381468,,,
29,29,29,29,29,803,E07000040,East Devon,ltla,2020-03-31,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,285.2592520673341,,,
30,30,30,30,30,802,E07000040,East Devon,ltla,2020-04-01,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,0.0,986.8143336195604,,,
31,31,31,31,31,801,E07000040,East Devon,ltla,2020-04-02,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,43.0,0.0,15.662490421734885,,,
32,32,32,32,32,800,E07000040,East Devon,ltla,2020-04-03,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,49.0,0.3828125,1.6693143025700983,,,
33,33,33,33,33,799,E07000040,East Devon,ltla,2020-04-04,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.8333333333333334,5.57625676144377,,,
34,34,34,34,34,798,E07000040,East Devon,ltla,2020-04-05,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,53.0,0.6943231441048036,1.4477385304404555,,,
35,35,35,35,35,797,E07000040,East Devon,ltla,2020-04-06,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,1.1781818181818182,6.179284855523575,,,
36,36,36,36,36,796,E07000040,East Devon,ltla,2020-04-07,5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,59.0,1.01432664756447,4.410091807828047,,,
37,37,37,37,37,795,E07000040,East Devon,ltla,2020-04-08,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,62.0,0.9207920792079208,4.527654950300492,,,
38,38,38,38,38,794,E07000040,East Devon,ltla,2020-04-09,5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,67.0,1.3281938325991192,6.231497020820321,,,
39,39,39,39,39,793,E07000040,East Devon,ltla,2020-04-10,10,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,77.0,1.8554216867469888,4.584724494687552,,,
40,40,40,40,40,792,E07000040,East Devon,ltla,2020-04-11,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,83.0,1.7419753086419754,4.131124443131091,,,
41,41,41,41,41,791,E07000040,East Devon,ltla,2020-04-12,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,89.0,1.904965753424657,2.7679921266925334,,,
42,42,42,42,42,790,E07000040,East Devon,ltla,2020-04-13,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,93.0,2.1655129011957204,2.0482372325119163,,,
43,43,43,43,43,789,E07000040,East Devon,ltla,2020-04-14,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,96.0,2.55678391959799,1.4834984208738342,,,
44,44,44,44,44,788,E07000040,East Devon,ltla,2020-04-15,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,98.0,3.1036876355748366,1.0697897636763722,,,
45,45,45,45,45,787,E07000040,East Devon,ltla,2020-04-16,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,99.0,3.8457269700332963,1.9121119690208639,,,
46,46,46,46,46,786,E07000040,East Devon,ltla,2020-04-17,5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,104.0,4.728725038402458,1.4522316883009,,,
47,47,47,47,47,785,E07000040,East Devon,ltla,2020-04-18,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,107.0,5.4070594210259015,1.0861767736763852,,,
48,48,48,48,48,784,E07000040,East Devon,ltla,2020-04-19,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,108.0,5.9245205196947825,1.1130610280726196,,,
49,49,49,49,49,783,E07000040,East Devon,ltla,2020-04-20,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,109.0,6.257651737852327,1.3308289187103437,,,
50,50,50,50,50,782,E07000040,East Devon,ltla,2020-04-21,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,112.0,7.067170689153823,1.4010272374620372,,,
51,51,51,51,51,781,E07000040,East Devon,ltla,2020-04-22,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,116.0,8.059626073774634,1.0061055380186303,,,
52,52,52,52,52,780,E07000040,East Devon,ltla,2020-04-23,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,117.0,9.008871851040526,1.1916348976803666,,,
53,53,53,53,53,779,E07000040,East Devon,ltla,2020-04-24,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,9.356790234269814,1.042609113414879,,,
54,54,54,54,54,778,E07000040,East Devon,ltla,2020-04-25,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,120.0,9.967382234696199,1.2059153901078836,,,
55,55,55,55,55,777,E07000040,East Devon,ltla,2020-04-26,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,123.0,10.918665546001165,1.2680038342405069,,,
56,56,56,56,56,776,E07000040,East Devon,ltla,2020-04-27,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,127.0,12.0053591160221,1.1666721305340433,,,
57,57,57,57,57,775,E07000040,East Devon,ltla,2020-04-28,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,130.0,13.048815713460426,1.3507509113203569,,,
58,58,58,58,58,774,E07000040,East Devon,ltla,2020-04-29,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,136.0,14.504081897110277,1.1119688898027784,,,
