,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,original,alpha,delta,omicron,Original,Alpha,Delta,Omicron,cumCases,cumDeaths,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,782,N09000006,Fermanagh and Omagh,ltla,2020-03-28,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
1,1,1,1,1,781,N09000006,Fermanagh and Omagh,ltla,2020-03-29,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,89.75485978917374,,,
2,2,2,2,2,780,N09000006,Fermanagh and Omagh,ltla,2020-03-30,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
3,3,3,3,3,779,N09000006,Fermanagh and Omagh,ltla,2020-03-31,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
4,4,4,4,4,778,N09000006,Fermanagh and Omagh,ltla,2020-04-01,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
5,5,5,5,5,777,N09000006,Fermanagh and Omagh,ltla,2020-04-02,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,13.675320220586242,,,
6,6,6,6,6,776,N09000006,Fermanagh and Omagh,ltla,2020-04-03,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,12.464246975059417,,,
7,7,7,7,7,775,N09000006,Fermanagh and Omagh,ltla,2020-04-04,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,1.000000074264892,,,
8,8,8,8,8,774,N09000006,Fermanagh and Omagh,ltla,2020-04-05,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,1.000000074264892,,,
9,9,9,9,9,773,N09000006,Fermanagh and Omagh,ltla,2020-04-06,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,8.846022611896634,,,
10,10,10,10,10,772,N09000006,Fermanagh and Omagh,ltla,2020-04-07,5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,3.322303550134693,,,
11,11,11,11,11,771,N09000006,Fermanagh and Omagh,ltla,2020-04-08,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,3.5780256352713633,,,
12,12,12,12,12,770,N09000006,Fermanagh and Omagh,ltla,2020-04-09,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,1.000000222794709,,,
13,13,13,13,13,769,N09000006,Fermanagh and Omagh,ltla,2020-04-10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,3.0790692751781163,,,
14,14,14,14,14,768,N09000006,Fermanagh and Omagh,ltla,2020-04-11,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,1.0000002673536625,,,
15,15,15,15,15,767,N09000006,Fermanagh and Omagh,ltla,2020-04-12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,1.7485399353136701,,,
16,16,16,16,16,766,N09000006,Fermanagh and Omagh,ltla,2020-04-13,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,1.000000282206648,,,
17,17,17,17,17,765,N09000006,Fermanagh and Omagh,ltla,2020-04-14,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,1.000000282206648,,,
18,18,18,18,18,764,N09000006,Fermanagh and Omagh,ltla,2020-04-15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,1.000000282206648,,,
19,19,19,19,19,763,N09000006,Fermanagh and Omagh,ltla,2020-04-16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,2.5114401437612965,,,
20,20,20,20,20,762,N09000006,Fermanagh and Omagh,ltla,2020-04-17,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,2.925553446147064,,,
21,21,21,21,21,761,N09000006,Fermanagh and Omagh,ltla,2020-04-18,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,1.0000003119126202,,,
22,22,22,22,22,760,N09000006,Fermanagh and Omagh,ltla,2020-04-19,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,21.0,0.0,4.719195568341286,,,
23,23,23,23,23,759,N09000006,Fermanagh and Omagh,ltla,2020-04-20,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0,0.0,11.314147977332835,,,
24,24,24,24,24,758,N09000006,Fermanagh and Omagh,ltla,2020-04-21,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,1.0000003564715818,,,
25,25,25,25,25,757,N09000006,Fermanagh and Omagh,ltla,2020-04-22,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,13.810008569919667,,,
26,26,26,26,26,756,N09000006,Fermanagh and Omagh,ltla,2020-04-23,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.00000037132457,,,
27,27,27,27,27,755,N09000006,Fermanagh and Omagh,ltla,2020-04-24,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.00000037132457,,,
28,28,28,28,28,754,N09000006,Fermanagh and Omagh,ltla,2020-04-25,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.00000037132457,,,
29,29,29,29,29,753,N09000006,Fermanagh and Omagh,ltla,2020-04-26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,376.62824685156266,,,
30,30,30,30,30,752,N09000006,Fermanagh and Omagh,ltla,2020-04-27,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,244.62073320960366,,,
31,31,31,31,31,751,N09000006,Fermanagh and Omagh,ltla,2020-04-28,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,4.264221847551663,,,
32,32,32,32,32,750,N09000006,Fermanagh and Omagh,ltla,2020-04-29,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.234375,9.093390849514611,,,
33,33,33,33,33,749,N09000006,Fermanagh and Omagh,ltla,2020-04-30,5,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.5833333333333334,3.386082338344491,,,
