,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,original,alpha,delta,omicron,Original,Alpha,Delta,Omicron,cumCases,cumDeaths,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,829,E08000022,North Tyneside,ltla,2020-03-05,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
1,1,1,1,1,828,E08000022,North Tyneside,ltla,2020-03-06,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
2,2,2,2,2,827,E08000022,North Tyneside,ltla,2020-03-07,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
3,3,3,3,3,826,E08000022,North Tyneside,ltla,2020-03-08,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.84674289425961,,,
4,4,4,4,4,825,E08000022,North Tyneside,ltla,2020-03-09,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
5,5,5,5,5,824,E08000022,North Tyneside,ltla,2020-03-10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
6,6,6,6,6,823,E08000022,North Tyneside,ltla,2020-03-11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
7,7,7,7,7,822,E08000022,North Tyneside,ltla,2020-03-12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,14.503254532866176,,,
8,8,8,8,8,821,E08000022,North Tyneside,ltla,2020-03-13,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,4.068555342783906,,,
9,9,9,9,9,820,E08000022,North Tyneside,ltla,2020-03-14,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0000000891178717,,,
10,10,10,10,10,819,E08000022,North Tyneside,ltla,2020-03-15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,2.990545703485127,,,
11,11,11,11,11,818,E08000022,North Tyneside,ltla,2020-03-16,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,2.6112658340970514,,,
12,12,12,12,12,817,E08000022,North Tyneside,ltla,2020-03-17,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,4.3882002286232735,,,
13,13,13,13,13,816,E08000022,North Tyneside,ltla,2020-03-18,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,3.6730887734741158,,,
14,14,14,14,14,815,E08000022,North Tyneside,ltla,2020-03-19,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,3.3028650612184016,,,
15,15,15,15,15,814,E08000022,North Tyneside,ltla,2020-03-20,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,1.0000002525006777,,,
16,16,16,16,16,813,E08000022,North Tyneside,ltla,2020-03-21,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,2.699861343258629,,,
17,17,17,17,17,812,E08000022,North Tyneside,ltla,2020-03-22,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,4.322264483565845,,,
18,18,18,18,18,811,E08000022,North Tyneside,ltla,2020-03-23,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,23.0,0.0,4.48786431502586,,,
19,19,19,19,19,810,E08000022,North Tyneside,ltla,2020-03-24,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,4.900491024687598,,,
20,20,20,20,20,809,E08000022,North Tyneside,ltla,2020-03-25,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,7.557291159602876,,,
21,21,21,21,21,808,E08000022,North Tyneside,ltla,2020-03-26,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,37.0,0.0,13.914473592704802,,,
22,22,22,22,22,807,E08000022,North Tyneside,ltla,2020-03-27,11,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,22.39969186910432,,,
23,23,23,23,23,806,E08000022,North Tyneside,ltla,2020-03-28,17,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,65.0,0.0,13.033181872727639,,,
24,24,24,24,24,805,E08000022,North Tyneside,ltla,2020-03-29,7,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,72.0,0.0,8.80214859787459,,,
25,25,25,25,25,804,E08000022,North Tyneside,ltla,2020-03-30,3,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0,0.0,65.7314921444207,,,
26,26,26,26,26,803,E08000022,North Tyneside,ltla,2020-03-31,19,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,94.0,0.0,149.62789606382293,,,
27,27,27,27,27,802,E08000022,North Tyneside,ltla,2020-04-01,35,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,129.0,0.0,96.57456285517144,,,
28,28,28,28,28,801,E08000022,North Tyneside,ltla,2020-04-02,14,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,143.0,0.0,152.04060518565402,,,
29,29,29,29,29,800,E08000022,North Tyneside,ltla,2020-04-03,13,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,156.0,0.0,468.4495424659158,,,
30,30,30,30,30,799,E08000022,North Tyneside,ltla,2020-04-04,24,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,180.0,0.0,610.6716829206645,,,
31,31,31,31,31,798,E08000022,North Tyneside,ltla,2020-04-05,17,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,197.0,0.0,18.35227361333147,,,
32,32,32,32,32,797,E08000022,North Tyneside,ltla,2020-04-06,33,1.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,230.0,1.796875,6.381507219407483,,,
33,33,33,33,33,796,E08000022,North Tyneside,ltla,2020-04-07,26,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,256.0,4.266666666666667,5.755668130592114,,,
34,34,34,34,34,795,E08000022,North Tyneside,ltla,2020-04-08,18,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,274.0,3.5895196506550224,2.6934807549229633,,,
35,35,35,35,35,794,E08000022,North Tyneside,ltla,2020-04-09,16,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,290.0,6.327272727272727,2.2710592071390465,,,
36,36,36,36,36,793,E08000022,North Tyneside,ltla,2020-04-10,8,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,298.0,5.123209169054442,3.830961344979484,,,
37,37,37,37,37,792,E08000022,North Tyneside,ltla,2020-04-11,16,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,314.0,4.663366336633663,1.0510086994263803,,,
38,38,38,38,38,791,E08000022,North Tyneside,ltla,2020-04-12,7,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,321.0,6.363436123348018,1.8586365812080203,,,
39,39,39,39,39,790,E08000022,North Tyneside,ltla,2020-04-13,15,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,336.0,8.096385542168678,2.04191051695288,,,
40,40,40,40,40,789,E08000022,North Tyneside,ltla,2020-04-14,13,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,349.0,0.0,0.0,0.0,349.0,7.324691358024691,1.9622542086291643,,,
41,41,41,41,41,788,E08000022,North Tyneside,ltla,2020-04-15,16,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,365.0,7.812499999999997,2.2942004420423587,,,
42,42,42,42,42,787,E08000022,North Tyneside,ltla,2020-04-16,21,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,386.0,8.988042794210196,2.3403342520850527,,,
43,43,43,43,43,786,E08000022,North Tyneside,ltla,2020-04-17,24,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,410.0,10.919597989949748,1.9308847402121736,,,
44,44,44,44,44,785,E08000022,North Tyneside,ltla,2020-04-18,21,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,13.64989154013015,1.4535265575554999,,,
