,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,original,alpha,delta,omicron,Original,Alpha,Delta,Omicron,cumCases,cumDeaths,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,830,E06000033,Southend-on-Sea,ltla,2020-03-04,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
1,1,1,1,1,829,E06000033,Southend-on-Sea,ltla,2020-03-05,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
2,2,2,2,2,828,E06000033,Southend-on-Sea,ltla,2020-03-06,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
3,3,3,3,3,827,E06000033,Southend-on-Sea,ltla,2020-03-07,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0000000148529775,,,
4,4,4,4,4,826,E06000033,Southend-on-Sea,ltla,2020-03-08,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.28095765530682,,,
5,5,5,5,5,825,E06000033,Southend-on-Sea,ltla,2020-03-09,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
6,6,6,6,6,824,E06000033,Southend-on-Sea,ltla,2020-03-10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
7,7,7,7,7,823,E06000033,Southend-on-Sea,ltla,2020-03-11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,8.501807854266822,,,
8,8,8,8,8,822,E06000033,Southend-on-Sea,ltla,2020-03-12,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0000000445589339,,,
9,9,9,9,9,821,E06000033,Southend-on-Sea,ltla,2020-03-13,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.923010941484932,,,
10,10,10,10,10,820,E06000033,Southend-on-Sea,ltla,2020-03-14,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0000000594119127,,,
11,11,11,11,11,819,E06000033,Southend-on-Sea,ltla,2020-03-15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,5.296708535541947,,,
12,12,12,12,12,818,E06000033,Southend-on-Sea,ltla,2020-03-16,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,4.105850040234244,,,
13,13,13,13,13,817,E06000033,Southend-on-Sea,ltla,2020-03-17,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0000001188238323,,,
14,14,14,14,14,816,E06000033,Southend-on-Sea,ltla,2020-03-18,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0000001188238323,,,
15,15,15,15,15,815,E06000033,Southend-on-Sea,ltla,2020-03-19,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,1.0000001188238323,,,
16,16,16,16,16,814,E06000033,Southend-on-Sea,ltla,2020-03-20,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,2.7942976538361144,,,
17,17,17,17,17,813,E06000033,Southend-on-Sea,ltla,2020-03-21,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,6.8778512634976945,,,
18,18,18,18,18,812,E06000033,Southend-on-Sea,ltla,2020-03-22,4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,8.43465668915046,,,
19,19,19,19,19,811,E06000033,Southend-on-Sea,ltla,2020-03-23,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,8.254912174277903,,,
20,20,20,20,20,810,E06000033,Southend-on-Sea,ltla,2020-03-24,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,3.9953055434416385,,,
21,21,21,21,21,809,E06000033,Southend-on-Sea,ltla,2020-03-25,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,13.880926827050734,,,
22,22,22,22,22,808,E06000033,Southend-on-Sea,ltla,2020-03-26,8,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,14.637053893954405,,,
23,23,23,23,23,807,E06000033,Southend-on-Sea,ltla,2020-03-27,7,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,42.0,0.0,16.471227659288054,,,
24,24,24,24,24,806,E06000033,Southend-on-Sea,ltla,2020-03-28,6,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,48.0,0.0,37.365933896284666,,,
25,25,25,25,25,805,E06000033,Southend-on-Sea,ltla,2020-03-29,11,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,59.0,0.0,58.82299510929439,,,
26,26,26,26,26,804,E06000033,Southend-on-Sea,ltla,2020-03-30,13,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,72.0,0.0,100.59993205630306,,,
27,27,27,27,27,803,E06000033,Southend-on-Sea,ltla,2020-03-31,16,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,88.0,0.0,151.18850998014256,,,
28,28,28,28,28,802,E06000033,Southend-on-Sea,ltla,2020-04-01,16,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,104.0,0.0,229.46465366042435,,,
29,29,29,29,29,801,E06000033,Southend-on-Sea,ltla,2020-04-02,15,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,119.0,0.0,461.62516676239727,,,
30,30,30,30,30,800,E06000033,Southend-on-Sea,ltla,2020-04-03,18,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,137.0,0.0,698.2053467755745,,,
31,31,31,31,31,799,E06000033,Southend-on-Sea,ltla,2020-04-04,15,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,152.0,0.0,7.150686325022159,,,
32,32,32,32,32,798,E06000033,Southend-on-Sea,ltla,2020-04-05,9,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,161.0,1.2578125,6.839325377789856,,,
33,33,33,33,33,797,E06000033,Southend-on-Sea,ltla,2020-04-06,19,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,180.0,3.0,8.182761936654119,,,
34,34,34,34,34,796,E06000033,Southend-on-Sea,ltla,2020-04-07,18,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,198.0,2.5938864628820957,1.7302998211001337,,,
