,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,areaCode,areaName,areaType,date,newCasesBySpecimenDate,pororig,poralp,pordlt,poromi,original,alpha,delta,omicron,Original,Alpha,Delta,Omicron,cumCases,cumDeaths,R0orig,R0alp,R0dlt,R0omi
0,0,0,0,0,831,E07000181,West Oxfordshire,ltla,2020-03-03,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
1,1,1,1,1,830,E07000181,West Oxfordshire,ltla,2020-03-04,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
2,2,2,2,2,829,E07000181,West Oxfordshire,ltla,2020-03-05,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
3,3,3,3,3,828,E07000181,West Oxfordshire,ltla,2020-03-06,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
4,4,4,4,4,827,E07000181,West Oxfordshire,ltla,2020-03-07,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0000000297059555,,,
5,5,5,5,5,826,E07000181,West Oxfordshire,ltla,2020-03-08,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,13.675320220586242,,,
6,6,6,6,6,825,E07000181,West Oxfordshire,ltla,2020-03-09,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0000000445589339,,,
7,7,7,7,7,824,E07000181,West Oxfordshire,ltla,2020-03-10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0000000445589339,,,
8,8,8,8,8,823,E07000181,West Oxfordshire,ltla,2020-03-11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,5.602832803179416,,,
9,9,9,9,9,822,E07000181,West Oxfordshire,ltla,2020-03-12,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.138408826538025,,,
10,10,10,10,10,821,E07000181,West Oxfordshire,ltla,2020-03-13,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,1.000000074264892,,,
11,11,11,11,11,820,E07000181,West Oxfordshire,ltla,2020-03-14,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3.148354312329909,,,
