,Unnamed: 0,areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate
0,840,overview,United Kingdom,K02000001,2020/1/30,1,1,1,1
1,839,overview,United Kingdom,K02000001,2020/1/31,0,1,0,1
2,838,overview,United Kingdom,K02000001,2020/2/1,0,1,0,1
3,837,overview,United Kingdom,K02000001,2020/2/2,1,2,1,2
4,836,overview,United Kingdom,K02000001,2020/2/3,19,21,19,21
5,835,overview,United Kingdom,K02000001,2020/2/4,0,21,0,21
6,834,overview,United Kingdom,K02000001,2020/2/5,1,22,1,22
7,833,overview,United Kingdom,K02000001,2020/2/6,0,22,0,22
8,832,overview,United Kingdom,K02000001,2020/2/7,0,22,0,22
9,831,overview,United Kingdom,K02000001,2020/2/8,3,25,3,25
10,830,overview,United Kingdom,K02000001,2020/2/9,1,26,1,26
11,829,overview,United Kingdom,K02000001,2020/2/10,1,27,1,27
12,828,overview,United Kingdom,K02000001,2020/2/11,4,31,4,31
13,827,overview,United Kingdom,K02000001,2020/2/12,1,32,1,32
14,826,overview,United Kingdom,K02000001,2020/2/13,1,33,1,33
15,825,overview,United Kingdom,K02000001,2020/2/14,0,33,0,33
16,824,overview,United Kingdom,K02000001,2020/2/15,0,33,0,33
17,823,overview,United Kingdom,K02000001,2020/2/16,0,33,0,33
18,822,overview,United Kingdom,K02000001,2020/2/17,1,34,1,34
19,821,overview,United Kingdom,K02000001,2020/2/18,0,34,0,34
20,820,overview,United Kingdom,K02000001,2020/2/19,0,34,0,34
21,819,overview,United Kingdom,K02000001,2020/2/20,0,34,0,34
22,818,overview,United Kingdom,K02000001,2020/2/21,2,36,2,36
23,817,overview,United Kingdom,K02000001,2020/2/22,0,36,0,36
24,816,overview,United Kingdom,K02000001,2020/2/23,6,42,6,42
25,815,overview,United Kingdom,K02000001,2020/2/24,2,44,2,44
26,814,overview,United Kingdom,K02000001,2020/2/25,3,47,3,47
27,813,overview,United Kingdom,K02000001,2020/2/26,2,49,2,49
28,812,overview,United Kingdom,K02000001,2020/2/27,8,57,8,57
29,811,overview,United Kingdom,K02000001,2020/2/28,12,69,12,69
30,810,overview,United Kingdom,K02000001,2020/2/29,4,73,4,73
31,809,overview,United Kingdom,K02000001,2020/3/1,20,93,20,93
32,808,overview,United Kingdom,K02000001,2020/3/2,41,134,41,134
33,807,overview,United Kingdom,K02000001,2020/3/3,57,191,57,191
34,806,overview,United Kingdom,K02000001,2020/3/4,56,247,56,247
35,805,overview,United Kingdom,K02000001,2020/3/5,49,296,49,296
36,804,overview,United Kingdom,K02000001,2020/3/6,83,379,83,379
37,803,overview,United Kingdom,K02000001,2020/3/7,68,447,68,447
38,802,overview,United Kingdom,K02000001,2020/3/8,55,502,55,502
39,801,overview,United Kingdom,K02000001,2020/3/9,148,650,148,650
40,800,overview,United Kingdom,K02000001,2020/3/10,265,915,265,915
41,799,overview,United Kingdom,K02000001,2020/3/11,403,1318,403,1318
42,798,overview,United Kingdom,K02000001,2020/3/12,484,1802,484,1802
43,797,overview,United Kingdom,K02000001,2020/3/13,478,2280,478,2280
44,796,overview,United Kingdom,K02000001,2020/3/14,352,2632,352,2632
45,795,overview,United Kingdom,K02000001,2020/3/15,441,3073,441,3073
46,794,overview,United Kingdom,K02000001,2020/3/16,602,3675,602,3675
47,793,overview,United Kingdom,K02000001,2020/3/17,783,4458,783,4458
48,792,overview,United Kingdom,K02000001,2020/3/18,981,5439,981,5439
49,791,overview,United Kingdom,K02000001,2020/3/19,1042,6481,1042,6481
50,790,overview,United Kingdom,K02000001,2020/3/20,1252,7733,1252,7733
51,789,overview,United Kingdom,K02000001,2020/3/21,1181,8914,1181,8914
52,788,overview,United Kingdom,K02000001,2020/3/22,1363,10277,1363,10277
53,787,overview,United Kingdom,K02000001,2020/3/23,2290,12567,2290,12567
54,786,overview,United Kingdom,K02000001,2020/3/24,2354,14921,2354,14921
55,785,overview,United Kingdom,K02000001,2020/3/25,2666,17587,2666,17587
56,784,overview,United Kingdom,K02000001,2020/3/26,3039,20626,3039,20626
57,783,overview,United Kingdom,K02000001,2020/3/27,3154,23780,3154,23780
58,782,overview,United Kingdom,K02000001,2020/3/28,2774,26554,2774,26554
59,781,overview,United Kingdom,K02000001,2020/3/29,2818,29372,2818,29372
60,780,overview,United Kingdom,K02000001,2020/3/30,4195,33567,4195,33567
61,779,overview,United Kingdom,K02000001,2020/3/31,4463,38030,4463,38030
62,778,overview,United Kingdom,K02000001,2020/4/1,4891,42921,4891,42921
63,777,overview,United Kingdom,K02000001,2020/4/2,4824,47745,4824,47745
64,776,overview,United Kingdom,K02000001,2020/4/3,4852,52597,4852,52597
65,775,overview,United Kingdom,K02000001,2020/4/4,3976,56573,3976,56573
66,774,overview,United Kingdom,K02000001,2020/4/5,3556,60129,3556,60129
67,773,overview,United Kingdom,K02000001,2020/4/6,5273,65402,5273,65402
68,772,overview,United Kingdom,K02000001,2020/4/7,5477,70879,5477,70879
69,771,overview,United Kingdom,K02000001,2020/4/8,5146,76025,5146,76025
70,770,overview,United Kingdom,K02000001,2020/4/9,4875,80900,4875,80900
71,769,overview,United Kingdom,K02000001,2020/4/10,4327,85227,4327,85227
72,768,overview,United Kingdom,K02000001,2020/4/11,3585,88812,3585,88812
73,767,overview,United Kingdom,K02000001,2020/4/12,3507,92319,3507,92319
74,766,overview,United Kingdom,K02000001,2020/4/13,4203,96522,4203,96522
75,765,overview,United Kingdom,K02000001,2020/4/14,4335,100857,4335,100857
76,764,overview,United Kingdom,K02000001,2020/4/15,5070,105927,5070,105927
77,763,overview,United Kingdom,K02000001,2020/4/16,5292,111219,5292,111219
78,762,overview,United Kingdom,K02000001,2020/4/17,4977,116196,4977,116196
79,761,overview,United Kingdom,K02000001,2020/4/18,4743,120939,4743,120939
80,760,overview,United Kingdom,K02000001,2020/4/19,3881,124820,3881,124820
81,759,overview,United Kingdom,K02000001,2020/4/20,4441,129261,4441,129261
82,758,overview,United Kingdom,K02000001,2020/4/21,4795,134056,4795,134056
83,757,overview,United Kingdom,K02000001,2020/4/22,5517,139573,5517,139573
84,756,overview,United Kingdom,K02000001,2020/4/23,5167,144740,5167,144740
85,755,overview,United Kingdom,K02000001,2020/4/24,4961,149701,4961,149701
86,754,overview,United Kingdom,K02000001,2020/4/25,3757,153458,3757,153458
87,753,overview,United Kingdom,K02000001,2020/4/26,3476,156934,3476,156934
88,752,overview,United Kingdom,K02000001,2020/4/27,4739,161673,4739,161673
89,751,overview,United Kingdom,K02000001,2020/4/28,4719,166392,4719,166392
90,750,overview,United Kingdom,K02000001,2020/4/29,5433,171825,5433,171825
91,749,overview,United Kingdom,K02000001,2020/4/30,4961,176786,4961,176786
92,748,overview,United Kingdom,K02000001,2020/5/1,4766,181552,4766,181552
93,747,overview,United Kingdom,K02000001,2020/5/2,3258,184810,3258,184810
94,746,overview,United Kingdom,K02000001,2020/5/3,3002,187812,3002,187812
95,745,overview,United Kingdom,K02000001,2020/5/4,3398,191210,3398,191210
96,744,overview,United Kingdom,K02000001,2020/5/5,3686,194896,3686,194896
97,743,overview,United Kingdom,K02000001,2020/5/6,3832,198728,3832,198728
