date,CPI,empolyment_rate,R0_origin,R0_alpha,R0_delta,R0_omicron
2020/3/9,108.6,76,15.26654159,NA,NA,NA
2020/3/10,108.6,75.995652,12.21835663,NA,NA,NA
2020/3/11,108.6,75.991304,8.350329036,NA,NA,NA
2020/3/12,108.6,75.986957,4.930587606,NA,NA,NA
2020/3/13,108.6,75.982609,4.430486123,NA,NA,NA
2020/3/14,108.6,75.978261,4.449257323,NA,NA,NA
2020/3/15,108.6,75.973913,4.208351524,NA,NA,NA
2020/3/16,108.6,75.969565,4.26132084,NA,NA,NA
2020/3/17,108.6,75.965217,3.64933171,NA,NA,NA
2020/3/18,108.6,75.96087,3.31791397,NA,NA,NA
2020/3/19,108.6,75.956522,2.646671964,NA,NA,NA
2020/3/20,108.6,75.952174,2.492506096,NA,NA,NA
2020/3/21,108.6,75.947826,3.231159601,NA,NA,NA
2020/3/22,108.6,75.943478,2.737640284,NA,NA,NA
2020/3/23,108.6,75.93913,2.522153222,NA,NA,NA
2020/3/24,108.6,75.934783,2.409744657,NA,NA,NA
2020/3/25,108.6,75.930435,2.135120276,NA,NA,NA
2020/3/26,108.6,75.926087,1.776434306,NA,NA,NA
2020/3/27,108.6,75.921739,1.625384826,NA,NA,NA
2020/3/28,108.6,75.917391,1.890411212,NA,NA,NA
2020/3/29,108.6,75.913043,1.816145067,NA,NA,NA
2020/3/30,108.6,75.908696,1.744905684,NA,NA,NA
2020/3/31,108.6,75.904348,1.60160969,NA,NA,NA
2020/4/1,108.6,75.9,1.506818961,NA,NA,NA
2020/4/2,108.6,75.893333,1.257455685,NA,NA,NA
2020/4/3,108.6,75.886667,1.146812618,NA,NA,NA
2020/4/4,108.6,75.88,1.358303307,NA,NA,NA
2020/4/5,108.6,75.873333,1.32149888,NA,NA,NA
2020/4/6,108.6,75.866667,1.215156176,NA,NA,NA
2020/4/7,108.6,75.86,1.159219466,NA,NA,NA
2020/4/8,108.6,75.853333,1.059638676,NA,NA,NA
2020/4/9,108.6,75.846667,0.958625663,NA,NA,NA
2020/4/10,108.6,75.84,0.921048372,NA,NA,NA
2020/4/11,108.6,75.833333,0.985384116,NA,NA,NA
2020/4/12,108.6,75.826667,0.990050937,NA,NA,NA
2020/4/13,108.6,75.82,1.071821971,NA,NA,NA
2020/4/14,108.6,75.813333,1.081964469,NA,NA,NA
2020/4/15,108.6,75.806667,1.036061077,NA,NA,NA
2020/4/16,108.6,75.8,1.044092145,NA,NA,NA
2020/4/17,108.6,75.793333,0.95211056,NA,NA,NA
2020/4/18,108.6,75.786667,0.980790882,NA,NA,NA
2020/4/19,108.6,75.78,1.027757941,NA,NA,NA
2020/4/20,108.6,75.773333,1.144096079,NA,NA,NA
2020/4/21,108.6,75.766667,1.118235004,NA,NA,NA
2020/4/22,108.6,75.76,1.087140453,NA,NA,NA
2020/4/23,108.6,75.753333,0.961018372,NA,NA,NA
2020/4/24,108.6,75.746667,0.925930188,NA,NA,NA
2020/4/25,108.6,75.74,1.061487545,NA,NA,NA
2020/4/26,108.6,75.733333,1.069060721,NA,NA,NA
2020/4/27,108.6,75.726667,1.152779132,NA,NA,NA
2020/4/28,108.6,75.72,1.0920676,NA,NA,NA
2020/4/29,108.6,75.713333,1.061499627,NA,NA,NA
2020/4/30,108.6,75.706667,0.879985626,NA,NA,NA
2020/5/1,108.6,75.7,0.86302672,NA,NA,NA
2020/5/2,108.606452,75.696774,0.883845493,NA,NA,NA
2020/5/3,108.612903,75.693548,0.928471217,NA,NA,NA
2020/5/4,108.619355,75.690323,0.944489537,NA,NA,NA
2020/5/5,108.625806,75.687097,0.93518219,NA,NA,NA
2020/5/6,108.632258,75.683871,0.853645881,NA,NA,NA
2020/5/7,108.63871,75.680645,0.715179752,NA,NA,NA
2020/5/8,108.645161,75.677419,0.751786542,NA,NA,NA
2020/5/9,108.651613,75.674194,0.950969417,NA,NA,NA
2020/5/10,108.658065,75.670968,0.93118746,NA,NA,NA
2020/5/11,108.664516,75.667742,0.93721914,NA,NA,NA
