,areaType,areaName,areaCode,date,hospitalCases,住院比例
0,overview,United Kingdom,K02000001,2020-03-27,7267,0.3055929352396972
1,overview,United Kingdom,K02000001,2020-03-28,8278,0.31174211041650973
2,overview,United Kingdom,K02000001,2020-03-29,9525,0.3242884379681329
3,overview,United Kingdom,K02000001,2020-03-30,11093,0.33047338159501893
4,overview,United Kingdom,K02000001,2020-03-31,12597,0.3312384959242703
5,overview,United Kingdom,K02000001,2020-04-01,13637,0.31772325901074067
6,overview,United Kingdom,K02000001,2020-04-02,13875,0.2906063462142633
7,overview,United Kingdom,K02000001,2020-04-03,15546,0.29556818829971293
8,overview,United Kingdom,K02000001,2020-04-04,17502,0.3093701942622806
9,overview,United Kingdom,K02000001,2020-04-05,18855,0.313575812004191
10,overview,United Kingdom,K02000001,2020-04-06,19493,0.2980489893275435
11,overview,United Kingdom,K02000001,2020-04-07,20234,0.2854724248366935
12,overview,United Kingdom,K02000001,2020-04-08,20740,0.272804998355804
13,overview,United Kingdom,K02000001,2020-04-09,21005,0.2596415327564895
14,overview,United Kingdom,K02000001,2020-04-10,21280,0.24968613232895678
15,overview,United Kingdom,K02000001,2020-04-11,21254,0.23931450704859702
16,overview,United Kingdom,K02000001,2020-04-12,21687,0.23491372306892405
17,overview,United Kingdom,K02000001,2020-04-13,21308,0.22075796191541824
18,overview,United Kingdom,K02000001,2020-04-14,21281,0.21100171529988002
19,overview,United Kingdom,K02000001,2020-04-15,20582,0.19430362419402042
20,overview,United Kingdom,K02000001,2020-04-16,20389,0.18332299337343438
21,overview,United Kingdom,K02000001,2020-04-17,19330,0.16635684533030398
22,overview,United Kingdom,K02000001,2020-04-18,19456,0.16087449044559654
23,overview,United Kingdom,K02000001,2020-04-19,19574,0.1568178176574267
24,overview,United Kingdom,K02000001,2020-04-20,19331,0.14955013499818198
25,overview,United Kingdom,K02000001,2020-04-21,19139,0.14276869368025302
26,overview,United Kingdom,K02000001,2020-04-22,18533,0.13278356129050747
27,overview,United Kingdom,K02000001,2020-04-23,17867,0.12344203399198563
28,overview,United Kingdom,K02000001,2020-04-24,17063,0.11398053453216746
29,overview,United Kingdom,K02000001,2020-04-25,16604,0.10819898604178342
30,overview,United Kingdom,K02000001,2020-04-26,16555,0.10549020607389094
31,overview,United Kingdom,K02000001,2020-04-27,16662,0.10305988012840735
32,overview,United Kingdom,K02000001,2020-04-28,15877,0.09541925092552526
33,overview,United Kingdom,K02000001,2020-04-29,15521,0.09033027789902517
34,overview,United Kingdom,K02000001,2020-04-30,15164,0.08577602298824567
35,overview,United Kingdom,K02000001,2020-05-01,14723,0.08109522340706794
36,overview,United Kingdom,K02000001,2020-05-02,14380,0.07780964233537147
37,overview,United Kingdom,K02000001,2020-05-03,14188,0.07554362873511809
38,overview,United Kingdom,K02000001,2020-05-04,14097,0.0737252235761728
39,overview,United Kingdom,K02000001,2020-05-05,13723,0.07041191199408915
40,overview,United Kingdom,K02000001,2020-05-06,13148,0.06616078257719094
41,overview,United Kingdom,K02000001,2020-05-07,12626,0.06234599906179789
42,overview,United Kingdom,K02000001,2020-05-08,12053,0.05862952928071447
43,overview,United Kingdom,K02000001,2020-05-09,12015,0.05783421340174923
44,overview,United Kingdom,K02000001,2020-05-10,11727,0.05581999752482317
