Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in)
2020-03-01,42.3,37.3,83.6,21.8,28.6,0.00
2020-03-02,41.6,36.5,82.3,14.1,29.0,0.00
2020-03-03,43.1,38.4,84.9,10.7,29.4,0.00
2020-03-04,42.7,36.1,78.4,8.8,29.7,0.00
2020-03-05,38.2,36.7,93.8,5.0,29.5,0.00
2020-03-10,45.0,39.0,81.0,24.0,29.3,0.00
2020-03-11,44.1,36.0,74.1,19.9,29.3,0.00
2020-03-12,41.7,37.5,85.6,15.3,29.1,0.00
2020-03-13,42.7,31.5,65.4,8.6,30.0,0.00
2020-03-14,44.6,39.7,82.5,14.1,29.6,0.00
2020-03-15,45.6,41.1,83.8,18.7,29.4,0.00
2020-03-16,43.9,37.2,78.3,18.0,29.8,0.00
2020-03-17,45.4,40.3,82.4,16.3,29.9,0.00
2020-03-18,42.2,35.2,76.1,16.1,30.1,0.00
2020-03-19,43.7,36.0,75.4,7.4,30.4,0.00
2020-03-20,43.9,30.3,61.9,6.6,30.6,0.00
2020-03-21,42.3,28.8,59.6,14.8,30.4,0.00
2020-03-22,45.1,31.4,59.1,12.6,30.3,0.00
2020-03-23,47.8,37.4,67.5,20.9,30.1,0.00
2020-04-23,54.3,37.3,53.1,6.1,30.2,0.00
2020-04-30,46.8,38.7,74.7,4.7,29.2,0.00
2020-05-28,54.3,48.7,82.0,3.7,30.5,0.00
2020-05-29,63.0,54.0,72.0,7.0,30.3,0.00
2020-06-03,53.6,38.0,56.1,16.3,30.0,0.00
2020-06-04,54.2,47.1,79.0,14.4,29.6,0.00
2020-06-06,53.0,45.5,77.0,16.3,29.4,0.00
2020-06-09,50.9,40.1,67.2,7.7,30.1,0.00
2020-06-10,49.3,48.0,96.0,2.7,29.9,0.00
2020-06-11,54.5,39.5,57.0,7.8,30.2,0.00
2020-06-17,60.5,56.0,86.5,5.4,29.9,0.00
2020-06-18,63.8,56.2,77.4,5.6,29.9,0.00
2020-06-24,57.0,53.0,85.5,6.9,30.1,0.00
2020-06-25,56.5,53.0,86.5,8.0,30.1,0.00
2020-07-01,56.4,53.2,88.2,5.0,29.6,0.00
2020-07-02,54.4,49.2,84.0,6.6,29.8,0.00
2020-07-14,54.0,50.0,88.0,5.0,29.9,0.00
2020-07-15,56.1,54.2,92.1,11.7,29.9,0.00
2020-07-16,58.7,55.6,90.4,11.8,30.0,0.00
2020-07-17,58.8,51.0,75.7,13.4,29.9,0.00
2020-07-18,56.0,48.3,75.8,13.9,29.9,0.00
2020-07-19,55.1,48.5,79.3,13.5,30.0,0.00
2020-07-20,55.6,48.5,77.8,13.1,30.2,0.00
2020-07-21,59.9,45.0,59.4,10.0,30.3,0.00
2020-07-22,55.9,53.6,92.2,9.2,30.0,0.00
2020-07-23,58.2,55.2,90.8,9.3,29.8,0.00
2020-07-24,58.4,52.0,78.8,9.5,29.8,0.00
2020-07-25,57.3,54.9,92.2,10.5,29.5,0.00
2020-07-26,57.4,50.1,77.0,16.4,29.6,0.00
2020-07-27,53.6,50.1,89.2,10.9,29.4,0.00
2020-07-28,55.3,47.3,75.2,23.6,29.8,0.00
2020-07-29,56.5,48.4,75.2,12.2,30.0,0.00
2020-07-30,57.5,53.0,85.3,11.3,29.9,0.00
2020-07-31,71.5,55.4,56.8,12.8,29.7,0.00
2020-08-01,58.5,51.9,77.9,11.2,29.9,0.00
2020-08-02,57.7,49.0,72.9,11.9,29.9,0.00
2020-08-03,56.4,49.3,77.1,10.6,29.9,0.00
2020-08-04,57.0,55.0,93.3,12.2,29.5,0.00
2020-08-05,59.0,55.5,89.6,7.0,29.6,0.00
