Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in)
2020-03-01,41.5,36.1,81.4,24.5,28.7,0.00
2020-03-02,41.0,35.4,80.0,14.5,29.0,0.00
2020-03-03,42.6,37.1,81.4,10.4,29.4,0.00
2020-03-04,39.8,34.2,80.9,5.0,29.6,0.00
2020-03-05,37.8,33.6,85.9,2.6,29.5,0.00
2020-03-06,40.4,35.5,83.2,5.8,29.6,0.00
2020-03-07,48.2,44.4,87.5,19.9,29.4,0.00
2020-03-08,45.5,39.5,80.1,14.6,29.3,0.00
2020-03-09,45.6,41.3,85.4,15.3,29.4,0.00
2020-03-10,47.5,41.7,80.1,17.9,29.3,0.00
2020-03-11,42.7,37.0,80.7,16.1,29.3,0.00
2020-03-12,41.5,35.4,79.6,22.2,29.3,0.00
2020-03-13,40.3,34.7,81.0,7.9,29.9,0.00
2020-03-14,45.8,40.9,82.8,14.3,29.5,0.00
2020-03-15,45.2,39.3,80.5,17.2,29.4,0.00
2020-03-16,44.0,38.2,80.4,15.0,29.9,0.00
2020-03-17,46.3,42.0,84.4,10.7,29.9,0.00
2020-03-18,42.7,35.9,77.1,13.4,30.1,0.00
2020-03-19,43.0,35.5,75.1,7.7,30.3,0.00
2020-03-20,40.0,30.6,71.1,5.1,30.5,0.00
2020-03-21,41.6,31.1,67.9,11.1,30.3,0.00
2020-03-22,41.3,30.1,66.4,7.2,30.3,0.00
2020-03-23,46.4,34.7,63.4,13.4,30.1,0.00
2020-03-24,49.3,41.4,73.8,17.4,29.9,0.00
2020-03-25,48.7,45.6,89.2,8.3,30.1,0.00
2020-03-26,48.0,45.4,90.2,3.6,30.2,0.00
2020-03-27,46.8,42.1,83.2,8.4,30.4,0.00
2020-03-28,42.6,30.7,65.1,8.2,30.6,0.00
2020-03-29,41.1,27.2,58.8,9.3,30.9,0.00
2020-03-30,45.5,37.3,74.4,5.4,30.6,0.00
2020-03-31,46.0,38.5,76.1,7.4,30.5,0.00
