Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in)
2020-03-01,43.4,35.4,73.9,26.8,28.9,0.10
2020-03-02,42.1,35.5,77.1,15.1,29.1,0.00
2020-03-03,42.7,38.5,85.6,13.2,29.4,0.01
2020-03-04,40.9,37.2,87.0,4.9,29.7,0.06
2020-03-05,40.0,35.5,84.1,5.7,29.5,0.00
2020-03-06,40.0,36.0,85.9,5.2,29.6,0.00
2020-03-07,45.9,43.5,91.2,14.8,29.7,0.01
2020-03-08,46.0,42.5,87.8,17.5,29.4,0.28
2020-03-09,44.8,42.0,90.9,18.5,29.6,0.09
2020-03-10,47.2,45.0,92.3,15.8,29.4,0.46
2020-03-11,45.0,42.2,89.8,15.8,29.5,0.11
2020-03-12,42.7,36.3,78.0,26.5,29.5,0.42
2020-03-13,44.1,38.1,80.4,13.2,29.9,0.01
2020-03-14,45.1,41.7,88.1,14.2,29.8,0.02
2020-09-03,48.1,44.7,68.2,13.4,29.8,0.00
2020-09-04,58.6,51.4,77.0,18.1,30.0,0.00
2020-09-05,57.3,49.6,75.8,17.0,30.0,0.00
2020-09-06,58.8,53.3,82.2,10.0,30.0,0.00
2020-09-07,59.4,57.0,92.2,13.3,30.0,0.02
2020-09-08,62.0,60.5,95.3,11.3,30.1,0.21
2020-09-09,59.0,51.8,78.2,16.0,30.1,0.03
2020-09-10,54.3,46.3,74.9,8.0,30.1,0.00
2020-09-11,58.7,52.8,81.1,18.5,29.8,0.00
2020-09-12,58.3,51.7,78.7,17.9,29.9,0.05
2020-09-13,61.0,57.7,88.4,16.7,30.0,0.01
2020-09-14,64.2,57.4,80.0,5.4,30.1,0.00
2020-09-15,65.2,58.0,78.5,5.3,30.0,0.00
2020-09-16,59.9,54.8,83.8,8.3,30.3,0.00
2020-09-17,57.7,49.1,73.8,9.0,30.4,0.00
2020-09-18,55.9,47.5,74.1,8.7,30.3,0.00
2020-09-19,55.8,46.7,72.6,10.0,30.2,0.00
2020-09-20,56.8,50.5,80.4,7.6,30.1,0.00
2020-09-21,54.5,50.9,88.1,5.9,30.0,0.00
2020-09-22,57.8,55.6,93.5,11.4,29.7,0.00
2020-09-23,53.6,50.0,87.7,6.3,29.4,0.28
2020-09-24,47.7,44.3,88.3,9.6,29.3,0.17
2020-09-25,50.4,41.2,71.8,15.1,29.7,0.27
2020-09-26,48.3,37.8,68.0,10.3,29.9,0.00
2020-09-27,46.9,39.3,76.0,5.4,30.0,0.00
2020-09-28,48.4,45.7,91.0,5.6,29.9,0.00
2020-09-29,50.7,47.1,88.3,4.6,29.9,0.06
2020-09-30,53.7,51.3,90.9,13.9,29.5,0.11
2020-10-01,50.4,43.5,78.3,7.2,29.4,0.22
2020-10-02,50.9,43.8,77.1,9.1,29.4,0.00
2020-10-03,51.2,49.2,92.8,12.2,29.2,0.01
2020-10-04,54.6,48.8,82.1,9.9,28.9,1.09
2020-10-05,54.7,50.9,86.6,10.5,29.2,0.00
2020-10-06,53.7,50.2,87.9,11.5,29.3,0.21
2020-10-07,54.0,46.7,77.1,16.3,29.7,0.34
2020-10-08,50.8,45.3,81.8,11.2,29.8,0.42
2020-10-09,50.2,43.1,76.8,19.2,29.9,0.14
2020-10-10,52.3,47.4,83.8,19.4,30.1,0.50
2020-10-11,51.4,44.5,77.7,9.9,30.3,0.10
2020-10-12,52.5,47.8,84.9,14.9,30.0,0.04
2020-10-13,49.6,44.3,82.9,8.8,29.9,0.30
2020-10-14,53.2,46.4,78.1,8.1,30.2,0.00
2020-10-15,47.7,41.3,79.2,5.3,30.3,0.00
2020-10-16,48.7,40.8,74.6,7.1,30.3,0.01
2020-10-17,48.4,44.0,85.5,6.0,30.2,0.00
2020-10-18,51.1,46.8,85.3,7.0,30.1,0.00
2020-10-19,52.0,47.6,85.2,13.6,29.8,0.01
2020-10-20,55.5,50.7,84.0,16.1,29.3,0.17
2020-10-21,54.9,52.6,91.8,11.3,29.3,0.06
2020-10-22,51.1,45.6,82.0,17.4,29.6,0.13
2020-10-23,50.2,42.9,77.0,14.2,29.6,0.05
2020-10-24,50.0,46.2,87.6,14.8,29.3,0.30
2020-10-25,51.0,44.4,78.7,16.7,29.1,0.54
2020-10-26,51.5,45.9,81.6,20.1,29.2,0.20
2020-10-27,49.9,44.6,82.6,17.2,29.2,0.11
2020-10-28,50.9,42.8,73.7,19.6,29.3,0.13
