Date,Region,Number of Alpha cases
01/10/2020,London,1
08/10/2020,London,1
09/10/2020,Unknown,1
11/10/2020,South East,4
12/10/2020,Yorkshire and Humber,1
15/10/2020,London,1
15/10/2020,South East,3
17/10/2020,Yorkshire and Humber,1
20/10/2020,South East,2
21/10/2020,Yorkshire and Humber,1
21/10/2020,East of England,2
21/10/2020,London,2
21/10/2020,South East,11
21/10/2020,Unknown,1
22/10/2020,London,2
22/10/2020,South East,12
23/10/2020,South East,6
24/10/2020,Yorkshire and Humber,1
24/10/2020,London,1
24/10/2020,South East,4
25/10/2020,Yorkshire and Humber,2
26/10/2020,West Midlands,1
26/10/2020,South East,1
27/10/2020,Yorkshire and Humber,2
27/10/2020,South East,1
29/10/2020,East of England,2
29/10/2020,London,4
29/10/2020,South East,12
30/10/2020,North East,1
30/10/2020,Yorkshire and Humber,1
30/10/2020,East of England,1
30/10/2020,London,4
30/10/2020,South East,4
31/10/2020,East of England,1
31/10/2020,London,2
31/10/2020,South East,2
01/11/2020,Yorkshire and Humber,3
01/11/2020,West Midlands,1
01/11/2020,East of England,1
01/11/2020,London,15
01/11/2020,South East,23
02/11/2020,North West,1
02/11/2020,Yorkshire and Humber,2
02/11/2020,West Midlands,1
02/11/2020,East of England,9
02/11/2020,London,19
02/11/2020,South East,32
03/11/2020,East of England,3
03/11/2020,South West,1
03/11/2020,South East,3
04/11/2020,London,2
04/11/2020,South East,4
05/11/2020,East Midlands,1
05/11/2020,East of England,8
05/11/2020,London,30
05/11/2020,South East,64
06/11/2020,North West,1
06/11/2020,Yorkshire and Humber,1
06/11/2020,West Midlands,1
06/11/2020,East of England,8
06/11/2020,London,2
06/11/2020,South East,26
07/11/2020,East of England,2
08/11/2020,North West,1
08/11/2020,West Midlands,1
08/11/2020,East Midlands,1
08/11/2020,East of England,15
08/11/2020,London,30
08/11/2020,South East,54
09/11/2020,North West,1
09/11/2020,East Midlands,1
09/11/2020,East of England,16
09/11/2020,London,15
09/11/2020,South East,9
10/11/2020,West Midlands,1
10/11/2020,London,4
10/11/2020,South East,7
11/11/2020,Yorkshire and Humber,1
11/11/2020,East Midlands,2
11/11/2020,East of England,5
11/11/2020,London,15
11/11/2020,South East,21
12/11/2020,North West,1
12/11/2020,East Midlands,1
12/11/2020,East of England,37
12/11/2020,London,36
12/11/2020,South West,2
12/11/2020,South East,76
13/11/2020,West Midlands,1
13/11/2020,East Midlands,1
13/11/2020,East of England,31
13/11/2020,London,75
13/11/2020,South West,1
13/11/2020,South East,83
14/11/2020,North West,2
14/11/2020,Yorkshire and Humber,2
14/11/2020,East Midlands,3
14/11/2020,East of England,12
14/11/2020,London,56
14/11/2020,South West,5
14/11/2020,South East,53
14/11/2020,Unknown,2
15/11/2020,North West,1
15/11/2020,East Midlands,1
15/11/2020,East of England,19
15/11/2020,London,28
15/11/2020,South East,47
15/11/2020,Unknown,1
16/11/2020,East of England,5
16/11/2020,London,6
16/11/2020,South East,2
17/11/2020,West Midlands,1
17/11/2020,East Midlands,3
17/11/2020,East of England,11
17/11/2020,London,37
17/11/2020,South East,58
17/11/2020,Unknown,1
18/11/2020,North West,1
18/11/2020,North East,1
18/11/2020,Yorkshire and Humber,1
18/11/2020,West Midlands,8
18/11/2020,East Midlands,3
18/11/2020,East of England,18
18/11/2020,London,33
18/11/2020,South West,1
18/11/2020,South East,42
18/11/2020,Unknown,1
19/11/2020,West Midlands,1
19/11/2020,East of England,12
19/11/2020,London,52
19/11/2020,South East,25
19/11/2020,Unknown,1
20/11/2020,East Midlands,10
20/11/2020,East of England,13
20/11/2020,London,11
20/11/2020,South West,1
20/11/2020,South East,8
21/11/2020,North West,2
21/11/2020,East Midlands,1
21/11/2020,East of England,55
21/11/2020,London,51
21/11/2020,South East,74
22/11/2020,North West,3
22/11/2020,East of England,69
22/11/2020,London,89
22/11/2020,South West,4
22/11/2020,South East,142
23/11/2020,North West,5
23/11/2020,North East,1
23/11/2020,East Midlands,2
23/11/2020,East of England,21
23/11/2020,London,22
23/11/2020,South East,1
23/11/2020,Unknown,1
24/11/2020,West Midlands,1
24/11/2020,East of England,8
24/11/2020,London,11
24/11/2020,South West,1
24/11/2020,South East,4
24/11/2020,Unknown,1
25/11/2020,North West,1
25/11/2020,North East,3
25/11/2020,East of England,11
25/11/2020,London,9
25/11/2020,South West,2
25/11/2020,South East,6
25/11/2020,Unknown,1
26/11/2020,North West,3
26/11/2020,North East,3
26/11/2020,Yorkshire and Humber,1
26/11/2020,West Midlands,2
26/11/2020,East of England,9
26/11/2020,London,63
26/11/2020,South East,56
26/11/2020,Unknown,4
27/11/2020,North East,5
27/11/2020,Yorkshire and Humber,1
27/11/2020,West Midlands,1
27/11/2020,East Midlands,1
27/11/2020,East of England,20
27/11/2020,London,45
27/11/2020,South West,1
27/11/2020,South East,42
27/11/2020,Unknown,2
28/11/2020,North East,1
28/11/2020,East Midlands,1
28/11/2020,East of England,14
28/11/2020,London,21
28/11/2020,South West,3
28/11/2020,South East,45
29/11/2020,North East,1
29/11/2020,East of England,13
29/11/2020,London,18
29/11/2020,South East,29
30/11/2020,North West,2
30/11/2020,North East,1
30/11/2020,West Midlands,1
30/11/2020,East Midlands,1
30/11/2020,East of England,3
30/11/2020,London,32
30/11/2020,South East,18
30/11/2020,Unknown,3
01/12/2020,North West,2
01/12/2020,Yorkshire and Humber,1
01/12/2020,West Midlands,2
01/12/2020,East Midlands,1
01/12/2020,East of England,11
01/12/2020,London,26
01/12/2020,South East,7
01/12/2020,Unknown,4
02/12/2020,North West,1
02/12/2020,Yorkshire and Humber,1
02/12/2020,West Midlands,4
02/12/2020,East Midlands,2
02/12/2020,East of England,17
02/12/2020,London,35
02/12/2020,South West,5
02/12/2020,South East,13
02/12/2020,Unknown,1
03/12/2020,North West,2
03/12/2020,Yorkshire and Humber,1
03/12/2020,West Midlands,1
03/12/2020,East of England,13
03/12/2020,London,22
03/12/2020,South West,3
03/12/2020,South East,26
04/12/2020,North West,5
04/12/2020,West Midlands,2
04/12/2020,East Midlands,4
04/12/2020,East of England,21
04/12/2020,London,118
04/12/2020,South West,3
04/12/2020,South East,48
05/12/2020,North West,3
05/12/2020,Yorkshire and Humber,3
05/12/2020,West Midlands,5
05/12/2020,East Midlands,3
05/12/2020,East of England,29
05/12/2020,London,99
05/12/2020,South East,55
06/12/2020,North West,4
06/12/2020,North East,3
06/12/2020,Yorkshire and Humber,4
06/12/2020,West Midlands,8
06/12/2020,East of England,31
06/12/2020,London,39
06/12/2020,South West,2
06/12/2020,South East,43
07/12/2020,North West,7
07/12/2020,North East,2
07/12/2020,Yorkshire and Humber,2
07/12/2020,West Midlands,9
07/12/2020,East Midlands,9
07/12/2020,East of England,87
07/12/2020,London,111
07/12/2020,South West,2
07/12/2020,South East,119
07/12/2020,Unknown,4
08/12/2020,North West,4
08/12/2020,North East,2
08/12/2020,West Midlands,1
08/12/2020,East Midlands,2
08/12/2020,East of England,35
08/12/2020,London,93
08/12/2020,South West,4
08/12/2020,South East,107
08/12/2020,Unknown,1
09/12/2020,North West,9
09/12/2020,North East,2
09/12/2020,West Midlands,13
09/12/2020,East Midlands,7
09/12/2020,East of England,71
09/12/2020,London,49
09/12/2020,South West,5
09/12/2020,South East,44
09/12/2020,Unknown,3
10/12/2020,North West,17
10/12/2020,West Midlands,24
10/12/2020,East Midlands,18
10/12/2020,East of England,166
10/12/2020,London,579
10/12/2020,South West,15
10/12/2020,South East,224
10/12/2020,Unknown,4
11/12/2020,North West,16
11/12/2020,North East,34
11/12/2020,Yorkshire and Humber,20
11/12/2020,West Midlands,5
11/12/2020,East Midlands,2
11/12/2020,East of England,73
11/12/2020,London,197
