areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
nation,England,E92000001,02/03/2020,1,1
nation,England,E92000001,03/03/2020,2,3
nation,England,E92000001,04/03/2020,0,3
nation,England,E92000001,05/03/2020,3,6
nation,England,E92000001,06/03/2020,0,6
nation,England,E92000001,07/03/2020,0,6
nation,England,E92000001,08/03/2020,3,9
nation,England,E92000001,09/03/2020,5,14
nation,England,E92000001,10/03/2020,3,17
nation,England,E92000001,11/03/2020,8,25
nation,England,E92000001,12/03/2020,12,37
nation,England,E92000001,13/03/2020,16,53
nation,England,E92000001,14/03/2020,20,73
nation,England,E92000001,15/03/2020,32,105
nation,England,E92000001,16/03/2020,43,148
nation,England,E92000001,17/03/2020,51,199
nation,England,E92000001,18/03/2020,67,266
nation,England,E92000001,19/03/2020,66,332
nation,England,E92000001,20/03/2020,102,434
nation,England,E92000001,21/03/2020,116,550
nation,England,E92000001,22/03/2020,153,703
nation,England,E92000001,23/03/2020,173,876
nation,England,E92000001,24/03/2020,219,1095
nation,England,E92000001,25/03/2020,278,1373
nation,England,E92000001,26/03/2020,338,1711
nation,England,E92000001,27/03/2020,374,2085
nation,England,E92000001,28/03/2020,384,2469
nation,England,E92000001,29/03/2020,464,2933
nation,England,E92000001,30/03/2020,540,3473
nation,England,E92000001,31/03/2020,604,4077
nation,England,E92000001,01/04/2020,698,4775
nation,England,E92000001,02/04/2020,732,5507
nation,England,E92000001,03/04/2020,743,6250
nation,England,E92000001,04/04/2020,839,7089
nation,England,E92000001,05/04/2020,829,7918
nation,England,E92000001,06/04/2020,806,8724
nation,England,E92000001,07/04/2020,909,9633
nation,England,E92000001,08/04/2020,977,10610
nation,England,E92000001,09/04/2020,876,11486
nation,England,E92000001,10/04/2020,850,12336
nation,England,E92000001,11/04/2020,864,13200
nation,England,E92000001,12/04/2020,857,14057
nation,England,E92000001,13/04/2020,805,14862
nation,England,E92000001,14/04/2020,770,15632
nation,England,E92000001,15/04/2020,782,16414
nation,England,E92000001,16/04/2020,754,17168
nation,England,E92000001,17/04/2020,742,17910
nation,England,E92000001,18/04/2020,706,18616
nation,England,E92000001,19/04/2020,689,19305
nation,England,E92000001,20/04/2020,685,19990
nation,England,E92000001,21/04/2020,651,20641
nation,England,E92000001,22/04/2020,643,21284
nation,England,E92000001,23/04/2020,595,21879
nation,England,E92000001,24/04/2020,603,22482
nation,England,E92000001,25/04/2020,555,23037
nation,England,E92000001,26/04/2020,560,23597
nation,England,E92000001,27/04/2020,506,24103
nation,England,E92000001,28/04/2020,498,24601
nation,England,E92000001,29/04/2020,495,25096
nation,England,E92000001,30/04/2020,484,25580
nation,England,E92000001,01/05/2020,479,26059
nation,England,E92000001,02/05/2020,424,26483
nation,England,E92000001,03/05/2020,388,26871
nation,England,E92000001,04/05/2020,412,27283
nation,England,E92000001,05/05/2020,392,27675
nation,England,E92000001,06/05/2020,391,28066
nation,England,E92000001,07/05/2020,399,28465
nation,England,E92000001,08/05/2020,331,28796
nation,England,E92000001,09/05/2020,331,29127
nation,England,E92000001,10/05/2020,300,29427
nation,England,E92000001,11/05/2020,260,29687
nation,England,E92000001,12/05/2020,275,29962
nation,England,E92000001,13/05/2020,256,30218
nation,England,E92000001,14/05/2020,277,30495
nation,England,E92000001,15/05/2020,269,30764
nation,England,E92000001,16/05/2020,268,31032
nation,England,E92000001,17/05/2020,223,31255
nation,England,E92000001,18/05/2020,253,31508
nation,England,E92000001,19/05/2020,231,31739
nation,England,E92000001,20/05/2020,235,31974
nation,England,E92000001,21/05/2020,201,32175
nation,England,E92000001,22/05/2020,195,32370
nation,England,E92000001,23/05/2020,200,32570
nation,England,E92000001,24/05/2020,170,32740
nation,England,E92000001,25/05/2020,175,32915
nation,England,E92000001,26/05/2020,189,33104
nation,England,E92000001,27/05/2020,172,33276
nation,England,E92000001,28/05/2020,182,33458
nation,England,E92000001,29/05/2020,163,33621
nation,England,E92000001,30/05/2020,145,33766
nation,England,E92000001,31/05/2020,113,33879
nation,England,E92000001,01/06/2020,121,34000
nation,England,E92000001,02/06/2020,155,34155
nation,England,E92000001,03/06/2020,138,34293
nation,England,E92000001,04/06/2020,121,34414
nation,England,E92000001,05/06/2020,109,34523
nation,England,E92000001,06/06/2020,99,34622
nation,England,E92000001,07/06/2020,113,34735
nation,England,E92000001,08/06/2020,112,34847
nation,England,E92000001,09/06/2020,85,34932
nation,England,E92000001,10/06/2020,97,35029
nation,England,E92000001,11/06/2020,72,35101
nation,England,E92000001,12/06/2020,73,35174
nation,England,E92000001,13/06/2020,53,35227
nation,England,E92000001,14/06/2020,76,35303
nation,England,E92000001,15/06/2020,63,35366
nation,England,E92000001,16/06/2020,69,35435
nation,England,E92000001,17/06/2020,54,35489
nation,England,E92000001,18/06/2020,57,35546
nation,England,E92000001,19/06/2020,47,35593
nation,England,E92000001,20/06/2020,54,35647
nation,England,E92000001,21/06/2020,47,35694
nation,England,E92000001,22/06/2020,58,35752
nation,England,E92000001,23/06/2020,62,35814
nation,England,E92000001,24/06/2020,67,35881
nation,England,E92000001,25/06/2020,58,35939
nation,England,E92000001,26/06/2020,38,35977
nation,England,E92000001,27/06/2020,40,36017
nation,England,E92000001,28/06/2020,42,36059
nation,England,E92000001,29/06/2020,34,36093
nation,England,E92000001,30/06/2020,43,36136
nation,England,E92000001,01/07/2020,21,36157
nation,England,E92000001,02/07/2020,40,36197
nation,England,E92000001,03/07/2020,26,36223
nation,England,E92000001,04/07/2020,31,36254
nation,England,E92000001,05/07/2020,24,36278
nation,England,E92000001,06/07/2020,34,36312
nation,England,E92000001,07/07/2020,26,36338
nation,England,E92000001,08/07/2020,23,36361
nation,England,E92000001,09/07/2020,35,36396
nation,England,E92000001,10/07/2020,22,36418
nation,England,E92000001,11/07/2020,20,36438
nation,England,E92000001,12/07/2020,13,36451
nation,England,E92000001,13/07/2020,23,36474
nation,England,E92000001,14/07/2020,20,36494
nation,England,E92000001,15/07/2020,20,36514
nation,England,E92000001,16/07/2020,12,36526
nation,England,E92000001,17/07/2020,18,36544
nation,England,E92000001,18/07/2020,14,36558
nation,England,E92000001,19/07/2020,14,36572
nation,England,E92000001,20/07/2020,12,36584
nation,England,E92000001,21/07/2020,19,36603
nation,England,E92000001,22/07/2020,17,36620
nation,England,E92000001,23/07/2020,16,36636
nation,England,E92000001,24/07/2020,6,36642
nation,England,E92000001,25/07/2020,14,36656
nation,England,E92000001,26/07/2020,15,36671
nation,England,E92000001,27/07/2020,11,36682
nation,England,E92000001,28/07/2020,10,36692
nation,England,E92000001,29/07/2020,8,36700
nation,England,E92000001,30/07/2020,8,36708
nation,England,E92000001,31/07/2020,10,36718
nation,England,E92000001,01/08/2020,9,36727
nation,England,E92000001,02/08/2020,8,36735
nation,England,E92000001,03/08/2020,15,36750
nation,England,E92000001,04/08/2020,10,36760
nation,England,E92000001,05/08/2020,3,36763
nation,England,E92000001,06/08/2020,9,36772
nation,England,E92000001,07/08/2020,8,36780
nation,England,E92000001,08/08/2020,11,36791
nation,England,E92000001,09/08/2020,9,36800
nation,England,E92000001,10/08/2020,11,36811
nation,England,E92000001,11/08/2020,10,36821
nation,England,E92000001,12/08/2020,6,36827
nation,England,E92000001,13/08/2020,7,36834
nation,England,E92000001,14/08/2020,6,36840
nation,England,E92000001,15/08/2020,11,36851
nation,England,E92000001,16/08/2020,4,36855
nation,England,E92000001,17/08/2020,12,36867
nation,England,E92000001,18/08/2020,7,36874
nation,England,E92000001,19/08/2020,3,36877
nation,England,E92000001,20/08/2020,8,36885
nation,England,E92000001,21/08/2020,7,36892
nation,England,E92000001,22/08/2020,7,36899
nation,England,E92000001,23/08/2020,15,36914
nation,England,E92000001,24/08/2020,5,36919
nation,England,E92000001,25/08/2020,11,36930
nation,England,E92000001,26/08/2020,11,36941
nation,England,E92000001,27/08/2020,9,36950
nation,England,E92000001,28/08/2020,9,36959
nation,England,E92000001,29/08/2020,5,36964
nation,England,E92000001,30/08/2020,6,36970
nation,England,E92000001,31/08/2020,8,36978
nation,England,E92000001,01/09/2020,4,36982
nation,England,E92000001,02/09/2020,9,36991
nation,England,E92000001,03/09/2020,6,36997
nation,England,E92000001,04/09/2020,8,37005
nation,England,E92000001,05/09/2020,12,37017
nation,England,E92000001,06/09/2020,9,37026
nation,England,E92000001,07/09/2020,13,37039
nation,England,E92000001,08/09/2020,10,37049
nation,England,E92000001,09/09/2020,10,37059
nation,England,E92000001,10/09/2020,12,37071
nation,England,E92000001,11/09/2020,10,37081
nation,England,E92000001,12/09/2020,18,37099
nation,England,E92000001,13/09/2020,15,37114
nation,England,E92000001,14/09/2020,17,37131
nation,England,E92000001,15/09/2020,15,37146
nation,England,E92000001,16/09/2020,23,37169
nation,England,E92000001,17/09/2020,25,37194
nation,England,E92000001,18/09/2020,21,37215
nation,England,E92000001,19/09/2020,18,37233
nation,England,E92000001,20/09/2020,28,37261
nation,England,E92000001,21/09/2020,24,37285
nation,England,E92000001,22/09/2020,35,37320
nation,England,E92000001,23/09/2020,52,37372
nation,England,E92000001,24/09/2020,33,37405
nation,England,E92000001,25/09/2020,30,37435
nation,England,E92000001,26/09/2020,35,37470
nation,England,E92000001,27/09/2020,44,37514
nation,England,E92000001,28/09/2020,47,37561
nation,England,E92000001,29/09/2020,43,37604
nation,England,E92000001,30/09/2020,48,37652
nation,England,E92000001,01/10/2020,56,37708
nation,England,E92000001,02/10/2020,65,37773
nation,England,E92000001,03/10/2020,55,37828
nation,England,E92000001,04/10/2020,54,37882
nation,England,E92000001,05/10/2020,59,37941
nation,England,E92000001,06/10/2020,62,38003
nation,England,E92000001,07/10/2020,81,38084
nation,England,E92000001,08/10/2020,78,38162
nation,England,E92000001,09/10/2020,68,38230
nation,England,E92000001,10/10/2020,90,38320
nation,England,E92000001,11/10/2020,104,38424
nation,England,E92000001,12/10/2020,97,38521
nation,England,E92000001,13/10/2020,87,38608
nation,England,E92000001,14/10/2020,102,38710
nation,England,E92000001,15/10/2020,124,38834
nation,England,E92000001,16/10/2020,122,38956
nation,England,E92000001,17/10/2020,162,39118
nation,England,E92000001,18/10/2020,121,39239
nation,England,E92000001,19/10/2020,159,39398
nation,England,E92000001,20/10/2020,174,39572
nation,England,E92000001,21/10/2020,191,39763
nation,England,E92000001,22/10/2020,187,39950
nation,England,E92000001,23/10/2020,189,40139
nation,England,E92000001,24/10/2020,171,40310
nation,England,E92000001,25/10/2020,207,40517
nation,England,E92000001,26/10/2020,225,40742
nation,England,E92000001,27/10/2020,220,40962
nation,England,E92000001,28/10/2020,238,41200
nation,England,E92000001,29/10/2020,250,41450
nation,England,E92000001,30/10/2020,282,41732
nation,England,E92000001,31/10/2020,283,42015
nation,England,E92000001,01/11/2020,288,42303
nation,England,E92000001,02/11/2020,289,42592
nation,England,E92000001,03/11/2020,293,42885
nation,England,E92000001,04/11/2020,278,43163
nation,England,E92000001,05/11/2020,304,43467
nation,England,E92000001,06/11/2020,335,43802
nation,England,E92000001,07/11/2020,335,44137
nation,England,E92000001,08/11/2020,344,44481
nation,England,E92000001,09/11/2020,405,44886
nation,England,E92000001,10/11/2020,320,45206
nation,England,E92000001,11/11/2020,312,45518
nation,England,E92000001,12/11/2020,353,45871
nation,England,E92000001,13/11/2020,359,46230
nation,England,E92000001,14/11/2020,363,46593
nation,England,E92000001,15/11/2020,383,46976
nation,England,E92000001,16/11/2020,360,47336
nation,England,E92000001,17/11/2020,368,47704
nation,England,E92000001,18/11/2020,439,48143
nation,England,E92000001,19/11/2020,401,48544
nation,England,E92000001,20/11/2020,392,48936
nation,England,E92000001,21/11/2020,400,49336
nation,England,E92000001,22/11/2020,410,49746
nation,England,E92000001,23/11/2020,401,50147
nation,England,E92000001,24/11/2020,410,50557
nation,England,E92000001,25/11/2020,429,50986
nation,England,E92000001,26/11/2020,372,51358
nation,England,E92000001,27/11/2020,368,51726
nation,England,E92000001,28/11/2020,387,52113
nation,England,E92000001,29/11/2020,404,52517
nation,England,E92000001,30/11/2020,364,52881
nation,England,E92000001,01/12/2020,347,53228
nation,England,E92000001,02/12/2020,337,53565
nation,England,E92000001,03/12/2020,408,53973
nation,England,E92000001,04/12/2020,413,54386
nation,England,E92000001,05/12/2020,344,54730
nation,England,E92000001,06/12/2020,357,55087
nation,England,E92000001,07/12/2020,360,55447
nation,England,E92000001,08/12/2020,376,55823
nation,England,E92000001,09/12/2020,376,56199
nation,England,E92000001,10/12/2020,380,56579
nation,England,E92000001,11/12/2020,400,56979
nation,England,E92000001,12/12/2020,377,57356
nation,England,E92000001,13/12/2020,368,57724
nation,England,E92000001,14/12/2020,414,58138
nation,England,E92000001,15/12/2020,391,58529
nation,England,E92000001,16/12/2020,354,58883
nation,England,E92000001,17/12/2020,441,59324
nation,England,E92000001,18/12/2020,435,59759
