date,original,alpha,delta,omicron,pororig,poralp,pordlt,poromi,sum
30/01/2020,1,0,0,0,1,0,0,0,1
31/01/2020,0,0,0,0,1,0,0,0,0
01/02/2020,0,0,0,0,1,0,0,0,0
02/02/2020,1,0,0,0,1,0,0,0,1
03/02/2020,19,0,0,0,1,0,0,0,19
04/02/2020,0,0,0,0,1,0,0,0,0
05/02/2020,1,0,0,0,1,0,0,0,1
06/02/2020,0,0,0,0,1,0,0,0,0
07/02/2020,0,0,0,0,1,0,0,0,0
08/02/2020,3,0,0,0,1,0,0,0,3
09/02/2020,1,0,0,0,1,0,0,0,1
10/02/2020,1,0,0,0,1,0,0,0,1
11/02/2020,4,0,0,0,1,0,0,0,4
12/02/2020,1,0,0,0,1,0,0,0,1
13/02/2020,1,0,0,0,1,0,0,0,1
14/02/2020,0,0,0,0,1,0,0,0,0
15/02/2020,0,0,0,0,1,0,0,0,0
16/02/2020,0,0,0,0,1,0,0,0,0
17/02/2020,1,0,0,0,1,0,0,0,1
18/02/2020,0,0,0,0,1,0,0,0,0
19/02/2020,0,0,0,0,1,0,0,0,0
20/02/2020,0,0,0,0,1,0,0,0,0
21/02/2020,2,0,0,0,1,0,0,0,2
22/02/2020,0,0,0,0,1,0,0,0,0
23/02/2020,6,0,0,0,1,0,0,0,6
24/02/2020,2,0,0,0,1,0,0,0,2
25/02/2020,3,0,0,0,1,0,0,0,3
26/02/2020,1,0,0,0,1,0,0,0,1
27/02/2020,7,0,0,0,1,0,0,0,7
28/02/2020,11,0,0,0,1,0,0,0,11
29/02/2020,4,0,0,0,1,0,0,0,4
01/03/2020,18,0,0,0,1,0,0,0,18
02/03/2020,40,0,0,0,1,0,0,0,40
03/03/2020,52,0,0,0,1,0,0,0,52
04/03/2020,49,0,0,0,1,0,0,0,49
05/03/2020,46,0,0,0,1,0,0,0,46
06/03/2020,74,0,0,0,1,0,0,0,74
07/03/2020,55,0,0,0,1,0,0,0,55
08/03/2020,50,0,0,0,1,0,0,0,50
09/03/2020,127,0,0,0,1,0,0,0,127
10/03/2020,229,0,0,0,1,0,0,0,229
11/03/2020,358,0,0,0,1,0,0,0,358
12/03/2020,421,0,0,0,1,0,0,0,421
13/03/2020,401,0,0,0,1,0,0,0,401
14/03/2020,315,0,0,0,1,0,0,0,315
15/03/2020,398,0,0,0,1,0,0,0,398
16/03/2020,552,0,0,0,1,0,0,0,552
